-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,inline-block,img,text-xs/sp14_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmide53jy5mtb0,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia 1 Mark 3 / Xperia 1 III Beacukai Resmi,Rp,5.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,8-14 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,,,,,,"Scrape to BigSeller
Sony Xperia 1 Mark 3 / Xperia 1 III Beacukai Resmi
Rp
5.500.000
8-14 Hari
Surakarta (Solo)",https://shopee.co.id/Sony-Xperia-1-Mark-3-Xperia-1-III-Beacukai-Resmi-i.60457973.55608045989?extraParams=%7B%22display_model_id%22%3A370714113422%2C%22model_selection_logic%22%3A3%7D&sp_atk=73625a2f-19b2-4d17-ab33-452888b96440&xptdk=73625a2f-19b2-4d17-ab33-452888b96440
https://down-id.img.susercontent.com/file/id-11134207-7quky-liv73b4clplq42,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony xperia t2 ultra,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Hari ini,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Sony xperia t2 ultra
Rp
250.000
Hari ini
Surabaya",https://shopee.co.id/Sony-xperia-t2-ultra-i.308401600.23072852838?extraParams=%7B%22display_model_id%22%3A118947592797%2C%22model_selection_logic%22%3A3%7D&sp_atk=6bde851e-9b19-4512-b66e-57c09d62dfd2&xptdk=6bde851e-9b19-4512-b66e-57c09d62dfd2
https://down-id.img.susercontent.com/file/9a5fda2406255fcdf9595cc35fdaada3,,Sonyericsson W810i,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Karawang,,,,,,,"Scrape to BigSeller
Sonyericsson W810i
Rp
250.000
4-8 Hari
Kab. Karawang",https://shopee.co.id/Sonyericsson-W810i-i.26422652.10252732953?extraParams=%7B%22display_model_id%22%3A47383158421%2C%22model_selection_logic%22%3A3%7D&sp_atk=65466981-e6a2-4d3d-9778-736b725ecee8&xptdk=65466981-e6a2-4d3d-9778-736b725ecee8
https://down-id.img.susercontent.com/file/050f7ee7308c94a45ea93fc748262b3c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SONY XPERIA Z1 BIG DOCOMO 4G Lte,Rp,670.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,57 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.4,Cicilan,"Scrape to BigSeller
SONY XPERIA Z1 BIG DOCOMO 4G Lte
Rp
670.000
Cicilan
4.4
57 Terjual
4-7 Hari
Jakarta Barat",https://shopee.co.id/SONY-XPERIA-Z1-BIG-DOCOMO-4G-Lte-i.3257946.437366879?extraParams=%7B%22display_model_id%22%3A515211791%2C%22model_selection_logic%22%3A3%7D&sp_atk=6c605a96-364b-48d8-ac98-4ea8a022586f&xptdk=6c605a96-364b-48d8-ac98-4ea8a022586f
https://down-id.img.susercontent.com/file/33875e3f7d66bd959ddc67d0fff2e241,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Sony Xperia z3 compact LTE 4g camera 20,7 mp",Rp,600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,,"Scrape to BigSeller
Sony Xperia z3 compact LTE 4g camera 20,7 mp
Rp
600.000
4.6
12 Terjual
4-7 Hari
Jakarta Timur",https://shopee.co.id/Sony-Xperia-z3-compact-LTE-4g-camera-20-7-mp-i.191927978.12866291080?extraParams=%7B%22display_model_id%22%3A104785593054%2C%22model_selection_logic%22%3A3%7D&sp_atk=d842436e-6563-4738-988b-78506b80bc4f&xptdk=d842436e-6563-4738-988b-78506b80bc4f
https://down-id.img.susercontent.com/file/cad3d67c848267816b90a0e1320dc618,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,sony xperia m4 dual hp aja,Rp,400.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,,,,,"Scrape to BigSeller
sony xperia m4 dual hp aja
Rp
400.000
Jakarta Selatan",https://shopee.co.id/sony-xperia-m4-dual-hp-aja-i.129463477.5054962784?extraParams=%7B%22display_model_id%22%3A22087661814%2C%22model_selection_logic%22%3A3%7D&sp_atk=96334b71-defc-40b3-b14d-dd9874c434e6&xptdk=96334b71-defc-40b3-b14d-dd9874c434e6
https://down-id.img.susercontent.com/file/id-11134207-7qukz-ljdltjmhjcwxde,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony z5 ram 3,Rp,98.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Mojokerto,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.5,,"Scrape to BigSeller
Sony z5 ram 3
Rp
98.000
3.5
8 Terjual
2-4 Hari
Mojokerto",https://shopee.co.id/Sony-z5-ram-3-i.684224695.20732481818?extraParams=%7B%22display_model_id%22%3A136476780029%2C%22model_selection_logic%22%3A3%7D&sp_atk=09c85e7e-50c1-415a-8d02-6eec3cd96d48&xptdk=09c85e7e-50c1-415a-8d02-6eec3cd96d48
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmvbutvtophcbf,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,sony experia 5 kemenperin,Rp,2.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sragen,,,,,,,"Scrape to BigSeller
sony experia 5 kemenperin
Rp
2.300.000
3-6 Hari
Kab. Sragen",https://shopee.co.id/sony-experia-5-kemenperin-i.274311478.40379913707?extraParams=%7B%22display_model_id%22%3A320756924998%2C%22model_selection_logic%22%3A3%7D&sp_atk=bb5637a8-dd7d-42d3-9f09-e45e1dfba3a6&xptdk=bb5637a8-dd7d-42d3-9f09-e45e1dfba3a6
https://down-id.img.susercontent.com/file/251b511460496434bbb7f6d687c7b709,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"sony xperia z3 / d6603 / d6643 / d6653 , XPERIA X COMPACT / F5321 , XPERIA E4 / E2105 , XPERIA XZ2 , XPERIA XZ3 , XPERIA X / F5121 / F5122 , XPERIA M5 / E5603 / E5606 / E5653 silikon karet hitam soft case",Rp,15.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
sony xperia z3 / d6603 / d6643 / d6653 , XPERIA X COMPACT / F5321 , XPERIA E4 / E2105 , XPERIA XZ2 , XPERIA XZ3 , XPERIA X / F5121 / F5122 , XPERIA M5 / E5603 / E5606 / E5653 silikon karet hitam soft case
Rp
15.000
5.0
6 Terjual
Besok
Jakarta Barat",https://shopee.co.id/sony-xperia-z3-d6603-d6643-d6653-XPERIA-X-COMPACT-F5321-XPERIA-E4-E2105-XPERIA-XZ2-XPERIA-XZ3-XPERIA-X-F5121-F5122-XPERIA-M5-E5603-E5606-E5653-silikon-karet-hitam-soft-case-i.300259701.4553459011?extraParams=%7B%22display_model_id%22%3A59177826861%2C%22model_selection_logic%22%3A2%7D&sp_atk=4e5d6216-3f13-4abf-aa12-99dbf806cc17&xptdk=4e5d6216-3f13-4abf-aa12-99dbf806cc17
https://down-id.img.susercontent.com/file/780eab49e19059b84147875380e4fb42,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,sony xperia xz wifi only,Rp,775.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kediri,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
sony xperia xz wifi only
Rp
775.000
5.0
1 Terjual
< 2 Hari
Kab. Kediri",https://shopee.co.id/sony-xperia-xz-wifi-only-i.95583795.13415663617?extraParams=%7B%22display_model_id%22%3A102660447543%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c3917a3-2c25-48a6-bbcb-6811661aff63&xptdk=1c3917a3-2c25-48a6-bbcb-6811661aff63
