-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,truncate,img,text-xs/sp14_2,w-auto,text-white,inline-block,text-shopee-primary,_container,_container_link
https://down-id.img.susercontent.com/file/1bd7a985aeeccd4f5ec1a45aa7ae34aa,,SONY XPERIA XZS DOCOMO SECOND SEKEN BEKAS 32GB ROM 4GB RAM ORIGINAL,Rp,900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,21 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kulon Progo,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"Scrape to BigSeller
SONY XPERIA XZS DOCOMO SECOND SEKEN BEKAS 32GB ROM 4GB RAM ORIGINAL
Rp
900.000
Cicilan
4.5
21 Terjual
Besok
Kab. Kulon Progo",https://shopee.co.id/SONY-XPERIA-XZS-DOCOMO-SECOND-SEKEN-BEKAS-32GB-ROM-4GB-RAM-ORIGINAL-i.34341683.2301771644?extraParams=%7B%22display_model_id%22%3A52255993720%2C%22model_selection_logic%22%3A3%7D&sp_atk=caf16a25-aa35-4a19-aea5-515fe927945a&xptdk=caf16a25-aa35-4a19-aea5-515fe927945a
https://down-id.img.susercontent.com/file/id-11134207-8224v-mixy52hmchz5da,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia X Performance 3/33 GB Bekas Lengkap Garansi Resmi #77276,Rp,534.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Wonogiri,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"Scrape to BigSeller
Sony Xperia X Performance 3/33 GB Bekas Lengkap Garansi Resmi #77276
Rp
534.000
Produk Baru
Besok
Kab. Wonogiri",https://shopee.co.id/Sony-Xperia-X-Performance-3-33-GB-Bekas-Lengkap-Garansi-Resmi-77276-i.1583609959.51554007110?extraParams=%7B%22display_model_id%22%3A365380362049%2C%22model_selection_logic%22%3A3%7D&sp_atk=52be8a27-5b47-4947-94ec-a1ae0707bcfa&xptdk=52be8a27-5b47-4947-94ec-a1ae0707bcfa
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmpcgdisgyrs39,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia XZ2 Compact 4/64GB second,Rp,885.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Semarang,,,,,,,,"Scrape to BigSeller
Sony Xperia XZ2 Compact 4/64GB second
Rp
885.000
4-7 Hari
Kab. Semarang",https://shopee.co.id/Sony-Xperia-XZ2-Compact-4-64GB-second-i.144070895.57355501133?extraParams=%7B%22display_model_id%22%3A435499106389%2C%22model_selection_logic%22%3A3%7D&sp_atk=fd790f24-977d-4599-b3b9-1a4f808b71a6&xptdk=fd790f24-977d-4599-b3b9-1a4f808b71a6
https://down-id.img.susercontent.com/file/id-11134207-8224w-mj0u7rsj9dl2dc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony XPERIA U hp jadul Bahan Minus,Rp,350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Boyolali,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,"Scrape to BigSeller
Sony XPERIA U hp jadul Bahan Minus
Rp
350.000
5.0
2 Terjual
2-3 Hari
Kab. Boyolali",https://shopee.co.id/Sony-XPERIA-U-hp-jadul-Bahan-Minus-i.200572087.29335008261?extraParams=%7B%22display_model_id%22%3A405380586344%2C%22model_selection_logic%22%3A3%7D&sp_atk=97a66d4c-504c-4410-9da7-879a2e66a168&xptdk=97a66d4c-504c-4410-9da7-879a2e66a168
https://down-id.img.susercontent.com/file/604517a3ff632df35ddb4fb5a8dd3fee,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia Z3 Compact 2/16 GB Second Mulus,Rp,525.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"Scrape to BigSeller
Sony Xperia Z3 Compact 2/16 GB Second Mulus
Rp
525.000
5.0
2 Terjual
Besok
Jakarta Barat",https://shopee.co.id/Sony-Xperia-Z3-Compact-2-16-GB-Second-Mulus-i.3257946.11907324739?extraParams=%7B%22display_model_id%22%3A26081895901%2C%22model_selection_logic%22%3A3%7D&sp_atk=2fede8f9-d267-45a8-869b-e6624b7db4d3&xptdk=2fede8f9-d267-45a8-869b-e6624b7db4d3
https://down-id.img.susercontent.com/file/id-11134207-822wm-mmdwl9pwuyv67b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,SONY XPERIA Z4 jual 2 unit (sekaligus) Minus (Khusus yang Tahu aja),Rp,399.999,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,,,,-20%,"Scrape to BigSeller
SONY XPERIA Z4 jual 2 unit (sekaligus) Minus (Khusus yang Tahu aja)
Rp
399.999
-20%
1 Terjual
2-4 Hari
Kab. Tangerang",https://shopee.co.id/SONY-XPERIA-Z4-jual-2-unit-(sekaligus)-Minus-(Khusus-yang-Tahu-aja)-i.471427911.25563163652?extraParams=%7B%22display_model_id%22%3A232514285784%2C%22model_selection_logic%22%3A3%7D&sp_atk=b369fcf0-f15c-46e3-b9b6-5354ca02fafa&xptdk=b369fcf0-f15c-46e3-b9b6-5354ca02fafa
https://down-id.img.susercontent.com/file/sg-11134201-22110-ftzd9i1vhsjv62,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,[HP MINUS/RUSAK] Sony Xperia P LT22i,Rp,99.900,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,,,,,"Scrape to BigSeller
[HP MINUS/RUSAK] Sony Xperia P LT22i
Rp
99.900
2-3 Hari
Bandung",https://shopee.co.id/-HP-MINUS-RUSAK-Sony-Xperia-P-LT22i-i.9200362.18961938510?extraParams=%7B%22display_model_id%22%3A183169115239%2C%22model_selection_logic%22%3A3%7D&sp_atk=a2cff758-af63-43cc-92c0-14fa418d257a&xptdk=a2cff758-af63-43cc-92c0-14fa418d257a
https://down-id.img.susercontent.com/file/id-11134207-82252-mk6713tlw1dx6c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xz1 Compact 4/32 ALL OPERATOR GOOD CONDITION,Rp,1.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,49 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jepara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Scrape to BigSeller
Sony Xz1 Compact 4/32 ALL OPERATOR GOOD CONDITION
Rp
1.350.000
4.9
49 Terjual
Besok
Kab. Jepara",https://shopee.co.id/Sony-Xz1-Compact-4-32-ALL-OPERATOR-GOOD-CONDITION-i.38916987.17742069538?extraParams=%7B%22display_model_id%22%3A247898447368%2C%22model_selection_logic%22%3A3%7D&sp_atk=41666a1b-82a4-419d-923d-9e084e45084c&xptdk=41666a1b-82a4-419d-923d-9e084e45084c
https://down-id.img.susercontent.com/file/178f2e06fb702434dffb2bdcb06290fb,,SONY XZ 3/32 SEKEN,Rp,700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,"Scrape to BigSeller
SONY XZ 3/32 SEKEN
Rp
700.000
5.0
1 Terjual
3-5 Hari
Kab. Sidoarjo",https://shopee.co.id/SONY-XZ-3-32-SEKEN-i.486587872.9194950581?extraParams=%7B%22display_model_id%22%3A121089913932%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab5c0ea6-0ef9-48e9-b28d-49df8236d124&xptdk=ab5c0ea6-0ef9-48e9-b28d-49df8236d124
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mdh41ndy0v2w83,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SONY EXPERIA ANDROID LAWAS BAHAN BUKAN NORMAL,Rp,99.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,,"Scrape to BigSeller
SONY EXPERIA ANDROID LAWAS BAHAN BUKAN NORMAL
Rp
99.000
5.0
1 Terjual
1-4 Hari
Surabaya",https://shopee.co.id/SONY-EXPERIA-ANDROID-LAWAS-BAHAN-BUKAN-NORMAL-i.287942642.12805213586?extraParams=%7B%22display_model_id%22%3A112275797950%2C%22model_selection_logic%22%3A3%7D&sp_atk=6f16ff18-80d5-4bdd-83ba-6a5e2e3fa1e1&xptdk=6f16ff18-80d5-4bdd-83ba-6a5e2e3fa1e1
