-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,truncate,text-shopee-primary,pointer-events-none_3,_container,_container_link,text-shopee-green,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-7rase-m5idomnw13bq4c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Redmi Note 14 5g Ram 12/512gb Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.775.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,254 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kediri,,,,"Xiaomi Redmi Note 14 5g Ram 12/512gb Garansi Resmi
Rp
3.775.000
5.0
254 Terjual
2-4 Hari
Kediri",https://shopee.co.id/Xiaomi-Redmi-Note-14-5g-Ram-12-512gb-Garansi-Resmi-i.45658405.24090874802?extraParams=%7B%22display_model_id%22%3A218181998013%2C%22model_selection_logic%22%3A3%7D&sp_atk=e05bfb88-8a71-453b-8128-87bdc7312760&xptdk=e05bfb88-8a71-453b-8128-87bdc7312760,,
https://down-id.img.susercontent.com/file/id-11134207-81ztn-metj8pn18kqo09,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Xiaomi Redmi 15 8/128 8/256 7000mAH Refresh Rate 144hz Snapdragon 685 - Garansi 15 Bulan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.663.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,727 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,"Xiaomi Redmi 15 8/128 8/256 7000mAH Refresh Rate 144hz Snapdragon 685 - Garansi 15 Bulan
Rp
2.663.000
5.0
727 Terjual
< 2 Hari
Surabaya",https://shopee.co.id/Xiaomi-Redmi-15-8-128-8-256-7000mAH-Refresh-Rate-144hz-Snapdragon-685-Garansi-15-Bulan-i.1102849498.41001946566?extraParams=%7B%22display_model_id%22%3A280158233052%2C%22model_selection_logic%22%3A3%7D&sp_atk=bb6cb6fd-8514-4152-8d7e-8a51ef53009b&xptdk=bb6cb6fd-8514-4152-8d7e-8a51ef53009b,,
https://down-id.img.susercontent.com/file/id-11134207-81ztm-mett1kjscah0af,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Xiaomi Redmi 15 8/128GB | 8/256GB Baterai besar 7000mAh Layar 6.9"" NFC - Garansi Resmi 15 Bulan",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.567.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,173 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,"Xiaomi Redmi 15 8/128GB | 8/256GB Baterai besar 7000mAh Layar 6.9"" NFC - Garansi Resmi 15 Bulan
Rp
2.567.000
4.9
173 Terjual
Besok
Surabaya",https://shopee.co.id/Xiaomi-Redmi-15-8-128GB-8-256GB-Baterai-besar-7000mAh-Layar-6.9-NFC-Garansi-Resmi-15-Bulan-i.1111346496.40420005082?extraParams=%7B%22display_model_id%22%3A271634658136%2C%22model_selection_logic%22%3A3%7D&sp_atk=d2ea3269-66a6-4aa1-a1d3-70e700d6d00c&xptdk=d2ea3269-66a6-4aa1-a1d3-70e700d6d00c,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mdo6699ol8cs84,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Xiaomi Redmi 15C 6/128GB | 8/256GB  - Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.201.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,2RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,"Xiaomi Redmi 15C 6/128GB | 8/256GB - Garansi Resmi
Rp
2.201.000
4.9
2RB+ Terjual
Besok
Surabaya",https://shopee.co.id/Xiaomi-Redmi-15C-6-128GB-8-256GB-Garansi-Resmi-i.308460192.27562317855?extraParams=%7B%22display_model_id%22%3A306213393287%2C%22model_selection_logic%22%3A3%7D&sp_atk=bc139eaf-d623-43b7-b224-d4c75ea5db54&xptdk=bc139eaf-d623-43b7-b224-d4c75ea5db54,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mdpucfte9efs93,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"HP Xiaomi REDMI 15C 8/256GB, REDMI 15C 8/128GB(Garansi Resmi XIAOMI 1 TAHUN)",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.000.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,741 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,"HP Xiaomi REDMI 15C 8/256GB, REDMI 15C 8/128GB(Garansi Resmi XIAOMI 1 TAHUN)
Rp
3.000.000
4.9
741 Terjual
< 2 Hari
Surabaya",https://shopee.co.id/HP-Xiaomi-REDMI-15C-8-256GB-REDMI-15C-8-128GB(Garansi-Resmi-XIAOMI-1-TAHUN)-i.457871974.14415291650?extraParams=%7B%22display_model_id%22%3A248779451152%2C%22model_selection_logic%22%3A3%7D&sp_atk=c5fdc5a4-a842-4bf5-beff-b6eeecaf690a&xptdk=c5fdc5a4-a842-4bf5-beff-b6eeecaf690a,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-mafnvf61xhvcf0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Pocophone C71 4/128GB 6.88 Inch Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.729.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,119 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Balikpapan,,,,"Xiaomi Pocophone C71 4/128GB 6.88 Inch Garansi Resmi
Rp
1.729.000
4.9
119 Terjual
2-5 Hari
Balikpapan",https://shopee.co.id/Xiaomi-Pocophone-C71-4-128GB-6.88-Inch-Garansi-Resmi-i.147421658.44002823366?extraParams=%7B%22display_model_id%22%3A275232136288%2C%22model_selection_logic%22%3A3%7D&sp_atk=fef353e9-7fc1-4ce4-95a7-58b3d93665a8&xptdk=fef353e9-7fc1-4ce4-95a7-58b3d93665a8,,
https://down-id.img.susercontent.com/file/id-11134207-822wh-mln2d9ktzb4f0b,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,[ READY ] Xiaomi Redmi Note 15 PRO 5G 12/512GB | GARANSI RESMI XIAOMI INDNOESIA | BNIB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.049.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,571 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,,"[ READY ] Xiaomi Redmi Note 15 PRO 5G 12/512GB | GARANSI RESMI XIAOMI INDNOESIA | BNIB
Rp
3.049.000
4.9
571 Terjual
2-3 Hari
Depok",https://shopee.co.id/-READY-Xiaomi-Redmi-Note-15-PRO-5G-12-512GB-GARANSI-RESMI-XIAOMI-INDNOESIA-BNIB-i.331211968.28574742739?extraParams=%7B%22display_model_id%22%3A415625437777%2C%22model_selection_logic%22%3A3%7D&sp_atk=61c05c50-cc84-4645-8d4e-1e385c06b711&xptdk=61c05c50-cc84-4645-8d4e-1e385c06b711,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mdipxtxfu2lwb4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Redmi 15C 6/128GB | 8/256GB - Garansi Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.104.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,827 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,-30%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Xiaomi Redmi 15C 6/128GB | 8/256GB - Garansi Indonesia
Rp
2.104.000
-30%
4.9
827 Terjual
3 Hari
Jakarta Pusat",https://shopee.co.id/Xiaomi-Redmi-15C-6-128GB-8-256GB-Garansi-Indonesia-i.27662413.27890073263?extraParams=%7B%22display_model_id%22%3A281131067451%2C%22model_selection_logic%22%3A3%7D&sp_atk=f097ea2a-5a39-4660-921a-ff255aa2918d&xptdk=f097ea2a-5a39-4660-921a-ff255aa2918d,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mdiid6itlz5b23,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Xiaomi Redmi 15C 6gb/8gb 128gb/256gb GARANSI RESMI Battery 6000 mAh Android 15,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.199.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,170 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,,,,"Xiaomi Redmi 15C 6gb/8gb 128gb/256gb GARANSI RESMI Battery 6000 mAh Android 15
Rp
2.199.000
5.0
170 Terjual
2-3 Hari
Jakarta Selatan",https://shopee.co.id/Xiaomi-Redmi-15C-6gb-8gb-128gb-256gb-GARANSI-RESMI-Battery-6000-mAh-Android-15-i.1532873724.42563658174?extraParams=%7B%22display_model_id%22%3A261273183427%2C%22model_selection_logic%22%3A3%7D&sp_atk=f9c91914-a78e-4f33-8821-57bba5f54c35&xptdk=f9c91914-a78e-4f33-8821-57bba5f54c35,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-mambd3a47xko44,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Xiaomi Poco C71 Layar 6,88"" 4GB+128GB - Garansi Resmi 1 Tahun",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.649.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,693 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,"Xiaomi Poco C71 Layar 6,88"" 4GB+128GB - Garansi Resmi 1 Tahun
Rp
1.649.000
4.9
693 Terjual
3-6 Hari
Jakarta Utara",https://shopee.co.id/Xiaomi-Poco-C71-Layar-6-88-4GB-128GB-Garansi-Resmi-1-Tahun-i.316930488.43703279809?extraParams=%7B%22display_model_id%22%3A224273044088%2C%22model_selection_logic%22%3A3%7D&sp_atk=821140b3-5875-4ae8-b6e9-5da18308274e&xptdk=821140b3-5875-4ae8-b6e9-5da18308274e,,
