-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,inline-block,text-shopee-primary,truncate,text-xs_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rasj-m5ccxrzpgr9i2a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus VivoBook M1403QA Ryzen 7 5800HS 8GB 256GB SSD,Rp,7.050.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,1 Terjual,"Asus VivoBook M1403QA Ryzen 7 5800HS 8GB 256GB SSD
Rp
7.050.000
5.0
1 Terjual
< 2 Hari
Malang",https://shopee.co.id/Asus-VivoBook-M1403QA-Ryzen-7-5800HS-8GB-256GB-SSD-i.44435356.29856572704?extraParams=%7B%22display_model_id%22%3A246288877639%2C%22model_selection_logic%22%3A3%7D&sp_atk=60eb0442-76dd-444b-92c6-d31db5a80372&xptdk=60eb0442-76dd-444b-92c6-d31db5a80372
https://down-id.img.susercontent.com/file/sg-11134201-22110-gyku29zf7fkvb3,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Asus A442UR i5-8250U 12GB 512GB SSD Gaming Laptop,Rp,3.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,4 Terjual,"Asus A442UR i5-8250U 12GB 512GB SSD Gaming Laptop
Rp
3.900.000
5.0
4 Terjual
3-5 Hari
Depok",https://shopee.co.id/Asus-A442UR-i5-8250U-12GB-512GB-SSD-Gaming-Laptop-i.6356067.19965552719?extraParams=%7B%22display_model_id%22%3A156349900525%2C%22model_selection_logic%22%3A3%7D&sp_atk=42e1e77c-223a-46f9-9a36-f716543741ab&xptdk=42e1e77c-223a-46f9-9a36-f716543741ab
https://down-id.img.susercontent.com/file/id-11134207-7rasg-m0kvxgtr5w6v40,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"laptop Asus Vivobook X441n 14"" celeron SSD+HDD bekas whitespot",Rp,1.599.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,2-3 Hari,"laptop Asus Vivobook X441n 14"" celeron SSD+HDD bekas whitespot
Rp
1.599.000
2-3 Hari
Surabaya",https://shopee.co.id/laptop-Asus-Vivobook-X441n-14-celeron-SSD-HDD-bekas-whitespot-i.1362178737.28662294236?extraParams=%7B%22display_model_id%22%3A178437439205%2C%22model_selection_logic%22%3A3%7D&sp_atk=124680df-e2f3-44aa-b70a-007b9c8b3d8a&xptdk=124680df-e2f3-44aa-b70a-007b9c8b3d8a
https://down-id.img.susercontent.com/file/4ee01364650163554fd268d20fc6c720,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Asus X441S SSD 128GB Murah Bergaransi,Rp,1.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,Cicilan,11 Terjual,"Laptop Asus X441S SSD 128GB Murah Bergaransi
Rp
1.900.000
Cicilan
4.9
11 Terjual
< 2 Hari
Kab. Malang",https://shopee.co.id/Laptop-Asus-X441S-SSD-128GB-Murah-Bergaransi-i.17080485.5261227598?extraParams=%7B%22display_model_id%22%3A76647471580%2C%22model_selection_logic%22%3A3%7D&sp_atk=bfa16d4a-b2a2-457e-9212-9ff4a33a8878&xptdk=bfa16d4a-b2a2-457e-9212-9ff4a33a8878
https://down-id.img.susercontent.com/file/id-11134207-822wq-mm5jap4mkf7pdb,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop asus x441B AMD A9 9420 RADEON R5 (bekas),Rp,2.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,< 2 Hari,"Laptop asus x441B AMD A9 9420 RADEON R5 (bekas)
Rp
2.800.000
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-asus-x441B-AMD-A9-9420-RADEON-R5-(bekas)-i.1553509310.56208254348?extraParams=%7B%22display_model_id%22%3A330734101671%2C%22model_selection_logic%22%3A3%7D&sp_atk=0f7b7aaf-c088-40c7-b580-e65478871920&xptdk=0f7b7aaf-c088-40c7-b580-e65478871920
https://down-id.img.susercontent.com/file/id-11134207-7rasc-m1b58q2uplpafe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop ringan Asus X200M Bekas mulus,Rp,1.299.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,2-3 Hari,"Laptop ringan Asus X200M Bekas mulus
Rp
1.299.000
2-3 Hari
Surabaya",https://shopee.co.id/Laptop-ringan-Asus-X200M-Bekas-mulus-i.1362178737.27113904641?extraParams=%7B%22display_model_id%22%3A251767838806%2C%22model_selection_logic%22%3A3%7D&sp_atk=946fd926-518c-4e71-aec1-5c19dd4cb9ef&xptdk=946fd926-518c-4e71-aec1-5c19dd4cb9ef
https://down-id.img.susercontent.com/file/id-11134207-7rash-m5mj2t63cn0i1a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Asus Vivobook A442u Core I5 16GB SSD1TB,Rp,3.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,< 2 Hari,"Laptop Asus Vivobook A442u Core I5 16GB SSD1TB
Rp
3.000.000
< 2 Hari
Malang",https://shopee.co.id/Laptop-Asus-Vivobook-A442u-Core-I5-16GB-SSD1TB-i.44435356.29824809143?extraParams=%7B%22display_model_id%22%3A49905554187%2C%22model_selection_logic%22%3A3%7D&sp_atk=13b7f6cd-a533-4fa6-bc99-5e570b7071b9&xptdk=13b7f6cd-a533-4fa6-bc99-5e570b7071b9
https://down-id.img.susercontent.com/file/id-11134207-8224w-mgc89ag1vaiya7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Asus E203NAH Intel Celeron Siap Pakai,Rp,1.210.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,< 2 Hari,"Laptop Asus E203NAH Intel Celeron Siap Pakai
Rp
1.210.000
< 2 Hari
Malang",https://shopee.co.id/Laptop-Asus-E203NAH-Intel-Celeron-Siap-Pakai-i.79997666.52850248927?extraParams=%7B%22display_model_id%22%3A335023042845%2C%22model_selection_logic%22%3A3%7D&sp_atk=ac85025c-4206-4513-9077-7c8dc67b43e9&xptdk=ac85025c-4206-4513-9077-7c8dc67b43e9
https://down-id.img.susercontent.com/file/id-11134207-7rasc-m20s6ca0lkot87,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,preloved laptop ASUS,Rp,2.000.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5-10 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pekanbaru,,,,,,5-10 Hari,"preloved laptop ASUS
Rp
2.000.000
5-10 Hari
Pekanbaru",https://shopee.co.id/preloved-laptop-ASUS-i.775802063.28416138433?extraParams=%7B%22display_model_id%22%3A119305969561%2C%22model_selection_logic%22%3A3%7D&sp_atk=5ebefcc1-a076-45c0-8090-2ca0ce0d0825&xptdk=5ebefcc1-a076-45c0-8090-2ca0ce0d0825
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m45i6j9lhcavb3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Bekas Murah Asus X401U Ram 2Gb , Hardisk 320 gb Sby",Rp,1.100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 10:00,,,,Besok 10:00,"Laptop Bekas Murah Asus X401U Ram 2Gb , Hardisk 320 gb Sby
Rp
1.100.000
Besok 10:00
Surabaya",https://shopee.co.id/Laptop-Bekas-Murah-Asus-X401U-Ram-2Gb-Hardisk-320-gb-Sby-i.1182368240.29221586629?extraParams=%7B%22display_model_id%22%3A242328460403%2C%22model_selection_logic%22%3A3%7D&sp_atk=1a71b3ce-7eb4-4998-99b1-f65c2b73142b&xptdk=1a71b3ce-7eb4-4998-99b1-f65c2b73142b
