-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,w-auto,text-white,img,text-xs/sp14_2,truncate,text-shopee-primary,pointer-events-none_3,text-white_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224z-mkxl9uzycs8w3d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,honor x9b seken,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5-10 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Sibolga,,,,,,,,,,"Scrape to BigSeller
honor x9b seken
Rp
1.500.000
5-10 Hari
Sibolga",https://shopee.co.id/honor-x9b-seken-i.658977457.53056293026?extraParams=%7B%22display_model_id%22%3A405569667550%2C%22model_selection_logic%22%3A3%7D&sp_atk=085b3d7a-42ad-45dc-954e-a65b8bbc3039&xptdk=085b3d7a-42ad-45dc-954e-a65b8bbc3039
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmk4fx0g8lq9dc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,honor 8x 4/128 second nurmal cek deskripsi,Rp,1.150.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Probolinggo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,< 2 Hari,"Scrape to BigSeller
honor 8x 4/128 second nurmal cek deskripsi
Rp
1.150.000
< 2 Hari
Kab. Probolinggo",https://shopee.co.id/honor-8x-4-128-second-nurmal-cek-deskripsi-i.78346931.47508141624?extraParams=%7B%22display_model_id%22%3A435721183774%2C%22model_selection_logic%22%3A3%7D&sp_atk=71bde1a5-3456-43f9-a589-9005e5eb8f31&xptdk=71bde1a5-3456-43f9-a589-9005e5eb8f31
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmsst80vnj7peb,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor x9c 12/256 Second Handphone,Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Serang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,Besok,"Scrape to BigSeller
Honor x9c 12/256 Second Handphone
Rp
3.500.000
5.0
2 Terjual
Besok
Kab. Serang",https://shopee.co.id/Honor-x9c-12-256-Second-Handphone-i.1517562187.56851603246?extraParams=%7B%22display_model_id%22%3A350146972989%2C%22model_selection_logic%22%3A3%7D&sp_atk=3cc2502d-7dec-42ff-99b8-5a4398fbe746&xptdk=3cc2502d-7dec-42ff-99b8-5a4398fbe746
https://down-id.img.susercontent.com/file/id-11134207-8224w-miq52v76sirm77,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR 400 LITE 5G 8/256GB SECOND MULUS TERAWAT,Rp,3.379.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,3 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Produk Baru,,,3 jam,"Scrape to BigSeller
HONOR 400 LITE 5G 8/256GB SECOND MULUS TERAWAT
Rp
3.379.000
Produk Baru
5.0
10 Terjual
3 jam
Kab. Sidoarjo",https://shopee.co.id/HONOR-400-LITE-5G-8-256GB-SECOND-MULUS-TERAWAT-i.309409025.45803817290?extraParams=%7B%22display_model_id%22%3A365360482685%2C%22model_selection_logic%22%3A3%7D&sp_atk=08d471da-3fcc-4817-9e8a-36be0b18556a&xptdk=08d471da-3fcc-4817-9e8a-36be0b18556a
https://down-id.img.susercontent.com/file/id-11134207-822ws-mlf8u64del8k03,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR 400 LITE 5G RAM 8/256GB SECOND MULUS TERAWAT,Rp,3.340.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Besok,"Scrape to BigSeller
HONOR 400 LITE 5G RAM 8/256GB SECOND MULUS TERAWAT
Rp
3.340.000
-1%
Besok
Surabaya",https://shopee.co.id/HONOR-400-LITE-5G-RAM-8-256GB-SECOND-MULUS-TERAWAT-i.1737394505.46356764936?extraParams=%7B%22display_model_id%22%3A330606399822%2C%22model_selection_logic%22%3A3%7D&sp_atk=c0bfc869-b729-4423-8477-981ebd05d22b&xptdk=c0bfc869-b729-4423-8477-981ebd05d22b
https://down-id.img.susercontent.com/file/id-11134207-8224p-mjm8x2zt5khvb9,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor X9C || 2nd || Normal,Rp,3.110.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kuningan,,,,,,,,,,"Scrape to BigSeller
Honor X9C || 2nd || Normal
Rp
3.110.000
4-7 Hari
Kab. Kuningan",https://shopee.co.id/Honor-X9C-2nd-Normal-i.310891210.55404843140?extraParams=%7B%22display_model_id%22%3A307342827748%2C%22model_selection_logic%22%3A3%7D&sp_atk=a4b7f5b0-83c1-44f3-a007-b0194edebe7a&xptdk=a4b7f5b0-83c1-44f3-a007-b0194edebe7a
https://down-id.img.susercontent.com/file/id-11134207-822wh-mmzu5cit4jd460,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor 400 lite 8/256 Second,Rp,3.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Demak,,,,,,,,,,"Scrape to BigSeller
Honor 400 lite 8/256 Second
Rp
3.350.000
4-6 Hari
Kab. Demak",https://shopee.co.id/Honor-400-lite-8-256-Second-i.1046810779.55608724078?extraParams=%7B%22display_model_id%22%3A330774975221%2C%22model_selection_logic%22%3A3%7D&sp_atk=87759a86-54fa-4d4e-ba3d-25ed02b523d2&xptdk=87759a86-54fa-4d4e-ba3d-25ed02b523d2
https://down-id.img.susercontent.com/file/id-11134207-82251-mhmqlnppq39f34,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Honor 90 lite biru Ram 4-8gb minus lcd second Singapore ex inter,Rp,600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Batam,,,,,,,,,,"Scrape to BigSeller
Honor 90 lite biru Ram 4-8gb minus lcd second Singapore ex inter
Rp
600.000
1 Terjual
8-20 Hari
Batam",https://shopee.co.id/Honor-90-lite-biru-Ram-4-8gb-minus-lcd-second-Singapore-ex-inter-i.113909107.57302298930?extraParams=%7B%22display_model_id%22%3A400222781769%2C%22model_selection_logic%22%3A3%7D&sp_atk=a16d1818-c5ed-404b-a3dc-f9796531960f&xptdk=a16d1818-c5ed-404b-a3dc-f9796531960f
https://down-id.img.susercontent.com/file/id-11134207-822wg-mlg67hdsh91e49,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HONOR 400 LITE 5G 8/256GB SECOND MULUS TERAWAT,Rp,3.370.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,3 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,3 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,,3 jam,"Scrape to BigSeller
HONOR 400 LITE 5G 8/256GB SECOND MULUS TERAWAT
Rp
3.370.000
3 jam
Kab. Sidoarjo",https://shopee.co.id/HONOR-400-LITE-5G-8-256GB-SECOND-MULUS-TERAWAT-i.480452205.46656794861?extraParams=%7B%22display_model_id%22%3A445609024425%2C%22model_selection_logic%22%3A3%7D&sp_atk=c38519ee-b404-4f57-895e-d883917df349&xptdk=c38519ee-b404-4f57-895e-d883917df349
https://down-id.img.susercontent.com/file/id-11134207-82251-mjjhdy76n18l28,,Honor X9c 5G 12/256 GB Garansi Resmi Indonesia Second Bekas Original,Rp,3.690.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,Besok,"Scrape to BigSeller
Honor X9c 5G 12/256 GB Garansi Resmi Indonesia Second Bekas Original
Rp
3.690.000
5.0
4 Terjual
Besok
Jakarta Utara",https://shopee.co.id/Honor-X9c-5G-12-256-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.44259668535?extraParams=%7B%22display_model_id%22%3A265810936271%2C%22model_selection_logic%22%3A3%7D&sp_atk=744634d4-6b4c-48e9-9d38-7537fb852554&xptdk=744634d4-6b4c-48e9-9d38-7537fb852554
