-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,pointer-events-none_2,align-middle,w-auto,text-white,text-shopee-primary,pointer-events-none_3,truncate,_container,_container_link,text-shopee-green,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-8224r-mi33u8ahkz5v47,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Oppo Find X8 12/256 Garansi Resmi Second Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,9.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,,,"Oppo Find X8 12/256 Garansi Resmi Second Original
Rp
9.500.000
5.0
23 Terjual
3 Hari
Kab. Tangerang",https://shopee.co.id/Oppo-Find-X8-12-256-Garansi-Resmi-Second-Original-i.1344102188.40500939204?extraParams=%7B%22display_model_id%22%3A248421766441%2C%22model_selection_logic%22%3A3%7D&sp_atk=7f3ead53-ea0b-4db2-b846-eea9f636c75b&xptdk=7f3ead53-ea0b-4db2-b846-eea9f636c75b,,
https://down-id.img.susercontent.com/file/id-11134207-822wn-mmrahp0t2qklfc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,OPPO A83T 4/64 GB 4G LTE SECOND HP ANDROID SCND,,Rp,555.000,,,,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kudus,,,,,,"OPPO A83T 4/64 GB 4G LTE SECOND HP ANDROID SCND
Rp
555.000
3 Hari
Kab. Kudus",https://shopee.co.id/OPPO-A83T-4-64-GB-4G-LTE-SECOND-HP-ANDROID-SCND-i.1449214611.45108369700?extraParams=%7B%22display_model_id%22%3A335741617234%2C%22model_selection_logic%22%3A3%7D&sp_atk=fad98066-ded2-4855-997e-0a7efca931f2&xptdk=fad98066-ded2-4855-997e-0a7efca931f2,,
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmj0wf6nw07880,https://down-id.img.susercontent.com/file/id-11134258-7ra0r-mbetcosmf42z25,OPPO F1S RAM 4GB/64GB SECOND RESMI BERGARANSI DAN BISA RETUR YA,,Rp,350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Demak,,,,,,"OPPO F1S RAM 4GB/64GB SECOND RESMI BERGARANSI DAN BISA RETUR YA
Rp
350.000
3-6 Hari
Kab. Demak",https://shopee.co.id/OPPO-F1S-RAM-4GB-64GB-SECOND-RESMI-BERGARANSI-DAN-BISA-RETUR-YA-i.535149109.55608085232?extraParams=%7B%22display_model_id%22%3A405717391482%2C%22model_selection_logic%22%3A3%7D&sp_atk=a1cbf991-0b49-42e6-a713-1ba342ab3c8b&xptdk=a1cbf991-0b49-42e6-a713-1ba342ab3c8b,,
https://down-id.img.susercontent.com/file/id-11134207-8224y-mjlg60yxl0qsa9,,Oppo A5 Pro 5G 8/256 GB Garansi Resmi Indonesia Second Bekas Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.590.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,21 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,"Oppo A5 Pro 5G 8/256 GB Garansi Resmi Indonesia Second Bekas Original
Rp
2.590.000
5.0
21 Terjual
3 Hari
Jakarta Utara",https://shopee.co.id/Oppo-A5-Pro-5G-8-256-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.42607129732?extraParams=%7B%22display_model_id%22%3A253644250438%2C%22model_selection_logic%22%3A3%7D&sp_atk=5e7f4d25-8f09-4336-9878-d62d52a17f2a&xptdk=5e7f4d25-8f09-4336-9878-d62d52a17f2a,,
https://down-id.img.susercontent.com/file/id-11134207-822wi-mli23q1h4o3s2a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,OPPO F15 3/32 ORIGINAL 4G LTE HANDPHONE ANDROID SECOND MURAH,,Rp,410.000,,,,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kudus,,,,,,"OPPO F15 3/32 ORIGINAL 4G LTE HANDPHONE ANDROID SECOND MURAH
Rp
410.000
3-6 Hari
Kab. Kudus",https://shopee.co.id/OPPO-F15-3-32-ORIGINAL-4G-LTE-HANDPHONE-ANDROID-SECOND-MURAH-i.495759008.40029109036?extraParams=%7B%22display_model_id%22%3A425614883351%2C%22model_selection_logic%22%3A3%7D&sp_atk=c57010ee-4e3f-427e-a73b-95553f3c597d&xptdk=c57010ee-4e3f-427e-a73b-95553f3c597d,,
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m3wbl4tww1cy11,,Oppo A60 8/128 | 8/256 GB Garansi Resmi Indonesia Second Bekas Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.790.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,102 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,"Oppo A60 8/128 | 8/256 GB Garansi Resmi Indonesia Second Bekas Original
Rp
1.790.000
4.9
102 Terjual
3 Hari
Jakarta Utara",https://shopee.co.id/Oppo-A60-8-128-8-256-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.304735900.26670943921?extraParams=%7B%22display_model_id%22%3A247275707822%2C%22model_selection_logic%22%3A3%7D&sp_atk=b925c400-839d-4115-8eea-2a206cb0be2b&xptdk=b925c400-839d-4115-8eea-2a206cb0be2b,,
https://down-id.img.susercontent.com/file/id-11134207-822wg-mmvgqqon03cxd2,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HP Oppo a12 RAM 3/32  second original,,Rp,650.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,,,,,"HP Oppo a12 RAM 3/32 second original
Rp
650.000
4-7 Hari
Bogor",https://shopee.co.id/HP-Oppo-a12-RAM-3-32-second-original-i.101778355.57708657717?extraParams=%7B%22display_model_id%22%3A385768233651%2C%22model_selection_logic%22%3A3%7D&sp_atk=a4153966-0fa7-424b-b306-a7f62b2cc43a&xptdk=a4153966-0fa7-424b-b306-a7f62b2cc43a,,
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m64osnb3rmj742,,Oppo A78 5G 8/128 GB Garansi Resmi Indonesia Second Bekas Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.525.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,"Oppo A78 5G 8/128 GB Garansi Resmi Indonesia Second Bekas Original
Rp
1.525.000
5.0
9 Terjual
3 Hari
Jakarta Utara",https://shopee.co.id/Oppo-A78-5G-8-128-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.515774005.29975887410?extraParams=%7B%22display_model_id%22%3A247621845149%2C%22model_selection_logic%22%3A3%7D&sp_atk=ad580f1b-efc4-4a9e-aebe-3fe316218ed7&xptdk=ad580f1b-efc4-4a9e-aebe-3fe316218ed7,,
https://down-id.img.susercontent.com/file/id-11134207-81zth-mfkzjdv2sl5569,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,OPPO A3X 4/64 4/128 6/128 SECOND FULLSET,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.349.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,246 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,"OPPO A3X 4/64 4/128 6/128 SECOND FULLSET
Rp
1.349.000
4.9
246 Terjual
3-5 Hari
Jakarta Barat",https://shopee.co.id/OPPO-A3X-4-64-4-128-6-128-SECOND-FULLSET-i.365327344.26513332769?extraParams=%7B%22display_model_id%22%3A241726583315%2C%22model_selection_logic%22%3A3%7D&sp_atk=95b4ca1d-4380-4644-bfa5-46fa01ff0b2a&xptdk=95b4ca1d-4380-4644-bfa5-46fa01ff0b2a,,
https://down-id.img.susercontent.com/file/id-11134207-822wo-mn52140uyn7o58,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP SECOND OPPO F1S JARINGAN 4G ANDROID MURAH SIAP PAKAI RAM 3/32GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,495.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,,,"HP SECOND OPPO F1S JARINGAN 4G ANDROID MURAH SIAP PAKAI RAM 3/32GB
Rp
495.000
3 Terjual
2-4 Hari
Bandung",https://shopee.co.id/HP-SECOND-OPPO-F1S-JARINGAN-4G-ANDROID-MURAH-SIAP-PAKAI-RAM-3-32GB-i.133421876.54505110176?extraParams=%7B%22display_model_id%22%3A272355260987%2C%22model_selection_logic%22%3A3%7D&sp_atk=57f77728-a191-4b9a-b036-13188077e408&xptdk=57f77728-a191-4b9a-b036-13188077e408,,
