-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,inline-block,truncate,_container,_container_link,text-shopee-green,img_2,text-xs_2,text-shopee-primary,pointer-events-none_3
https://down-id.img.susercontent.com/file/sg-11134201-22090-an6jdlvt82hv6f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Poco M3 Pro 5G Bekas 100% Original 5000mAh 48MP,Rp,1.385.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,4.7,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,"Poco M3 Pro 5G Bekas 100% Original 5000mAh 48MP
Rp
1.385.000
4.7
38 Terjual
4-7 Hari
Tangerang",https://shopee.co.id/Poco-M3-Pro-5G-Bekas-100-Original-5000mAh-48MP-i.614116999.21150750868?extraParams=%7B%22display_model_id%22%3A225501430520%2C%22model_selection_logic%22%3A3%7D&sp_atk=9edd5849-12b9-44ab-b0dd-771f6e9e8e9c&xptdk=9edd5849-12b9-44ab-b0dd-771f6e9e8e9c,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,38 Terjual,,
https://down-id.img.susercontent.com/file/id-11134207-822wh-mn493zju73lt41,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,POCO X7 Pro RAM 12+12/512GB [Second/ Hp Bekas],Rp,4.399.999,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Manado,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,"POCO X7 Pro RAM 12+12/512GB [Second/ Hp Bekas]
Rp
4.399.999
2-3 Hari
Manado",https://shopee.co.id/POCO-X7-Pro-RAM-12-12-512GB-Second-Hp-Bekas--i.993345708.43030109151?extraParams=%7B%22display_model_id%22%3A440793438486%2C%22model_selection_logic%22%3A3%7D&sp_atk=1ac8e698-a5fa-4eae-b217-e4dd2394ad26&xptdk=1ac8e698-a5fa-4eae-b217-e4dd2394ad26,2-3 Hari,,2-3 Hari,,
https://down-id.img.susercontent.com/file/id-11134207-822wr-mloy8xw6gdtu1c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Xiaomi Poco C85 Ram Ram 6/128 | Ram 8/256 Second Original,Rp,1.574.555,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Xiaomi Poco C85 Ram Ram 6/128 | Ram 8/256 Second Original
Rp
1.574.555
-16%
1 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Xiaomi-Poco-C85-Ram-Ram-6-128-Ram-8-256-Second-Original-i.358338280.52657071704?extraParams=%7B%22display_model_id%22%3A310639724976%2C%22model_selection_logic%22%3A3%7D&sp_atk=85623cde-7e1d-4573-99b7-5268fb066f57&xptdk=85623cde-7e1d-4573-99b7-5268fb066f57,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,1 Terjual,-16%,
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-magojy7oc0b668,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Poco C75 6/128 GB8/256GB Handphone Second Bekas Fullset,Rp,1.595.000,,,5.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Cicilan,"Poco C75 6/128 GB8/256GB Handphone Second Bekas Fullset
Rp
1.595.000
Cicilan
5.0
18 Terjual
3 Hari
Jakarta Selatan",https://shopee.co.id/Poco-C75-6-128-GB8-256GB-Handphone-Second-Bekas-Fullset-i.451756410.7192482250?extraParams=%7B%22display_model_id%22%3A243514439927%2C%22model_selection_logic%22%3A3%7D&sp_atk=1ea11314-4001-46f8-b490-2420c5caab6a&xptdk=1ea11314-4001-46f8-b490-2420c5caab6a,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,18 Terjual,,
https://down-id.img.susercontent.com/file/id-11134207-7r991-lq0l06350swgca,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,poco M4 pro ram 6/128 Fullset second,Rp,1.665.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,"poco M4 pro ram 6/128 Fullset second
Rp
1.665.000
1 Terjual
< 2 Hari
Surabaya",https://shopee.co.id/poco-M4-pro-ram-6-128-Fullset-second-i.230315394.23836139033?extraParams=%7B%22display_model_id%22%3A118038245256%2C%22model_selection_logic%22%3A3%7D&sp_atk=09835d4f-252c-4b5e-aaa1-3a0b46a4ce79&xptdk=09835d4f-252c-4b5e-aaa1-3a0b46a4ce79,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,1 Terjual,,
https://down-id.img.susercontent.com/file/id-11134207-81ztf-me2n3dufytc55d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi POCO F3 fullset 2 pcs lengkap mulus no minus bonus case second,Rp,3.147.219,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,5.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"Xiaomi POCO F3 fullset 2 pcs lengkap mulus no minus bonus case second
Rp
3.147.219
5.0
8 Terjual
3 Hari
Jakarta Utara",https://shopee.co.id/Xiaomi-POCO-F3-fullset-2-pcs-lengkap-mulus-no-minus-bonus-case-second-i.73562114.44116443348?extraParams=%7B%22display_model_id%22%3A281354910931%2C%22model_selection_logic%22%3A3%7D&sp_atk=7c81269e-0b3e-4543-ae8e-84c57dd45e2d&xptdk=7c81269e-0b3e-4543-ae8e-84c57dd45e2d,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,8 Terjual,,
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmidqjio56h2bf,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Poco X3 Pro 6/128GB Second Ori,Rp,1.350.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Produk Baru,"Poco X3 Pro 6/128GB Second Ori
Rp
1.350.000
Produk Baru
1 Terjual
2-4 Hari
Bandung",https://shopee.co.id/Poco-X3-Pro-6-128GB-Second-Ori-i.85277250.57953262401?extraParams=%7B%22display_model_id%22%3A310315121356%2C%22model_selection_logic%22%3A3%7D&sp_atk=87f623b0-09c9-4e40-b55c-f0e628479134&xptdk=87f623b0-09c9-4e40-b55c-f0e628479134,2-4 Hari,,1 Terjual,,
https://down-id.img.susercontent.com/file/id-11134207-7r98t-ln5j4faar84df5,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,poco x5 5G 8/256gb second bekas mulus fullset original resmi,Rp,2.800.000,,,5.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"poco x5 5G 8/256gb second bekas mulus fullset original resmi
Rp
2.800.000
5.0
9 Terjual
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/poco-x5-5G-8-256gb-second-bekas-mulus-fullset-original-resmi-i.47268880.21494486152?extraParams=%7B%22display_model_id%22%3A194670383891%2C%22model_selection_logic%22%3A3%7D&sp_atk=71a29c90-0632-4152-9494-51aec3625a0a&xptdk=71a29c90-0632-4152-9494-51aec3625a0a,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,9 Terjual,,
https://down-id.img.susercontent.com/file/id-11134207-822wh-mmwjchqt4bggf9,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Poco X8 pro 8/512 GB second super like new istimewa aktivasi April 2026,Rp,5.000.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Ciamis,,,"Poco X8 pro 8/512 GB second super like new istimewa aktivasi April 2026
Rp
5.000.000
3 Hari
Kab. Ciamis",https://shopee.co.id/Poco-X8-pro-8-512-GB-second-super-like-new-istimewa-aktivasi-April-2026-i.171432772.52258625198?extraParams=%7B%22display_model_id%22%3A395763895979%2C%22model_selection_logic%22%3A3%7D&sp_atk=da7b2d59-c6ee-4bf5-b920-4468fd91def5&xptdk=da7b2d59-c6ee-4bf5-b920-4468fd91def5,3 Hari,,3 Hari,,
https://down-id.img.susercontent.com/file/id-11134207-7r98u-lwphbnidbenx77,,Xiaomi Poco M5 4/64 GB | 4/128 GB Garansi Resmi Indonesia Second Bekas Original,Rp,1.325.000,,,4.8,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"Xiaomi Poco M5 4/64 GB | 4/128 GB Garansi Resmi Indonesia Second Bekas Original
Rp
1.325.000
4.8
15 Terjual
3 Hari
Jakarta Utara",https://shopee.co.id/Xiaomi-Poco-M5-4-64-GB-4-128-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-i.515774005.27553224551?extraParams=%7B%22display_model_id%22%3A217594050676%2C%22model_selection_logic%22%3A3%7D&sp_atk=34e07dd6-dc44-4621-a718-e84ec2e030df&xptdk=34e07dd6-dc44-4621-a718-e84ec2e030df,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,15 Terjual,,
