-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,pointer-events-none_2,align-middle,w-auto,text-white,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lphconfh8tfb41,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone 2 laser 5 inchi 4G LTE model Z00D/Z00ED Ram 2/16GB second normal Original,,Rp,255.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
Asus Zenfone 2 laser 5 inchi 4G LTE model Z00D/Z00ED Ram 2/16GB second normal Original
Rp
255.000
4.9
23 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/Asus-Zenfone-2-laser-5-inchi-4G-LTE-model-Z00D-Z00ED-Ram-2-16GB-second-normal-Original-i.287908499.20217150914?extraParams=%7B%22display_model_id%22%3A29368668216%2C%22model_selection_logic%22%3A3%7D&sp_atk=b7f44e75-2f44-4790-b320-f23c654c27b4&xptdk=b7f44e75-2f44-4790-b320-f23c654c27b4
https://down-id.img.susercontent.com/file/id-11134207-7qul5-lix5xq5qkh0hec,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone 3 Max ZC520TL Termurah Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,435.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
Asus Zenfone 3 Max ZC520TL Termurah Bergaransi
Rp
435.000
Cicilan
5.0
4 Terjual
< 2 Hari
Kab. Bekasi",https://shopee.co.id/Asus-Zenfone-3-Max-ZC520TL-Termurah-Bergaransi-i.61482812.8807276289?extraParams=%7B%22display_model_id%22%3A73062958311%2C%22model_selection_logic%22%3A3%7D&sp_atk=c572bd68-294b-4f2f-a01f-45721043921d&xptdk=c572bd68-294b-4f2f-a01f-45721043921d
https://down-id.img.susercontent.com/file/id-11134207-822wp-mn6vukk8pwcg6a,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,asus zenfone 5z 6/128gb,,Rp,1.400.000,,,,5-9 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandar Lampung,,,,,"Scrape to BigSeller
asus zenfone 5z 6/128gb
Rp
1.400.000
5-9 Hari
Bandar Lampung",https://shopee.co.id/asus-zenfone-5z-6-128gb-i.309803355.47109080028?extraParams=%7B%22display_model_id%22%3A370802349489%2C%22model_selection_logic%22%3A3%7D&sp_atk=c6be243f-613e-4832-96c8-6a45b229d153&xptdk=c6be243f-613e-4832-96c8-6a45b229d153
https://down-id.img.susercontent.com/file/03cf9f697a6e5892189f30b42b5b1162,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HP ASUS ZENFON C,,Rp,250.000,,,,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bantul,,,,,"Scrape to BigSeller
HP ASUS ZENFON C
Rp
250.000
3-4 Hari
Kab. Bantul",https://shopee.co.id/HP-ASUS-ZENFON-C-i.372170239.3397824869?extraParams=%7B%22display_model_id%22%3A84511635305%2C%22model_selection_logic%22%3A3%7D&sp_atk=9aa2081b-6f86-4f0a-8416-c2429da71f1f&xptdk=9aa2081b-6f86-4f0a-8416-c2429da71f1f
https://down-id.img.susercontent.com/file/id-11134207-8224o-miskb4a42yo4c4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus t00f........zenfone5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,35.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Jember,,,,,"Scrape to BigSeller
Asus t00f........zenfone5
Rp
35.000
5.0
2 Terjual
3-4 Hari
Kab. Jember",https://shopee.co.id/Asus-t00f........zenfone5-i.1016391083.41761499069?extraParams=%7B%22display_model_id%22%3A295965580807%2C%22model_selection_logic%22%3A2%7D&sp_atk=5a735323-edec-4487-ab27-acd6d872f37d&xptdk=5a735323-edec-4487-ab27-acd6d872f37d
https://down-id.img.susercontent.com/file/sg-11134201-22110-aqmir87f5fjv8f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Zenfone 2 ZE551ML 4/32GB - Silver,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,799.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
Asus Zenfone 2 ZE551ML 4/32GB - Silver
Rp
799.000
5.0
10 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Asus-Zenfone-2-ZE551ML-4-32GB-Silver-i.871943631.21759871511?extraParams=%7B%22display_model_id%22%3A59160007499%2C%22model_selection_logic%22%3A3%7D&sp_atk=20f26f66-b4ea-4098-a91d-6e689b7d4e5e&xptdk=20f26f66-b4ea-4098-a91d-6e689b7d4e5e
https://down-id.img.susercontent.com/file/id-11134207-81ztp-mdwo83egxekm80,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,asus zenfon live L2 ram 2/16 normal second,,Rp,300.000,,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,"Scrape to BigSeller
asus zenfon live L2 ram 2/16 normal second
Rp
300.000
1 Terjual
3-4 Hari
Kab. Cirebon",https://shopee.co.id/asus-zenfon-live-L2-ram-2-16-normal-second-i.865048652.20896241209?extraParams=%7B%22display_model_id%22%3A79388485511%2C%22model_selection_logic%22%3A3%7D&sp_atk=c8997173-c569-466e-9fd7-4cc3e986e35e&xptdk=c8997173-c569-466e-9fd7-4cc3e986e35e
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m11gjks93e3sc1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ASUS ZENFONE L2 [WAJIB BACA DESKRIPSI],,Rp,400.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,,,"Scrape to BigSeller
ASUS ZENFONE L2 [WAJIB BACA DESKRIPSI]
Rp
400.000
5.0
1 Terjual
3-4 Hari
Tangerang",https://shopee.co.id/ASUS-ZENFONE-L2-WAJIB-BACA-DESKRIPSI--i.603877849.27302038127?extraParams=%7B%22display_model_id%22%3A380733895975%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb8c10a4-d67d-440f-bdd1-6679fdda48b1&xptdk=fb8c10a4-d67d-440f-bdd1-6679fdda48b1
https://down-id.img.susercontent.com/file/id-11134207-7r992-lt0x9jzy6otjcf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,handphon Asus minus X013D,,Rp,50.000,,,,4-9 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,"Scrape to BigSeller
handphon Asus minus X013D
Rp
50.000
4-9 Hari
Jakarta Barat",https://shopee.co.id/handphon-Asus-minus-X013D-i.401919192.25919651527?extraParams=%7B%22display_model_id%22%3A158557625216%2C%22model_selection_logic%22%3A2%7D&sp_atk=fc02f3b7-c859-4ec5-aca4-8efc89955209&xptdk=fc02f3b7-c859-4ec5-aca4-8efc89955209
https://down-id.img.susercontent.com/file/7b0e6296a712e37df578c7b1b0a31239,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS Zenfone Max ZC550KL,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,560.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bekasi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"Scrape to BigSeller
ASUS Zenfone Max ZC550KL
Rp
560.000
Cicilan
5.0
1 Terjual
< 2 Hari
Kab. Bekasi",https://shopee.co.id/ASUS-Zenfone-Max-ZC550KL-i.61482812.7669248016?extraParams=%7B%22display_model_id%22%3A23189692685%2C%22model_selection_logic%22%3A3%7D&sp_atk=d3b12b40-287c-4f6b-b781-5cdcb97774b4&xptdk=d3b12b40-287c-4f6b-b781-5cdcb97774b4
