-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,truncate,img_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wn-mmzlwd3xreo401,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia M2 dual,,Rp,250.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kediri,,,,,,,"Scrape to BigSeller
Sony Xperia M2 dual
Rp
250.000
3-6 Hari
Kediri",https://shopee.co.id/Sony-Xperia-M2-dual-i.103397198.42580001666?extraParams=%7B%22display_model_id%22%3A380773562319%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b53c17a-bbba-42e9-9b7d-3e13dd1f44ee&xptdk=3b53c17a-bbba-42e9-9b7d-3e13dd1f44ee
https://down-id.img.susercontent.com/file/id-11134207-822wi-mn480fjhlcld3e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Xperia 5 iii,,Rp,700.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tulungagung,,,,,,,"Scrape to BigSeller
Xperia 5 iii
Rp
700.000
3-6 Hari
Kab. Tulungagung",https://shopee.co.id/Xperia-5-iii-i.31149625.48508968658?extraParams=%7B%22display_model_id%22%3A287543023623%2C%22model_selection_logic%22%3A3%7D&sp_atk=d71514ab-28a8-4832-ac83-38f9994a4466&xptdk=d71514ab-28a8-4832-ac83-38f9994a4466
https://down-id.img.susercontent.com/file/id-11134207-822wj-mn2hotafej9k80,,hp bekas,,Rp,500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5-10 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Karo,,,,,,,"Scrape to BigSeller
hp bekas
Rp
500.000
5-10 Hari
Kab. Karo",https://shopee.co.id/hp-bekas-i.1436235072.46158875732?extraParams=%7B%22display_model_id%22%3A420785681553%2C%22model_selection_logic%22%3A3%7D&sp_atk=c51736d4-067b-45dd-853a-e0488da9be14&xptdk=c51736d4-067b-45dd-853a-e0488da9be14
https://down-id.img.susercontent.com/file/0f3c92c37160f9b45e1192989cae4db8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Mesin Sony Xperia Z4 Compact 2GB/16GB Docomo -,,Rp,269.000,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,59 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
Mesin Sony Xperia Z4 Compact 2GB/16GB Docomo -
Rp
269.000
Cicilan
4.8
59 Terjual
Besok
Jakarta Barat",https://shopee.co.id/Mesin-Sony-Xperia-Z4-Compact-2GB-16GB-Docomo--i.3257946.697994725?extraParams=%7B%22display_model_id%22%3A545168654%2C%22model_selection_logic%22%3A3%7D&sp_atk=66cf39dd-7a47-41d2-b786-8b9f66b77fd3&xptdk=66cf39dd-7a47-41d2-b786-8b9f66b77fd3
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmo9jpzewzydba,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia XZ3 4/64GB,,Rp,390.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palembang,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
Sony Xperia XZ3 4/64GB
Rp
390.000
5.0
2 Terjual
4-8 Hari
Palembang",https://shopee.co.id/Sony-Xperia-XZ3-4-64GB-i.17009913.43428801213?extraParams=%7B%22display_model_id%22%3A390566866165%2C%22model_selection_logic%22%3A3%7D&sp_atk=8324747c-05d5-4ed7-8114-d998cb7118c8&xptdk=8324747c-05d5-4ed7-8114-d998cb7118c8
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmgplh1tcf0k15,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia ZR,,Rp,130.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kediri,,,,,,,"Scrape to BigSeller
Sony Xperia ZR
Rp
130.000
3-6 Hari
Kediri",https://shopee.co.id/Sony-Xperia-ZR-i.103397198.53307976745?extraParams=%7B%22display_model_id%22%3A430708689938%2C%22model_selection_logic%22%3A3%7D&sp_atk=f868cdaa-9eb7-40f4-b2f4-d5e37ca21233&xptdk=f868cdaa-9eb7-40f4-b2f4-d5e37ca21233
https://down-id.img.susercontent.com/file/1b6c0191ce40a3c2f2d3e561678116c9,,sony z5 Compact docomo,,Rp,120.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Brebes,,,,,,,"Scrape to BigSeller
sony z5 Compact docomo
Rp
120.000
4-7 Hari
Kab. Brebes",https://shopee.co.id/sony-z5-Compact-docomo-i.386149258.13942499759?extraParams=%7B%22display_model_id%22%3A103620353708%2C%22model_selection_logic%22%3A3%7D&sp_atk=a67730da-0656-457f-928a-7a1f3ae1a7c8&xptdk=a67730da-0656-457f-928a-7a1f3ae1a7c8
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn43s1db2f460b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia Z2 Docomo SO-03F 2014,,Rp,200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bantul,,,,,,,"Scrape to BigSeller
Sony Xperia Z2 Docomo SO-03F 2014
Rp
200.000
2-5 Hari
Kab. Bantul",https://shopee.co.id/Sony-Xperia-Z2-Docomo-SO-03F-2014-i.127185886.56208934387?extraParams=%7B%22display_model_id%22%3A249211061871%2C%22model_selection_logic%22%3A3%7D&sp_atk=0d80352a-7daf-48fb-a5f1-80270d22d5ae&xptdk=0d80352a-7daf-48fb-a5f1-80270d22d5ae
https://down-id.img.susercontent.com/file/id-11134207-8224w-mk3krt5ofnd17a,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Experia Z1 big,,Rp,130.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tuban,,,,,,,"Scrape to BigSeller
Sony Experia Z1 big
Rp
130.000
3-6 Hari
Kab. Tuban",https://shopee.co.id/Sony-Experia-Z1-big-i.132819562.28394173803?extraParams=%7B%22display_model_id%22%3A380508368114%2C%22model_selection_logic%22%3A3%7D&sp_atk=3590d309-75db-4d3e-82b6-8940791b0e70&xptdk=3590d309-75db-4d3e-82b6-8940791b0e70
https://down-id.img.susercontent.com/file/id-11134207-8224t-mjv0twp2regz5f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia XZ 601SO Wifi Only Silver Body Mulus Minus,,Rp,399.999,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,-56%,,"Scrape to BigSeller
Sony Xperia XZ 601SO Wifi Only Silver Body Mulus Minus
Rp
399.999
-56%
5.0
1 Terjual
2-4 Hari
Kab. Tangerang",https://shopee.co.id/Sony-Xperia-XZ-601SO-Wifi-Only-Silver-Body-Mulus-Minus-i.471427911.25912118200?extraParams=%7B%22display_model_id%22%3A217305632699%2C%22model_selection_logic%22%3A3%7D&sp_atk=9438dac9-1118-4fa0-ad9d-1dd360cd3375&xptdk=9438dac9-1118-4fa0-ad9d-1dd360cd3375
