-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,w-auto,text-white,text-shopee-primary,pointer-events-none_3,truncate,img_2,text-xs_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-m7p7gnzzv34y8b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia XZ1 Dual SIM GLOBAL,Rp,3.195.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,-10%,,,,4-7 Hari,"Scrape to BigSeller
Sony Xperia XZ1 Dual SIM GLOBAL
Rp
3.195.000
-10%
4-7 Hari
Jakarta Barat",https://shopee.co.id/Sony-Xperia-XZ1-Dual-SIM-GLOBAL-i.13180932.29317526226?extraParams=%7B%22display_model_id%22%3A257023051358%2C%22model_selection_logic%22%3A3%7D&sp_atk=285992a2-5136-42f0-bc1b-9350ddd675fd&xptdk=285992a2-5136-42f0-bc1b-9350ddd675fd
https://down-id.img.susercontent.com/file/id-11134207-82252-mhws66hxolja7d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony XZ2 Compact Ram 4/64,Rp,3.000.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tulang Bawang,,,,,,,,3-6 Hari,"Scrape to BigSeller
Sony XZ2 Compact Ram 4/64
Rp
3.000.000
3-6 Hari
Kab. Tulang Bawang",https://shopee.co.id/Sony-XZ2-Compact-Ram-4-64-i.140773826.56352672676?extraParams=%7B%22display_model_id%22%3A410257620729%2C%22model_selection_logic%22%3A3%7D&sp_atk=450395c1-5ff8-4021-a831-ddc3a2f9eac2&xptdk=450395c1-5ff8-4021-a831-ddc3a2f9eac2
https://down-id.img.susercontent.com/file/id-11134207-7rbk6-mahy0uea19ztc6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Sony Xperia 1 VII 5G 12+256GB Global ROM Snapdragon 8 Elite,Rp,24.999.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,10 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4 Terjual,"Scrape to BigSeller
Sony Xperia 1 VII 5G 12+256GB Global ROM Snapdragon 8 Elite
Rp
24.999.000
5.0
4 Terjual
10 Hari
Jakarta Barat",https://shopee.co.id/Sony-Xperia-1-VII-5G-12-256GB-Global-ROM-Snapdragon-8-Elite-i.41695198.41502947154?extraParams=%7B%22display_model_id%22%3A196103314144%2C%22model_selection_logic%22%3A3%7D&sp_atk=f8dc966a-0473-490e-aef2-20f169dd6ccd&xptdk=f8dc966a-0473-490e-aef2-20f169dd6ccd
https://down-id.img.susercontent.com/file/id-11134207-8224o-mh8trjjq4yyw2f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,iPhone 12 ex iBox Beacukai IMEI Permanen Garansi 12 Bln 100% Original Second Resmi FULLSET BC 128GB 256GB 512GB 1TB,Rp,5.799.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,-31%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,1RB+ Terjual,"Scrape to BigSeller
iPhone 12 ex iBox Beacukai IMEI Permanen Garansi 12 Bln 100% Original Second Resmi FULLSET BC 128GB 256GB 512GB 1TB
Rp
5.799.000
-31%
Hadiah Gratis
4.9
1RB+ Terjual
2-3 Hari
Jakarta Selatan",https://shopee.co.id/iPhone-12-ex-iBox-Beacukai-IMEI-Permanen-Garansi-12-Bln-100-Original-Second-Resmi-FULLSET-BC-128GB-256GB-512GB-1TB-i.1437255344.25591856419?extraParams=%7B%22display_model_id%22%3A237419038266%2C%22model_selection_logic%22%3A3%7D&sp_atk=cdef18a5-0569-4591-9917-90c3ff049221&xptdk=cdef18a5-0569-4591-9917-90c3ff049221
https://down-id.img.susercontent.com/file/id-11134207-8224p-mi12q2lfwzra41,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Sony Xperia XZ3 – Wifi Only,Rp,1.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,,,,,,,,4-8 Hari,"Scrape to BigSeller
Sony Xperia XZ3 – Wifi Only
Rp
1.500.000
4-8 Hari
Makassar",https://shopee.co.id/Sony-Xperia-XZ3-%E2%80%93-Wifi-Only-i.523447831.41277098483?extraParams=%7B%22display_model_id%22%3A287239129985%2C%22model_selection_logic%22%3A3%7D&sp_atk=946b7741-2c15-4e31-9fe2-10235445bfa9&xptdk=946b7741-2c15-4e31-9fe2-10235445bfa9
https://down-id.img.susercontent.com/file/6d9e26c5be150a1f0f6c1a25d86365a0,,sony experia z4,Rp,200.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cilacap,,,,,,,,,"Scrape to BigSeller
sony experia z4
Rp
200.000
Kab. Cilacap",https://shopee.co.id/sony-experia-z4-i.287965422.12422089455?extraParams=%7B%22display_model_id%22%3A67452122915%2C%22model_selection_logic%22%3A3%7D&sp_atk=38fe0f4e-b247-4a3b-bdab-b7c0d1d060a7&xptdk=38fe0f4e-b247-4a3b-bdab-b7c0d1d060a7
https://down-id.img.susercontent.com/file/id-11134207-822wj-mn9lf6tgbkeb0e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,devilmimi realme series C85 PRO Ultra Batery 7000mAh | 120Hz AMOLED Extended RAM 8GB+16GB/256GB ORI,Rp,3.664.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,-47%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,69 Terjual,"Scrape to BigSeller
devilmimi realme series C85 PRO Ultra Batery 7000mAh | 120Hz AMOLED Extended RAM 8GB+16GB/256GB ORI
Rp
3.664.000
-47%
Hadiah Gratis
5.0
69 Terjual
2 jam
Surabaya",https://shopee.co.id/devilmimi-realme-series-C85-PRO-Ultra-Batery-7000mAh-120Hz-AMOLED-Extended-RAM-8GB-16GB-256GB-ORI-i.1698327646.44027974357?extraParams=%7B%22display_model_id%22%3A430426692811%2C%22model_selection_logic%22%3A3%7D&sp_atk=98897295-2c15-470d-ae2e-1e7122436414&xptdk=98897295-2c15-470d-ae2e-1e7122436414
https://down-id.img.susercontent.com/file/id-11134207-8224q-mh8vns18t98v67,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,iPhone 11 ex iBox Beacukai IMEI Permanen Garansi 12 Bln 100% Original Second iPhone FULLSET 64GB 128GB 256GB,Rp,4.899.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,-32%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2RB+ Terjual,"Scrape to BigSeller
iPhone 11 ex iBox Beacukai IMEI Permanen Garansi 12 Bln 100% Original Second iPhone FULLSET 64GB 128GB 256GB
Rp
4.899.000
-32%
Hadiah Gratis
4.9
2RB+ Terjual
2-3 Hari
Jakarta Selatan",https://shopee.co.id/iPhone-11-ex-iBox-Beacukai-IMEI-Permanen-Garansi-12-Bln-100-Original-Second-iPhone-FULLSET-64GB-128GB-256GB-i.1437255344.28377371619?extraParams=%7B%22display_model_id%22%3A233847569842%2C%22model_selection_logic%22%3A3%7D&sp_atk=37e22154-4d8f-4ad6-90a8-504ee9578dd1&xptdk=37e22154-4d8f-4ad6-90a8-504ee9578dd1
https://down-id.img.susercontent.com/file/643f5c2862b3a93980eba113df992521,,Sony xperia x performance Rom docomo single sim 32gb Rom 4gb ram original,Rp,950.000,4.3,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kulon Progo,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4 Terjual,"Scrape to BigSeller
Sony xperia x performance Rom docomo single sim 32gb Rom 4gb ram original
Rp
950.000
Cicilan
4.3
4 Terjual
Besok
Kab. Kulon Progo",https://shopee.co.id/Sony-xperia-x-performance-Rom-docomo-single-sim-32gb-Rom-4gb-ram-original-i.34341683.7308456729?extraParams=%7B%22display_model_id%22%3A72256016059%2C%22model_selection_logic%22%3A3%7D&sp_atk=f0475382-a39b-43fb-a9dd-b8cde945e844&xptdk=f0475382-a39b-43fb-a9dd-b8cde945e844
https://down-id.img.susercontent.com/file/3e49beff8a06dbecbb05610ac2eb7ff8,,sony xperia XZs docomo,Rp,1.100.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,"Scrape to BigSeller
sony xperia XZs docomo
Rp
1.100.000
Besok
Kab. Sleman",https://shopee.co.id/sony-xperia-XZs-docomo-i.537488945.12461587668?extraParams=%7B%22display_model_id%22%3A150965542188%2C%22model_selection_logic%22%3A3%7D&sp_atk=5e5cdd39-a3db-46e6-8cc0-e0c2a230c653&xptdk=5e5cdd39-a3db-46e6-8cc0-e0c2a230c653
