-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,align-middle,text-xs,inline-block,img,text-xs/sp14_3,pointer-events-none_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lp088w0n96k354,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP ELITEBOOK 840 G6 Gen 8 CORE i5-8365U RAM 8GB SSD 256GB Windows,Rp,3.140.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,,"Laptop HP ELITEBOOK 840 G6 Gen 8 CORE i5-8365U RAM 8GB SSD 256GB Windows
Rp
3.140.000
Jakarta Barat",https://shopee.co.id/Laptop-HP-ELITEBOOK-840-G6-Gen-8-CORE-i5-8365U-RAM-8GB-SSD-256GB-Windows-i.12575801.18686825203?extraParams=%7B%22display_model_id%22%3A235877190779%2C%22model_selection_logic%22%3A3%7D&sp_atk=051b3384-1cf8-4636-b191-1c74b3b30089&xptdk=051b3384-1cf8-4636-b191-1c74b3b30089
https://down-id.img.susercontent.com/file/id-11134207-822wi-mn1c4os1uupsfd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop HP 14 - OmniBook 3 [NEW] - AMD Ryzen 7 Radeon 16GB RAM 512GB SSD Gold / Silver Windows 11 Home 14 Inch Garansi 2 Tahun Promo Murah Gratis Ongkir Official Non Second,Rp,12.999.000,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,735 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,,Hadiah Gratis,"Laptop HP 14 - OmniBook 3 [NEW] - AMD Ryzen 7 Radeon 16GB RAM 512GB SSD Gold / Silver Windows 11 Home 14 Inch Garansi 2 Tahun Promo Murah Gratis Ongkir Official Non Second
Rp
12.999.000
-4%
Hadiah Gratis
4.9
735 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-14-OmniBook-3-NEW-AMD-Ryzen-7-Radeon-16GB-RAM-512GB-SSD-Gold-Silver-Windows-11-Home-14-Inch-Garansi-2-Tahun-Promo-Murah-Gratis-Ongkir-Official-Non-Second-i.12758413.26615465403?extraParams=%7B%22display_model_id%22%3A246871472537%2C%22model_selection_logic%22%3A3%7D&sp_atk=692a0801-f5a2-4eeb-b6b8-109b8ff07178&xptdk=692a0801-f5a2-4eeb-b6b8-109b8ff07178
https://down-id.img.susercontent.com/file/id-11134207-8224w-mfwidpgs0glk08,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop HP 14-EP0261TU Core i3-1315U 8GB SSD 512GB 14"" FHD W11 OHS",Rp,8.790.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,29 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,"Laptop HP 14-EP0261TU Core i3-1315U 8GB SSD 512GB 14"" FHD W11 OHS
Rp
8.790.000
5.0
29 Terjual
Kab. Sleman",https://shopee.co.id/Laptop-HP-14-EP0261TU-Core-i3-1315U-8GB-SSD-512GB-14-FHD-W11-OHS-i.40255164.14099584426?extraParams=%7B%22display_model_id%22%3A149313925556%2C%22model_selection_logic%22%3A3%7D&sp_atk=5b3c0d2a-43f7-4c41-b3c2-ed356f09f28f&xptdk=5b3c0d2a-43f7-4c41-b3c2-ed356f09f28f
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmsl7pfg1gy007,,"Laptop HP 14-bs740TU, Core i3-6006U, Gen 6th, Hd Graphics 520, Ram 8 GB / 500GB, Editing, Gaming Editing Ngebut, Seri Baru, Lengkap, Silver",Rp,2.400.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,,"Laptop HP 14-bs740TU, Core i3-6006U, Gen 6th, Hd Graphics 520, Ram 8 GB / 500GB, Editing, Gaming Editing Ngebut, Seri Baru, Lengkap, Silver
Rp
2.400.000
Jakarta Barat",https://shopee.co.id/Laptop-HP-14-bs740TU-Core-i3-6006U-Gen-6th-Hd-Graphics-520-Ram-8-GB-500GB-Editing-Gaming-Editing-Ngebut-Seri-Baru-Lengkap-Silver-i.1749311762.47308521225?extraParams=%7B%22display_model_id%22%3A287520132194%2C%22model_selection_logic%22%3A3%7D&sp_atk=3c7c5960-0ed8-4515-9e71-bfb1eda67246&xptdk=3c7c5960-0ed8-4515-9e71-bfb1eda67246
https://down-id.img.susercontent.com/file/id-11134207-7qul8-ljnvq93djg4n4d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,LAPTOP LEPTOP HP CORE I3 Gen6 RAM 4GB HDD 500 GB VGA RADEON 14 INC GENERASI BARU WINDOWS11 ZOOM SIAP PAKAI,Rp,4.099.900,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,,"LAPTOP LEPTOP HP CORE I3 Gen6 RAM 4GB HDD 500 GB VGA RADEON 14 INC GENERASI BARU WINDOWS11 ZOOM SIAP PAKAI
Rp
4.099.900
Jakarta Timur",https://shopee.co.id/LAPTOP-LEPTOP-HP-CORE-I3-Gen6-RAM-4GB-HDD-500-GB-VGA-RADEON-14-INC-GENERASI-BARU-WINDOWS11-ZOOM-SIAP-PAKAI-i.47741239.19666608909?extraParams=%7B%22display_model_id%22%3A107799285537%2C%22model_selection_logic%22%3A3%7D&sp_atk=6f477362-a4d4-4612-81ed-a29f3ca1e50d&xptdk=6f477362-a4d4-4612-81ed-a29f3ca1e50d
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn324e3l70n605,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Hp Elitebook 6 G1i 13 Intel Ultra 7 255U Ram 16gb SSD Nvme 512 LIKE NEW BARU SEBENTAR GARANSI MARET 2029,Rp,11.625.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,1 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,"Hp Elitebook 6 G1i 13 Intel Ultra 7 255U Ram 16gb SSD Nvme 512 LIKE NEW BARU SEBENTAR GARANSI MARET 2029
Rp
11.625.000
5.0
1 Terjual
Kab. Bandung",https://shopee.co.id/Hp-Elitebook-6-G1i-13-Intel-Ultra-7-255U-Ram-16gb-SSD-Nvme-512-LIKE-NEW-BARU-SEBENTAR-GARANSI-MARET-2029-i.8978712.51408657437?extraParams=%7B%22display_model_id%22%3A350768140459%2C%22model_selection_logic%22%3A3%7D&sp_atk=2680084d-247b-4d15-b962-205a9cfd3663&xptdk=2680084d-247b-4d15-b962-205a9cfd3663
https://down-id.img.susercontent.com/file/id-11134207-7rasi-m3roajel78ir6b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP EliteBook 8460P Intel Core i5-2520M Ram 4Gb Hdd 160Gb SCU6835,Rp,900.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,"Laptop HP EliteBook 8460P Intel Core i5-2520M Ram 4Gb Hdd 160Gb SCU6835
Rp
900.000
Malang",https://shopee.co.id/Laptop-HP-EliteBook-8460P-Intel-Core-i5-2520M-Ram-4Gb-Hdd-160Gb-SCU6835-i.44435356.26020811635?extraParams=%7B%22display_model_id%22%3A176861384486%2C%22model_selection_logic%22%3A3%7D&sp_atk=2ed51eaf-630a-46aa-b8b0-a9b0c7906220&xptdk=2ed51eaf-630a-46aa-b8b0-a9b0c7906220
https://down-id.img.susercontent.com/file/f32393a006cc9bc4789417df70fa3532,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP ELITEBOOK 840 G3 INTEL CORE I5 RAM 16 GB SSD 256 GB TERMURAH,Rp,4.750.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,,"LAPTOP HP ELITEBOOK 840 G3 INTEL CORE I5 RAM 16 GB SSD 256 GB TERMURAH
Rp
4.750.000
Jakarta Timur",https://shopee.co.id/LAPTOP-HP-ELITEBOOK-840-G3-INTEL-CORE-I5-RAM-16-GB-SSD-256-GB-TERMURAH-i.24907667.15616444689?extraParams=%7B%22display_model_id%22%3A104399191930%2C%22model_selection_logic%22%3A3%7D&sp_atk=7fb9d5b9-bc4c-4439-bbb9-57279263b308&xptdk=7fb9d5b9-bc4c-4439-bbb9-57279263b308
https://down-id.img.susercontent.com/file/id-11134207-8224u-mj6sn5yz07b9f8,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop HP 15 Intel N100 8GB 512GB SSD Full HD 15 Inch Windows 11 Original Baru,Rp,3.997.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,"Laptop HP 15 Intel N100 8GB 512GB SSD Full HD 15 Inch Windows 11 Original Baru
Rp
3.997.000
-1%
Hadiah Gratis
Tangerang Selatan",https://shopee.co.id/Laptop-HP-15-Intel-N100-8GB-512GB-SSD-Full-HD-15-Inch-Windows-11-Original-Baru-i.1671404664.40127158560?extraParams=%7B%22display_model_id%22%3A325281665585%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c7c77d4-e519-4867-a7a7-d7c9e2cf126b&xptdk=8c7c77d4-e519-4867-a7a7-d7c9e2cf126b
https://down-id.img.susercontent.com/file/id-11134207-822wq-mmsm55twf2tk00,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"Laptop Hp Elitebook 840 G7, Core i5 - 10310U, Gen 10Th, UHD Graphics, Ram 16Gb / 256Gb SSD, #Fingerprint, #Backlight, GAMING Editing Ngebut, Seri Baru, Super Slim, Like New, Lengkap, Silver",Rp,5.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,,"Laptop Hp Elitebook 840 G7, Core i5 - 10310U, Gen 10Th, UHD Graphics, Ram 16Gb / 256Gb SSD, #Fingerprint, #Backlight, GAMING Editing Ngebut, Seri Baru, Super Slim, Like New, Lengkap, Silver
Rp
5.500.000
Jakarta Barat",https://shopee.co.id/Laptop-Hp-Elitebook-840-G7-Core-i5-10310U-Gen-10Th-UHD-Graphics-Ram-16Gb-256Gb-SSD-Fingerprint-Backlight-GAMING-Editing-Ngebut-Seri-Baru-Super-Slim-Like-New-Lengkap-Silver-i.70934091.53608395821?extraParams=%7B%22display_model_id%22%3A410745076872%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c2ed288-3fb7-44bf-841b-d2e82b9bf705&xptdk=1c2ed288-3fb7-44bf-841b-d2e82b9bf705
