-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,truncate,img,text-xs/sp14_2,text-xs,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m740mf5m3lmc4f,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,hp lenovo k5 plus A6020A46 kondisi mati,,Rp,75.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,"Scrape to BigSeller
hp lenovo k5 plus A6020A46 kondisi mati
Rp
75.000
Besok
Kab. Sidoarjo",https://shopee.co.id/hp-lenovo-k5-plus-A6020A46-kondisi-mati-i.840269851.27078921124?extraParams=%7B%22display_model_id%22%3A157721813012%2C%22model_selection_logic%22%3A3%7D&sp_atk=035c394b-95b5-4e05-80da-c5e1aec25819&xptdk=035c394b-95b5-4e05-80da-c5e1aec25819
https://down-id.img.susercontent.com/file/908965687e988aae2e6223ad85d5028a,,Lenovo Z5s - RAM 6GB ROM 64GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,,"Scrape to BigSeller
Lenovo Z5s - RAM 6GB ROM 64GB
Rp
3.400.000
Cicilan
5.0
1 Terjual
2-3 Hari
Jakarta Selatan",https://shopee.co.id/Lenovo-Z5s-RAM-6GB-ROM-64GB-i.22087028.5515896985?extraParams=%7B%22display_model_id%22%3A52613061688%2C%22model_selection_logic%22%3A3%7D&sp_atk=3440222a-ab02-4e53-b0de-e05430e08c1f&xptdk=3440222a-ab02-4e53-b0de-e05430e08c1f
https://down-id.img.susercontent.com/file/id-11134207-8224r-mizj6wmw60hzf0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,hp lenovo a6000 kondisi bahann,,Rp,125.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Klaten,Produk Baru,,,2-5 Hari,,,"Scrape to BigSeller
hp lenovo a6000 kondisi bahann
Rp
125.000
Produk Baru
2-5 Hari
Kab. Klaten",https://shopee.co.id/hp-lenovo-a6000-kondisi-bahann-i.326968338.53304037388?extraParams=%7B%22display_model_id%22%3A425382714387%2C%22model_selection_logic%22%3A3%7D&sp_atk=c27afcda-09b6-4e41-8652-60786518bd2d&xptdk=c27afcda-09b6-4e41-8652-60786518bd2d
https://down-id.img.susercontent.com/file/b2a0c721dc6cc2847fd9eabf9174d39d,,Hp lenovo a2010,,Rp,625.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cianjur,Cicilan,,,4-7 Hari,,,"Scrape to BigSeller
Hp lenovo a2010
Rp
625.000
Cicilan
4-7 Hari
Kab. Cianjur",https://shopee.co.id/Hp-lenovo-a2010-i.87314510.7215911902?extraParams=%7B%22display_model_id%22%3A72912492442%2C%22model_selection_logic%22%3A3%7D&sp_atk=56f13c9e-69e4-46ff-8d31-bc64318aab11&xptdk=56f13c9e-69e4-46ff-8d31-bc64318aab11
https://down-id.img.susercontent.com/file/57f38cbc754bd471a7a90197c3725081,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Handphone Lenov* S850 Second Terawat,,Rp,500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Cirebon,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,"Scrape to BigSeller
Handphone Lenov* S850 Second Terawat
Rp
500.000
Besok
Cirebon",https://shopee.co.id/Handphone-Lenov*-S850-Second-Terawat-i.4218800.3077822949?extraParams=%7B%22display_model_id%22%3A56532372905%2C%22model_selection_logic%22%3A3%7D&sp_atk=ebd02cb7-0f7b-4f6c-81ca-0bc2cda66f4e&xptdk=ebd02cb7-0f7b-4f6c-81ca-0bc2cda66f4e
https://down-id.img.susercontent.com/file/id-11134207-7rasg-m3gehewjpvrx19,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Lenovo k305t minus lcd baca deskripsi!!!!,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,,,2-3 Hari,,,"Scrape to BigSeller
Lenovo k305t minus lcd baca deskripsi!!!!
Rp
200.000
2-3 Hari
Bogor",https://shopee.co.id/Lenovo-k305t-minus-lcd-baca-deskripsi!!!!-i.21056175.28119940352?extraParams=%7B%22display_model_id%22%3A215619964652%2C%22model_selection_logic%22%3A3%7D&sp_atk=5dc6c154-0510-499b-a9f6-6131226f7b35&xptdk=5dc6c154-0510-499b-a9f6-6131226f7b35
https://down-id.img.susercontent.com/file/a19fa14bfab56f0a28505c1069fa172e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,lenovo L19111 minus lcd,,Rp,250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Lombok Tengah,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,"Scrape to BigSeller
lenovo L19111 minus lcd
Rp
250.000
Besok
Kab. Lombok Tengah",https://shopee.co.id/lenovo-L19111-minus-lcd-i.125210463.16770870684?extraParams=%7B%22display_model_id%22%3A200321321430%2C%22model_selection_logic%22%3A3%7D&sp_atk=e5504ac4-39bf-4b33-ac30-ee1c8bc91615&xptdk=e5504ac4-39bf-4b33-ac30-ee1c8bc91615
https://down-id.img.susercontent.com/file/0b90d5d2593fcb2deb3bfab7894e430b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LENOVO A2010 4G - 8 GB - Garansi Resmi 1 Tahun,,Rp,1.065.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok,,,"Scrape to BigSeller
LENOVO A2010 4G - 8 GB - Garansi Resmi 1 Tahun
Rp
1.065.000
Cicilan
Besok
Tangerang Selatan",https://shopee.co.id/LENOVO-A2010-4G-8-GB-Garansi-Resmi-1-Tahun-i.103571.42285534?extraParams=%7B%22display_model_id%22%3A24598108%2C%22model_selection_logic%22%3A3%7D&sp_atk=459bee77-93d9-4571-ba9a-f0f57a6e10b9&xptdk=459bee77-93d9-4571-ba9a-f0f57a6e10b9
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmfklweejoci6e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"[ONLINE EXCLUSIVE] vivo V50 5G (8/256) Rounded-edge Design, ZEISS Group Potrait, 6000mAh Battery+90W Flashcharge, IP68+IP69, vivo AI  Color: Harmony Red, Solid Black",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,2RB+ Terjual,-15%,,"Scrape to BigSeller
[ONLINE EXCLUSIVE] vivo V50 5G (8/256) Rounded-edge Design, ZEISS Group Potrait, 6000mAh Battery+90W Flashcharge, IP68+IP69, vivo AI Color: Harmony Red, Solid Black
Rp
5.499.000
-15%
4.9
2RB+ Terjual
< 2 Hari
Surabaya",https://shopee.co.id/-ONLINE-EXCLUSIVE-vivo-V50-5G-(8-256)-Rounded-edge-Design-ZEISS-Group-Potrait-6000mAh-Battery-90W-Flashcharge-IP68-IP69-vivo-AI-Color-Harmony-Red-Solid-Black-i.30843261.27977577260?extraParams=%7B%22display_model_id%22%3A185823114743%2C%22model_selection_logic%22%3A3%7D&sp_atk=18f6e4b0-aa30-48f8-8d0f-1e3786955f62&xptdk=18f6e4b0-aa30-48f8-8d0f-1e3786955f62
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mcm17941x0vs73,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,lenovo k5 pro 4/64gb all operator fullset bekas,,Rp,800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,,,4-7 Hari,,,"Scrape to BigSeller
lenovo k5 pro 4/64gb all operator fullset bekas
Rp
800.000
4-7 Hari
Bekasi",https://shopee.co.id/lenovo-k5-pro-4-64gb-all-operator-fullset-bekas-i.104597251.40360351303?extraParams=%7B%22display_model_id%22%3A305869815984%2C%22model_selection_logic%22%3A3%7D&sp_atk=b3230f37-8955-49be-82f5-f03b8a6eea54&xptdk=b3230f37-8955-49be-82f5-f03b8a6eea54
