-image-yazkc-11,text-sm,inline-block,text-xs/sp14,font-medium,text-xs,pointer-events-none,align-middle,-image-yazkc-11_2,img,text-xs/sp14_2,truncate,text-shopee-primary,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wm-mlri63cecflt51,Laptop Huawei MACHD Core i7 Gen 10 / Gen 11 SSD 512GB RAM 16GB Touchscreen 3K,,Rp,7.600.000,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pekanbaru,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,,,,"Laptop Huawei MACHD Core i7 Gen 10 / Gen 11 SSD 512GB RAM 16GB Touchscreen 3K
Rp
7.600.000
2 Terjual
Pekanbaru",https://shopee.co.id/Laptop-Huawei-MACHD-Core-i7-Gen-10-Gen-11-SSD-512GB-RAM-16GB-Touchscreen-3K-i.8822736.57300234451?extraParams=%7B%22display_model_id%22%3A385074954870%2C%22model_selection_logic%22%3A3%7D&sp_atk=2fed001c-7991-4892-8ac2-f724d901916c&xptdk=2fed001c-7991-4892-8ac2-f724d901916c
https://down-id.img.susercontent.com/file/id-11134207-8224z-mims4tvaz66822,LAPTOP HUAWEI TOUCHSCREEN CORE I7 GEN11 RAM 16GB SSD 512GB,,Rp,9.000.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pekanbaru,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,Produk Baru,,,"LAPTOP HUAWEI TOUCHSCREEN CORE I7 GEN11 RAM 16GB SSD 512GB
Rp
9.000.000
Produk Baru
Pekanbaru",https://shopee.co.id/LAPTOP-HUAWEI-TOUCHSCREEN-CORE-I7-GEN11-RAM-16GB-SSD-512GB-i.6912009.46953595703?extraParams=%7B%22display_model_id%22%3A340341755842%2C%22model_selection_logic%22%3A3%7D&sp_atk=80be3b2a-2875-4622-9cd3-e21f98765f8f&xptdk=80be3b2a-2875-4622-9cd3-e21f98765f8f
https://down-id.img.susercontent.com/file/id-11134207-8224t-mg36kl05yioc76,HUAWEI MateBook D 14 i5- Gen12  8+512GB SSD 1240P | Sleek Metal Body | (DISPLAY SET),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.499.000,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"HUAWEI MateBook D 14 i5- Gen12 8+512GB SSD 1240P | Sleek Metal Body | (DISPLAY SET)
Rp
7.499.000
5.0
5 Terjual
Surabaya",https://shopee.co.id/HUAWEI-MateBook-D-14-i5-Gen12-8-512GB-SSD-1240P-Sleek-Metal-Body-(DISPLAY-SET)-i.394410537.25920195855?extraParams=%7B%22display_model_id%22%3A226157229089%2C%22model_selection_logic%22%3A3%7D&sp_atk=ae8d5e12-b584-4f56-9a51-1de610211600&xptdk=ae8d5e12-b584-4f56-9a51-1de610211600
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-mafhc4e6joooca,HUAWEI MATEBOOK D14 i3-1115G4 RAM 8GB/SSD 256Gb,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.750.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,,,,"HUAWEI MATEBOOK D14 i3-1115G4 RAM 8GB/SSD 256Gb
Rp
4.750.000
Bandung",https://shopee.co.id/HUAWEI-MATEBOOK-D14-i3-1115G4-RAM-8GB-SSD-256Gb-i.965428056.40952822866?extraParams=%7B%22display_model_id%22%3A243471770121%2C%22model_selection_logic%22%3A3%7D&sp_atk=683a4829-d78b-41d5-b655-ff0e1606f83a&xptdk=683a4829-d78b-41d5-b655-ff0e1606f83a
https://down-id.img.susercontent.com/file/b092ae4fdd243b86113b826698389189,HUAWEI MATEBOOK D15 INTEL i5 8GB 512GB GARANSI RESMI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,8.999.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,,"HUAWEI MATEBOOK D15 INTEL i5 8GB 512GB GARANSI RESMI
Rp
8.999.000
Jakarta Timur",https://shopee.co.id/HUAWEI-MATEBOOK-D15-INTEL-i5-8GB-512GB-GARANSI-RESMI-i.227596393.10569143368?extraParams=%7B%22display_model_id%22%3A47750977400%2C%22model_selection_logic%22%3A3%7D&sp_atk=6b0087b0-2b74-4182-a2a7-8254a9dede6d&xptdk=6b0087b0-2b74-4182-a2a7-8254a9dede6d
https://down-id.img.susercontent.com/file/id-11134207-82252-mkjbt5j7f9c000,"HUWAWEI MateBook D16 [ 16GB + 512GB ] Screen Size 16""Inc | BNOB | Mystic Silver",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,9.499.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,,,,,,"HUWAWEI MateBook D16 [ 16GB + 512GB ] Screen Size 16""Inc | BNOB | Mystic Silver
Rp
9.499.000
Jakarta Barat",https://shopee.co.id/HUWAWEI-MateBook-D16-16GB-512GB-Screen-Size-16-Inc-BNOB-Mystic-Silver-i.729746479.55856033845?extraParams=%7B%22display_model_id%22%3A420550369920%2C%22model_selection_logic%22%3A3%7D&sp_atk=5beea986-1137-4f34-b38d-ce37eb4b29a9&xptdk=5beea986-1137-4f34-b38d-ce37eb4b29a9
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mf9flbgpl8nc31,HUAWEI MATEBOOK 14 I5 1135G7 8GB 512SSD IRISXE W10 14.0 2K SPACE GREY,,Rp,9.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,,,,,,"HUAWEI MATEBOOK 14 I5 1135G7 8GB 512SSD IRISXE W10 14.0 2K SPACE GREY
Rp
9.500.000
Kab. Tangerang",https://shopee.co.id/HUAWEI-MATEBOOK-14-I5-1135G7-8GB-512SSD-IRISXE-W10-14.0-2K-SPACE-GREY-i.1262294766.26592447677?extraParams=%7B%22display_model_id%22%3A276823336307%2C%22model_selection_logic%22%3A3%7D&sp_atk=b9923610-30bc-4214-8230-4be34de2e01a&xptdk=b9923610-30bc-4214-8230-4be34de2e01a
https://down-id.img.susercontent.com/file/id-11134207-7r98z-lxc6x7viqwal05,HUAWEI MATEBOOK X PRO i7 Gen12 BLUE | (DISPLAY SET),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,17.999.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,,,"HUAWEI MATEBOOK X PRO i7 Gen12 BLUE | (DISPLAY SET)
Rp
17.999.000
Surabaya",https://shopee.co.id/HUAWEI-MATEBOOK-X-PRO-i7-Gen12-BLUE-(DISPLAY-SET)-i.394410537.26354574081?extraParams=%7B%22display_model_id%22%3A178292382294%2C%22model_selection_logic%22%3A3%7D&sp_atk=c6f4063e-b0d6-4471-bd11-a6359172c687&xptdk=c6f4063e-b0d6-4471-bd11-a6359172c687
https://down-id.img.susercontent.com/file/id-11134207-822wr-mlx2i5uyevb829,Laptop HUAWEI NbDE-Wxx9 Intel Core i5-1155G7 Intel Iris Ram 8Gb Ssd 512Gb Silver Slim Laptop Kenceng Layar Jernih,,Rp,5.225.000,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Laptop HUAWEI NbDE-Wxx9 Intel Core i5-1155G7 Intel Iris Ram 8Gb Ssd 512Gb Silver Slim Laptop Kenceng Layar Jernih
Rp
5.225.000
5.0
1 Terjual
Malang",https://shopee.co.id/Laptop-HUAWEI-NbDE-Wxx9-Intel-Core-i5-1155G7-Intel-Iris-Ram-8Gb-Ssd-512Gb-Silver-Slim-Laptop-Kenceng-Layar-Jernih-i.1443585582.26437909816?extraParams=%7B%22display_model_id%22%3A270483672199%2C%22model_selection_logic%22%3A3%7D&sp_atk=a7ea6834-718f-43f9-ba59-7d0c59d0608e&xptdk=a7ea6834-718f-43f9-ba59-7d0c59d0608e
https://down-id.img.susercontent.com/file/id-11134207-81ztn-mec217gjif46c3,Huawei MateBook 14 Touch Intel Ultra 5 125H 16GB 1TB Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,20.999.000,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,,"Huawei MateBook 14 Touch Intel Ultra 5 125H 16GB 1TB Garansi Resmi
Rp
20.999.000
5.0
3 Terjual
Jakarta Timur",https://shopee.co.id/Huawei-MateBook-14-Touch-Intel-Ultra-5-125H-16GB-1TB-Garansi-Resmi-i.227596393.29191217778?extraParams=%7B%22display_model_id%22%3A276471217298%2C%22model_selection_logic%22%3A3%7D&sp_atk=9a456286-8c04-4976-8eb1-0c0ac35b1952&xptdk=9a456286-8c04-4976-8eb1-0c0ac35b1952
