-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,img,text-xs/sp14_2,text-xs,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-7rd5h-m7g4f3t07q3z3c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,AXIOO HYPE 10 | HYPE 1 N4020 RAM 8GB SSD 256GB Windows 11 Resmi Original,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.694.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,"AXIOO HYPE 10 | HYPE 1 N4020 RAM 8GB SSD 256GB Windows 11 Resmi Original
Rp
3.694.000
-1%
4.9
1RB+ Terjual
< 2 Hari
Bandung",https://shopee.co.id/AXIOO-HYPE-10-HYPE-1-N4020-RAM-8GB-SSD-256GB-Windows-11-Resmi-Original-i.677356281.24392785549?extraParams=%7B%22display_model_id%22%3A380693253821%2C%22model_selection_logic%22%3A3%7D&sp_atk=3f089002-da6d-4f7f-9097-b1788391ccea&xptdk=3f089002-da6d-4f7f-9097-b1788391ccea
https://down-id.img.susercontent.com/file/id-11134207-7rbk0-mambbh1bgce065,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Axioo Hype 5 Ryzen 5 6600H 16GB 512GB SSD W11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.394.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,"Axioo Hype 5 Ryzen 5 6600H 16GB 512GB SSD W11
Rp
8.394.000
-1%
4.9
1RB+ Terjual
< 2 Hari
Bandung",https://shopee.co.id/Axioo-Hype-5-Ryzen-5-6600H-16GB-512GB-SSD-W11-i.677356281.41103274936?extraParams=%7B%22display_model_id%22%3A440494212810%2C%22model_selection_logic%22%3A3%7D&sp_atk=2c267d59-6f36-45ae-b3ed-945c1550ab46&xptdk=2c267d59-6f36-45ae-b3ed-945c1550ab46
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m2c5vyqybcyr48,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP AXIOO HYPE SERIES - INTEL N4020 8GB RAM 256GB SSD WINDOWS 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.553.900,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,"LAPTOP AXIOO HYPE SERIES - INTEL N4020 8GB RAM 256GB SSD WINDOWS 11
Rp
3.553.900
-4%
4.9
1RB+ Terjual
< 2 Hari
Depok",https://shopee.co.id/LAPTOP-AXIOO-HYPE-SERIES-INTEL-N4020-8GB-RAM-256GB-SSD-WINDOWS-11-i.1367937206.26812647637?extraParams=%7B%22display_model_id%22%3A390571421203%2C%22model_selection_logic%22%3A3%7D&sp_atk=48f975dc-1df4-49e3-99ba-21f6b5ad67a7&xptdk=48f975dc-1df4-49e3-99ba-21f6b5ad67a7
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmzvm043z8cja8,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,[BEST SELLER] AXIOO MYBOOK HYPE 1 Celeron N4020 4GB/8GB 128GB/256GB W11 ORIGINAL,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.128.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,54 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,"[BEST SELLER] AXIOO MYBOOK HYPE 1 Celeron N4020 4GB/8GB 128GB/256GB W11 ORIGINAL
Rp
4.128.000
4.9
54 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/-BEST-SELLER-AXIOO-MYBOOK-HYPE-1-Celeron-N4020-4GB-8GB-128GB-256GB-W11-ORIGINAL-i.120549837.27419986261?extraParams=%7B%22display_model_id%22%3A420336320682%2C%22model_selection_logic%22%3A3%7D&sp_atk=c04de61d-513e-492a-8b8e-cabe522d754f&xptdk=c04de61d-513e-492a-8b8e-cabe522d754f
https://down-id.img.susercontent.com/file/id-11134207-7r98w-lrmm96auo13151,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,AXIOO HYPE 10 N4020 8GB 256GB 14.0 DOS / Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.619.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,284 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,"AXIOO HYPE 10 N4020 8GB 256GB 14.0 DOS / Windows 11
Rp
4.619.000
-2%
5.0
284 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/AXIOO-HYPE-10-N4020-8GB-256GB-14.0-DOS-Windows-11-i.1039970542.25613236833?extraParams=%7B%22display_model_id%22%3A258365695230%2C%22model_selection_logic%22%3A3%7D&sp_atk=5553b10c-7277-45fc-8933-092d7be2c1de&xptdk=5553b10c-7277-45fc-8933-092d7be2c1de
https://down-id.img.susercontent.com/file/id-11134207-7r98q-ltbmktmz1ir852,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"AXIOO HYPE 1 N4020 RAM 4GB / 8GB | SSD 128GB 14.0"" HD DOS / Windows 11",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.757.000,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,142 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,"AXIOO HYPE 1 N4020 RAM 4GB / 8GB | SSD 128GB 14.0"" HD DOS / Windows 11
Rp
3.757.000
-4%
4.9
142 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/AXIOO-HYPE-1-N4020-RAM-4GB-8GB-SSD-128GB-14.0-HD-DOS-Windows-11-i.1039970542.24720903468?extraParams=%7B%22display_model_id%22%3A157242956046%2C%22model_selection_logic%22%3A3%7D&sp_atk=08d28f94-b304-4534-8def-53536874f5d2&xptdk=08d28f94-b304-4534-8def-53536874f5d2
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lybss6fves0562,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Axioo MyBook Hype 1 Intel Celeron N4020 4GB/ 8GBSSD 128GB 14 Inch HD W11 Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.896.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,690 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,"Axioo MyBook Hype 1 Intel Celeron N4020 4GB/ 8GBSSD 128GB 14 Inch HD W11 Garansi Resmi
Rp
3.896.000
-1%
4.9
690 Terjual
Besok
Surabaya",https://shopee.co.id/Axioo-MyBook-Hype-1-Intel-Celeron-N4020-4GB-8GBSSD-128GB-14-Inch-HD-W11-Garansi-Resmi-i.318218543.29106572711?extraParams=%7B%22display_model_id%22%3A217687609256%2C%22model_selection_logic%22%3A3%7D&sp_atk=19c5ea9a-1e5c-4c3f-a1ef-cfbf8a80fe32&xptdk=19c5ea9a-1e5c-4c3f-a1ef-cfbf8a80fe32
https://down-id.img.susercontent.com/file/id-11134207-8224r-mg11b6wv2olrd3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Axioo Hype Series 14"" 8GB 256GB SSD Windows 11",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.694.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,Cicilan,"Axioo Hype Series 14"" 8GB 256GB SSD Windows 11
Rp
3.694.000
-1%
Cicilan
4.9
1RB+ Terjual
3-4 Hari
Bekasi",https://shopee.co.id/Axioo-Hype-Series-14-8GB-256GB-SSD-Windows-11-i.319647164.9585547008?extraParams=%7B%22display_model_id%22%3A340571368821%2C%22model_selection_logic%22%3A3%7D&sp_atk=f9fa8789-b9ea-4ea3-96ef-a2ab42b4624a&xptdk=f9fa8789-b9ea-4ea3-96ef-a2ab42b4624a
https://down-id.img.susercontent.com/file/sg-11134201-7rd5r-m7kkbuh9nnhlfa,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Axioo Hype 3 G11 Core i3 8GB 256GB SSD 14"" FHD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.994.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,400 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,"Axioo Hype 3 G11 Core i3 8GB 256GB SSD 14"" FHD
Rp
5.994.000
-1%
4.9
400 Terjual
< 2 Hari
Bandung",https://shopee.co.id/Axioo-Hype-3-G11-Core-i3-8GB-256GB-SSD-14-FHD-i.677356281.29480267344?extraParams=%7B%22display_model_id%22%3A109439037005%2C%22model_selection_logic%22%3A3%7D&sp_atk=9b425cf2-9dae-4d33-ba89-5c7e382adc90&xptdk=9b425cf2-9dae-4d33-ba89-5c7e382adc90
https://down-id.img.susercontent.com/file/id-11134207-8224v-mkz5tb9ip91de9,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,AXIOO HYPE 3 G11 I3 1125G4 8GB 256GB 14.0FHD IPS HDMI DOS / Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.089.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,63 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,"AXIOO HYPE 3 G11 I3 1125G4 8GB 256GB 14.0FHD IPS HDMI DOS / Windows 11
Rp
6.089.000
5.0
63 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/AXIOO-HYPE-3-G11-I3-1125G4-8GB-256GB-14.0FHD-IPS-HDMI-DOS-Windows-11-i.1039970542.24990696479?extraParams=%7B%22display_model_id%22%3A247516360452%2C%22model_selection_logic%22%3A3%7D&sp_atk=f409ed80-00ac-47da-923a-9257b6b8bfe3&xptdk=f409ed80-00ac-47da-923a-9257b6b8bfe3
