-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,align-middle,truncate,text-shopee-primary,_container,_container_link
https://down-id.img.susercontent.com/file/c67c4c832fefc6e3ea7a9e0fa375a779,,"Microsoft Surface Go 2 Intel Core m3, 8GB/128GB",,Rp,14.140.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Microsoft Surface Go 2 Intel Core m3, 8GB/128GB
Rp
14.140.000
Jakarta Pusat",https://shopee.co.id/Microsoft-Surface-Go-2-Intel-Core-m3-8GB-128GB-i.223342437.5842250481?extraParams=%7B%22display_model_id%22%3A40292209076%2C%22model_selection_logic%22%3A3%7D&sp_atk=395fd1fc-f09c-4771-9c2c-0ef3c2d70e79&xptdk=395fd1fc-f09c-4771-9c2c-0ef3c2d70e79
https://down-id.img.susercontent.com/file/dd49a700432c38b94dddf731f9e28abe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus kinclong like new,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.099.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,-41%,"laptop samsung white series np275e4v 14inch 2gb ram 500gb hdd mulus kinclong like new
Rp
1.099.000
-41%
4.7
9 Terjual
Tangerang",https://shopee.co.id/laptop-samsung-white-series-np275e4v-14inch-2gb-ram-500gb-hdd-mulus-kinclong-like-new-i.18199758.19424785479?extraParams=%7B%22display_model_id%22%3A173720055088%2C%22model_selection_logic%22%3A3%7D&sp_atk=e9e1700b-3c80-4447-9d1f-44d950a34aa2&xptdk=e9e1700b-3c80-4447-9d1f-44d950a34aa2
https://down-id.img.susercontent.com/file/id-11134207-8224z-miv1p9lso1z820,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop 2in1 Tablet Lenovo Ideapad D330 N4000  Ram 4GB Ssd eMMc 64GB - Second Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,157 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop 2in1 Tablet Lenovo Ideapad D330 N4000 Ram 4GB Ssd eMMc 64GB - Second Bergaransi
Rp
1.599.000
4.9
157 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-2in1-Tablet-Lenovo-Ideapad-D330-N4000-Ram-4GB-Ssd-eMMc-64GB-Second-Bergaransi-i.174578880.28751576893?extraParams=%7B%22display_model_id%22%3A187551997746%2C%22model_selection_logic%22%3A3%7D&sp_atk=cd64a441-8844-4eab-b1c2-9231d83c8411&xptdk=cd64a441-8844-4eab-b1c2-9231d83c8411
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mbjfv4l7lakm83,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HARGA LAPTOP BEKAS  || Netbook Samsung Chomebook XE303C12 cam layar 11.6 mulusss,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"HARGA LAPTOP BEKAS || Netbook Samsung Chomebook XE303C12 cam layar 11.6 mulusss
Rp
499.000
4.8
1RB+ Terjual
Jakarta Barat",https://shopee.co.id/HARGA-LAPTOP-BEKAS-Netbook-Samsung-Chomebook-XE303C12-cam-layar-11.6-mulusss-i.9911872.11785456121?extraParams=%7B%22display_model_id%22%3A168183589968%2C%22model_selection_logic%22%3A3%7D&sp_atk=79add276-b6fe-4a2f-b38d-69a761699008&xptdk=79add276-b6fe-4a2f-b38d-69a761699008
https://down-id.img.susercontent.com/file/sg-11134201-22120-52qo171j6alvb5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop supermurah dell core i5 ram 8gb ram 16gb gaming desain ok normal bergaransi,,Rp,900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,151 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,"Laptop supermurah dell core i5 ram 8gb ram 16gb gaming desain ok normal bergaransi
Rp
900.000
4.6
151 Terjual
Kab. Tangerang",https://shopee.co.id/Laptop-supermurah-dell-core-i5-ram-8gb-ram-16gb-gaming-desain-ok-normal-bergaransi-i.72458775.17584511460?extraParams=%7B%22display_model_id%22%3A295084017285%2C%22model_selection_logic%22%3A3%7D&sp_atk=c9f7f717-b023-4b56-80a7-5fa96f555855&xptdk=c9f7f717-b023-4b56-80a7-5fa96f555855
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mbggafm3dh1v31,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ASUS X453 INTEL CELERON/RAM 4GB-8GB/HDD 1TB/14 INCH (BONUS MOUSE),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.575.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"LAPTOP ASUS X453 INTEL CELERON/RAM 4GB-8GB/HDD 1TB/14 INCH (BONUS MOUSE)
Rp
1.575.000
1 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-ASUS-X453-INTEL-CELERON-RAM-4GB-8GB-HDD-1TB-14-INCH-(BONUS-MOUSE)-i.17620640.40656234181?extraParams=%7B%22display_model_id%22%3A300522674461%2C%22model_selection_logic%22%3A3%7D&sp_atk=9345bfbe-ca65-41f6-bee5-97a7b688077a&xptdk=9345bfbe-ca65-41f6-bee5-97a7b688077a
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn1btg2820p4de,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP X360/745 G5 Core i3/i5/i7 | MURAH SLIM ORIGINAL BERGARANSI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,71 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,-6%,"Laptop HP X360/745 G5 Core i3/i5/i7 | MURAH SLIM ORIGINAL BERGARANSI
Rp
1.500.000
-6%
4.9
71 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-X360-745-G5-Core-i3-i5-i7-MURAH-SLIM-ORIGINAL-BERGARANSI-i.472460537.22400112763?extraParams=%7B%22display_model_id%22%3A385478344647%2C%22model_selection_logic%22%3A3%7D&sp_atk=2831414e-24a2-42cb-9d75-00df4d635383&xptdk=2831414e-24a2-42cb-9d75-00df4d635383
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mbemb251zl5l4e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop HP EliteBook 820 830 850 G3 G7 HP Probook X360 MULUS NO MINUS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,170 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,-6%,"Laptop HP EliteBook 820 830 850 G3 G7 HP Probook X360 MULUS NO MINUS
Rp
1.500.000
-6%
4.8
170 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-EliteBook-820-830-850-G3-G7-HP-Probook-X360-MULUS-NO-MINUS-i.802578957.12296971070?extraParams=%7B%22display_model_id%22%3A267374955369%2C%22model_selection_logic%22%3A3%7D&sp_atk=8b300432-7733-4b8f-91c4-8cc51debd925&xptdk=8b300432-7733-4b8f-91c4-8cc51debd925
https://down-id.img.susercontent.com/file/id-11134207-8224r-mhrdr4382vi848,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP LENOVO THINKPAD YOGA 11E 100E 300E TOUCHSCREEN CELERON  LAYAR 11 INCH SLIM, SUPER MURAH BAGUS MULUS BERKUALITAS DAN BERGARANSI",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,54 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,-6%,"LAPTOP LENOVO THINKPAD YOGA 11E 100E 300E TOUCHSCREEN CELERON LAYAR 11 INCH SLIM, SUPER MURAH BAGUS MULUS BERKUALITAS DAN BERGARANSI
Rp
1.500.000
-6%
4.7
54 Terjual
Jakarta Utara",https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-YOGA-11E-100E-300E-TOUCHSCREEN-CELERON-LAYAR-11-INCH-SLIM-SUPER-MURAH-BAGUS-MULUS-BERKUALITAS-DAN-BERGARANSI-i.1067066233.25167991526?extraParams=%7B%22display_model_id%22%3A69575842742%2C%22model_selection_logic%22%3A3%7D&sp_atk=7949f89a-8eb1-4012-9ecd-dd7140b289dd&xptdk=7949f89a-8eb1-4012-9ecd-dd7140b289dd
https://down-id.img.susercontent.com/file/id-11134207-822wh-mn1btg27wefc6b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"[Bekas] Laptop Lenovo Thinkpad Intel Core i5 - x220 x230 x240 x250 x260 x270 x280 - Layar 12,5"" Inch",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,Cicilan,,"[Bekas] Laptop Lenovo Thinkpad Intel Core i5 - x220 x230 x240 x250 x260 x270 x280 - Layar 12,5"" Inch
Rp
1.800.000
Cicilan
4.9
1RB+ Terjual
Jakarta Utara",https://shopee.co.id/-Bekas-Laptop-Lenovo-Thinkpad-Intel-Core-i5-x220-x230-x240-x250-x260-x270-x280-Layar-12-5-Inch-i.472460537.17347533105?extraParams=%7B%22display_model_id%22%3A128307180602%2C%22model_selection_logic%22%3A3%7D&sp_atk=9932f6b0-8234-425f-a64f-e0918fb6f66f&xptdk=9932f6b0-8234-425f-a64f-e0918fb6f66f
