-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,inline-block,text-xs,truncate,text-shopee-primary,img,text-xs/sp14_3,pointer-events-none_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224y-mia1g1q1x9mv78,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,REDMIBOOK 15 CORE I3-1115G4 RAM 8GB SSD 256GB 15.6INCH/4477,Rp,3.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,Produk Baru,,,,,"REDMIBOOK 15 CORE I3-1115G4 RAM 8GB SSD 256GB 15.6INCH/4477
Rp
3.500.000
Produk Baru
Surabaya",https://shopee.co.id/REDMIBOOK-15-CORE-I3-1115G4-RAM-8GB-SSD-256GB-15.6INCH-4477-i.607032615.49403129031?extraParams=%7B%22display_model_id%22%3A320300454684%2C%22model_selection_logic%22%3A3%7D&sp_atk=f9c0b3db-c117-4901-a6da-6c0492d61db9&xptdk=f9c0b3db-c117-4901-a6da-6c0492d61db9
https://down-id.img.susercontent.com/file/id-11134207-822wr-mm57wstnijv361,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP REDMIBOOK CORE I3gen11 SSD 512 GB MULUSS GARANSI,Rp,3.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,,,,,"LAPTOP REDMIBOOK CORE I3gen11 SSD 512 GB MULUSS GARANSI
Rp
3.800.000
Semarang",https://shopee.co.id/LAPTOP-REDMIBOOK-CORE-I3gen11-SSD-512-GB-MULUSS-GARANSI-i.227904588.52357546277?extraParams=%7B%22display_model_id%22%3A325671677942%2C%22model_selection_logic%22%3A3%7D&sp_atk=f9aa53df-97df-4293-8946-c3c72cd674d4&xptdk=f9aa53df-97df-4293-8946-c3c72cd674d4
https://down-id.img.susercontent.com/file/id-11134207-8224z-mk2ur35jjjeqdd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,RedmiBook 15 Core i3 gen 11 RAM 8 GB SSD 512 GB Bezelles,Rp,3.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,,,,,"RedmiBook 15 Core i3 gen 11 RAM 8 GB SSD 512 GB Bezelles
Rp
3.800.000
Semarang",https://shopee.co.id/RedmiBook-15-Core-i3-gen-11-RAM-8-GB-SSD-512-GB-Bezelles-i.235304293.50105592749?extraParams=%7B%22display_model_id%22%3A415506443100%2C%22model_selection_logic%22%3A3%7D&sp_atk=921db526-0a5f-4634-b4f8-ab4f07ec2d06&xptdk=921db526-0a5f-4634-b4f8-ab4f07ec2d06
https://down-id.img.susercontent.com/file/88195d1049a6928feeb0ab92821f187f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Redmibook 15 Garansi Resmi 1 Th SSD 8/256 Gb Newsegelbox,Rp,5.899.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,,1 Terjual,,,,,,"Laptop Redmibook 15 Garansi Resmi 1 Th SSD 8/256 Gb Newsegelbox
Rp
5.899.000
1 Terjual
Kab. Bandung",https://shopee.co.id/Laptop-Redmibook-15-Garansi-Resmi-1-Th-SSD-8-256-Gb-Newsegelbox-i.44102162.15445114471?extraParams=%7B%22display_model_id%22%3A123949339764%2C%22model_selection_logic%22%3A3%7D&sp_atk=c8c161e5-ffc4-476f-b38d-88d696cf8169&xptdk=c8c161e5-ffc4-476f-b38d-88d696cf8169
https://down-id.img.susercontent.com/file/id-11134207-8224r-ml08c137kiyrbe,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP REDMIBOOK 15 Intel Core i3 - 1115G4/8GB/256GB • Display 15,6 inch/SECOND",Rp,4.399.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Probolinggo,,,,,,,,"LAPTOP REDMIBOOK 15 Intel Core i3 - 1115G4/8GB/256GB • Display 15,6 inch/SECOND
Rp
4.399.000
Probolinggo",https://shopee.co.id/LAPTOP-REDMIBOOK-15-Intel-Core-i3-1115G4-8GB-256GB-%E2%80%A2-Display-15-6-inch-SECOND-i.799955871.48006345900?extraParams=%7B%22display_model_id%22%3A435571405798%2C%22model_selection_logic%22%3A3%7D&sp_atk=4cbccb43-7b8c-44c9-ad0e-f3726b6aa006&xptdk=4cbccb43-7b8c-44c9-ad0e-f3726b6aa006
https://down-id.img.susercontent.com/file/sg-11134201-82600-mk9iwoedy96off,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Redmi RedmiBook 15 intel core i3-1115G4 RAM 8GB SSD 256GB 15Inch FULL HD Second premium Dunia Laptop2,Rp,3.867.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,,,"Laptop Redmi RedmiBook 15 intel core i3-1115G4 RAM 8GB SSD 256GB 15Inch FULL HD Second premium Dunia Laptop2
Rp
3.867.500
Jakarta Timur",https://shopee.co.id/Laptop-Redmi-RedmiBook-15-intel-core-i3-1115G4-RAM-8GB-SSD-256GB-15Inch-FULL-HD-Second-premium-Dunia-Laptop2-i.1735348108.55405764948?extraParams=%7B%22display_model_id%22%3A325522156338%2C%22model_selection_logic%22%3A3%7D&sp_atk=d94199a5-a240-4e1b-b842-210947c81d47&xptdk=d94199a5-a240-4e1b-b842-210947c81d47
https://down-id.img.susercontent.com/file/id-11134207-8224t-mil8xl8wh4aq23,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,REDMIBOOK 15 Intel Core i3-1115G4 Ram 8 Gb SSD 256 Gb Keyboard empuk,Rp,3.412.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bantul,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,Produk Baru,,,,,"REDMIBOOK 15 Intel Core i3-1115G4 Ram 8 Gb SSD 256 Gb Keyboard empuk
Rp
3.412.500
Produk Baru
Kab. Bantul",https://shopee.co.id/REDMIBOOK-15-Intel-Core-i3-1115G4-Ram-8-Gb-SSD-256-Gb-Keyboard-empuk-i.162504535.46303513335?extraParams=%7B%22display_model_id%22%3A355335683578%2C%22model_selection_logic%22%3A3%7D&sp_atk=74ec9156-66d2-4262-8439-acaf80832eac&xptdk=74ec9156-66d2-4262-8439-acaf80832eac
https://down-id.img.susercontent.com/file/id-11134207-8224p-mk0gspoqatxcc7,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,RedmiBook 15 Core i3 gen 11 RAM 8 GB SSD 512 GB Bezelles,Rp,3.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,,,,,"RedmiBook 15 Core i3 gen 11 RAM 8 GB SSD 512 GB Bezelles
Rp
3.800.000
Semarang",https://shopee.co.id/RedmiBook-15-Core-i3-gen-11-RAM-8-GB-SSD-512-GB-Bezelles-i.156565552.43528392914?extraParams=%7B%22display_model_id%22%3A395494512764%2C%22model_selection_logic%22%3A3%7D&sp_atk=7d82f478-168b-45bf-a830-c6e47e8b035c&xptdk=7d82f478-168b-45bf-a830-c6e47e8b035c
https://down-id.img.susercontent.com/file/id-11134207-7r98o-luk7tv13r3xtd1,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Redmi i3-11th 15inch RAM 8 SSD 256 baru new lengkap windows aplikasi garansi,Rp,7.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,3 Terjual,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Laptop Redmi i3-11th 15inch RAM 8 SSD 256 baru new lengkap windows aplikasi garansi
Rp
7.000.000
5.0
3 Terjual
Jakarta Timur",https://shopee.co.id/Laptop-Redmi-i3-11th-15inch-RAM-8-SSD-256-baru-new-lengkap-windows-aplikasi-garansi-i.21730609.25176722831?extraParams=%7B%22display_model_id%22%3A205059967012%2C%22model_selection_logic%22%3A3%7D&sp_atk=ddc27441-ed16-4fb4-924f-32d160ac6165&xptdk=ddc27441-ed16-4fb4-924f-32d160ac6165
https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mb7vfpzbk7soe2,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP REDMIBOOK 15 CORE I3-1115G4 RAM 8 GB SSD 256 GB FHD WIN11 MULUS,Rp,3.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,,,,,,,,"LAPTOP REDMIBOOK 15 CORE I3-1115G4 RAM 8 GB SSD 256 GB FHD WIN11 MULUS
Rp
3.200.000
Bogor",https://shopee.co.id/LAPTOP-REDMIBOOK-15-CORE-I3-1115G4-RAM-8-GB-SSD-256-GB-FHD-WIN11-MULUS-i.1568908596.44005289819?extraParams=%7B%22display_model_id%22%3A285446181983%2C%22model_selection_logic%22%3A3%7D&sp_atk=cf26329e-6388-46de-ba77-475e751c9dbd&xptdk=cf26329e-6388-46de-ba77-475e751c9dbd
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m55jx7dthymad5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop RedmiBook 15 Intel Core i3-1115G4 Ram 8Gb Ssd 256Gb SCU19117 Normal Siap Pakai - Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang - Laptop Kuliah - Laptop Kantoran - Laptop Kerja - Laptop Desain,Rp,3.937.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,1 Terjual,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Laptop RedmiBook 15 Intel Core i3-1115G4 Ram 8Gb Ssd 256Gb SCU19117 Normal Siap Pakai - Laptop Murah - Laptop Malang - Laptop Gaming - Bergaransi - Laptop Bekas - Laptop Bekas Malang - Laptop Kuliah - Laptop Kantoran - Laptop Kerja - Laptop Desain
Rp
3.937.500
5.0
1 Terjual
Malang",https://shopee.co.id/Laptop-RedmiBook-15-Intel-Core-i3-1115G4-Ram-8Gb-Ssd-256Gb-SCU19117-Normal-Siap-Pakai-Laptop-Murah-Laptop-Malang-Laptop-Gaming-Bergaransi-Laptop-Bekas-Laptop-Bekas-Malang-Laptop-Kuliah-Laptop-Kantoran-Laptop-Kerja-Laptop-Desain-i.44435356.28203131498?extraParams=%7B%22display_model_id%22%3A168263770913%2C%22model_selection_logic%22%3A3%7D&sp_atk=7ca0dfe2-176a-4f82-8556-45af809afe40&xptdk=7ca0dfe2-176a-4f82-8556-45af809afe40
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmxdzwxg9wci09,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,redmibook 15 512gb core i3 resmi fullset,Rp,4.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,,,,"redmibook 15 512gb core i3 resmi fullset
Rp
4.500.000
Jakarta Pusat",https://shopee.co.id/redmibook-15-512gb-core-i3-resmi-fullset-i.1451150915.56508637107?extraParams=%7B%22display_model_id%22%3A335766306018%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b743265-6c0f-426e-8d52-53f6e1b236c0&xptdk=7b743265-6c0f-426e-8d52-53f6e1b236c0
https://down-id.img.susercontent.com/file/id-11134207-7rbka-macnfoclma4875,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,TERMURAH! LAPTOP SLIM XIAOMI REDMIBOOK 15 I3 GEN 11 8/128 SSD NO MINUS,Rp,3.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,,,,,"TERMURAH! LAPTOP SLIM XIAOMI REDMIBOOK 15 I3 GEN 11 8/128 SSD NO MINUS
Rp
3.200.000
Jakarta Pusat",https://shopee.co.id/TERMURAH!-LAPTOP-SLIM-XIAOMI-REDMIBOOK-15-I3-GEN-11-8-128-SSD-NO-MINUS-i.275428429.41752559540?extraParams=%7B%22display_model_id%22%3A260212158853%2C%22model_selection_logic%22%3A3%7D&sp_atk=6a85835e-b813-4388-b0cc-bc051b2c42b2&xptdk=6a85835e-b813-4388-b0cc-bc051b2c42b2
