-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-shopee-primary,img,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,w-auto,text-white,inline-block,pointer-events-none_3,truncate,text-xs_2,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224o-mkgd7z3wtipwdd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 150 Dual Sim Camera Normal Second,Rp,65.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,Produk Baru,17 Terjual,"Scrape to BigSeller
Nokia 150 Dual Sim Camera Normal Second
Rp
65.000
Produk Baru
5.0
17 Terjual
2-5 Hari
Kab. Cirebon",https://shopee.co.id/Nokia-150-Dual-Sim-Camera-Normal-Second-i.1675555240.50653449844?extraParams=%7B%22display_model_id%22%3A445332708566%2C%22model_selection_logic%22%3A3%7D&sp_atk=a161f7d1-2188-474d-95a7-cf624b0876c2&xptdk=a161f7d1-2188-474d-95a7-cf624b0876c2
https://down-id.img.susercontent.com/file/id-11134207-822wn-mlpqvbw2nls404,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 105 (2019) Dual SIM Bekas #17861,Rp,82.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Wonogiri,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,Besok,"Scrape to BigSeller
Nokia 105 (2019) Dual SIM Bekas #17861
Rp
82.000
Besok
Kab. Wonogiri",https://shopee.co.id/Nokia-105-(2019)-Dual-SIM-Bekas-17861-i.1583609959.49457099891?extraParams=%7B%22display_model_id%22%3A292449776612%2C%22model_selection_logic%22%3A3%7D&sp_atk=e57e5449-cc6b-49a5-bb6c-32e26a01daf4&xptdk=e57e5449-cc6b-49a5-bb6c-32e26a01daf4
https://down-id.img.susercontent.com/file/id-11134207-8224p-mjzk1ofeyxhh4c,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,Nokia 109 (second original),Rp,107.800,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,Besok,"Scrape to BigSeller
Nokia 109 (second original)
Rp
107.800
Besok
Jakarta Timur",https://shopee.co.id/Nokia-109-(second-original)-i.434838157.41678388025?extraParams=%7B%22display_model_id%22%3A440493000779%2C%22model_selection_logic%22%3A3%7D&sp_atk=f934b270-21e4-42e0-8c00-4a663ab673e9&xptdk=f934b270-21e4-42e0-8c00-4a663ab673e9
https://down-id.img.susercontent.com/file/id-11134207-8224v-mkgd7z3ws45g4a,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 216 Dual Sim Camera Normal Second,Rp,70.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,Produk Baru,13 Terjual,"Scrape to BigSeller
Nokia 216 Dual Sim Camera Normal Second
Rp
70.000
Produk Baru
3.0
13 Terjual
2-5 Hari
Kab. Cirebon",https://shopee.co.id/Nokia-216-Dual-Sim-Camera-Normal-Second-i.1675555240.54303747352?extraParams=%7B%22display_model_id%22%3A325356400753%2C%22model_selection_logic%22%3A3%7D&sp_atk=7437c0de-c150-471c-b665-22397027fc19&xptdk=7437c0de-c150-471c-b665-22397027fc19
https://down-id.img.susercontent.com/file/id-11134207-82250-mjwhh2ral4hv3e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 215 Dual SIM Bekas Garansi Resmi #40883,Rp,102.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Wonogiri,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,Besok,"Scrape to BigSeller
Nokia 215 Dual SIM Bekas Garansi Resmi #40883
Rp
102.000
Besok
Kab. Wonogiri",https://shopee.co.id/Nokia-215-Dual-SIM-Bekas-Garansi-Resmi-40883-i.1583609959.42428328068?extraParams=%7B%22display_model_id%22%3A259153238054%2C%22model_selection_logic%22%3A3%7D&sp_atk=9b7e8756-e866-4110-859d-89adc9c19a6b&xptdk=9b7e8756-e866-4110-859d-89adc9c19a6b
https://down-id.img.susercontent.com/file/id-11134207-8224o-mk1v9f52r6kk89,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia X2-02 Dual SIM Bekas Garansi Resmi #22767,Rp,102.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Wonogiri,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,Besok,"Scrape to BigSeller
Nokia X2-02 Dual SIM Bekas Garansi Resmi #22767
Rp
102.000
Besok
Kab. Wonogiri",https://shopee.co.id/Nokia-X2-02-Dual-SIM-Bekas-Garansi-Resmi-22767-i.1583609959.49405541983?extraParams=%7B%22display_model_id%22%3A272373106714%2C%22model_selection_logic%22%3A3%7D&sp_atk=b950905b-11c6-4da8-83fd-2355fe44a548&xptdk=b950905b-11c6-4da8-83fd-2355fe44a548
https://down-id.img.susercontent.com/file/id-11134207-822wj-mn6mklqoe03od8,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,NOKIA N81 (2GB)  MINUS,Rp,130.000,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-11 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Samarinda,,,,,,4-11 Hari,"Scrape to BigSeller
NOKIA N81 (2GB) MINUS
Rp
130.000
4-11 Hari
Samarinda",https://shopee.co.id/NOKIA-N81-(2GB)-MINUS-i.96760803.52709046328?extraParams=%7B%22display_model_id%22%3A320801401527%2C%22model_selection_logic%22%3A3%7D&sp_atk=fcacd51f-b937-42d0-bea8-6bd31fbeaf61&xptdk=fcacd51f-b937-42d0-bea8-6bd31fbeaf61
https://down-id.img.susercontent.com/file/2f958a6fb1f453310b6d8e4343b97ec8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA ASHA 210 SECOND DUAL SIM ( + free bubble wrap ),Rp,179.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.1,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,,,,198 Terjual,"Scrape to BigSeller
NOKIA ASHA 210 SECOND DUAL SIM ( + free bubble wrap )
Rp
179.000
4.1
198 Terjual
4-7 Hari
Kab. Indramayu",https://shopee.co.id/NOKIA-ASHA-210-SECOND-DUAL-SIM-(-free-bubble-wrap-)-i.185807864.5654739415?extraParams=%7B%22display_model_id%22%3A207620252638%2C%22model_selection_logic%22%3A3%7D&sp_atk=848a326c-9180-455c-b730-a1993c237937&xptdk=848a326c-9180-455c-b730-a1993c237937
https://down-id.img.susercontent.com/file/id-11134207-7r98t-lvqap8g2yr7d20,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,NOKIA 216 SELFIE SCOND ORI,Rp,75.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,133 Terjual,"Scrape to BigSeller
NOKIA 216 SELFIE SCOND ORI
Rp
75.000
4.6
133 Terjual
2-3 Hari
Kab. Cirebon",https://shopee.co.id/NOKIA-216-SELFIE-SCOND-ORI-i.1080498531.24530144641?extraParams=%7B%22display_model_id%22%3A240812619050%2C%22model_selection_logic%22%3A3%7D&sp_atk=138c7015-e327-41b6-a628-98a377a2e2fe&xptdk=138c7015-e327-41b6-a628-98a377a2e2fe
https://down-id.img.susercontent.com/file/id-11134207-822wq-mlrfx84emb5wa5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nokia 7610 Minus second,Rp,135.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,,,,Hari ini,"Scrape to BigSeller
Nokia 7610 Minus second
Rp
135.000
Hari ini
Surabaya",https://shopee.co.id/Nokia-7610-Minus-second-i.21237644.54107150813?extraParams=%7B%22display_model_id%22%3A330637637498%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb81c2b2-82e7-468e-8521-1a2110ef284c&xptdk=fb81c2b2-82e7-468e-8521-1a2110ef284c
