-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,pointer-events-none_2,align-middle,img,text-xs/sp14_3,text-xs,inline-block,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0j-mdhd7exfhzm645,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP 245 8G NOTEBOOK PC AMD RYZEN 3 5300U 8GB SSD 256GB 14 INCH SECOND MULUS BERGARANSI,Rp,3.749.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"LAPTOP HP 245 8G NOTEBOOK PC AMD RYZEN 3 5300U 8GB SSD 256GB 14 INCH SECOND MULUS BERGARANSI
Rp
3.749.000
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-245-8G-NOTEBOOK-PC-AMD-RYZEN-3-5300U-8GB-SSD-256GB-14-INCH-SECOND-MULUS-BERGARANSI-i.37906250.44463579685?extraParams=%7B%22display_model_id%22%3A291123882185%2C%22model_selection_logic%22%3A3%7D&sp_atk=a1d1b634-0ba7-41a8-8c3f-6a09c16a4a71&xptdk=a1d1b634-0ba7-41a8-8c3f-6a09c16a4a71
https://down-id.img.susercontent.com/file/id-11134207-8224p-mif4hqv0r282cf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP STREAM 14-CB 1XXX CELERON N4000 4GB 14INCH SECOND BERGARANSI,Rp,1.749.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Produk Baru,"LAPTOP HP STREAM 14-CB 1XXX CELERON N4000 4GB 14INCH SECOND BERGARANSI
Rp
1.749.000
Produk Baru
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-STREAM-14-CB-1XXX-CELERON-N4000-4GB-14INCH-SECOND-BERGARANSI-i.365327344.42977361612?extraParams=%7B%22display_model_id%22%3A297267951292%2C%22model_selection_logic%22%3A3%7D&sp_atk=00b2dd08-9c77-4ec5-8346-bab0a89c9d81&xptdk=00b2dd08-9c77-4ec5-8346-bab0a89c9d81
https://down-id.img.susercontent.com/file/id-11134207-81ztj-mecty44pfg1t16,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP Probook 11 G2 Touchscreen Second,Rp,2.000.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,"HP Probook 11 G2 Touchscreen Second
Rp
2.000.000
Jakarta Timur",https://shopee.co.id/HP-Probook-11-G2-Touchscreen-Second-i.95793504.28041224741?extraParams=%7B%22display_model_id%22%3A296475714184%2C%22model_selection_logic%22%3A3%7D&sp_atk=529b04f3-24d5-4875-b4e3-a987fea9c17f&xptdk=529b04f3-24d5-4875-b4e3-a987fea9c17f
https://down-id.img.susercontent.com/file/id-11134207-82252-mjb04l2fclq90b,,HP 450 G2 G3 I5 G 2|3 8GB 256GB SSD 15 inch SECOND Murah,Rp,2.550.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,Produk Baru,"HP 450 G2 G3 I5 G 2|3 8GB 256GB SSD 15 inch SECOND Murah
Rp
2.550.000
Produk Baru
5.0
1 Terjual
Surabaya",https://shopee.co.id/HP-450-G2-G3-I5-G-2-3-8GB-256GB-SSD-15-inch-SECOND-Murah-i.138140072.54954430258?extraParams=%7B%22display_model_id%22%3A390414692114%2C%22model_selection_logic%22%3A3%7D&sp_atk=da54eb2f-d6ab-435e-aa4d-e98854675e54&xptdk=da54eb2f-d6ab-435e-aa4d-e98854675e54
https://down-id.img.susercontent.com/file/id-11134207-7r98x-lnhcckuo91to40,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP 245 G8 Athlon 3050U- HP Elitebook 840-G5 - Second Bekas,Rp,4.000.000,-27%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,"Laptop HP 245 G8 Athlon 3050U- HP Elitebook 840-G5 - Second Bekas
Rp
4.000.000
-27%
5.0
1 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-HP-245-G8-Athlon-3050U-HP-Elitebook-840-G5-Second-Bekas-i.6064242.13199887456?extraParams=%7B%22display_model_id%22%3A184706028100%2C%22model_selection_logic%22%3A3%7D&sp_atk=eb82ec5f-31bb-49da-b31e-dd33a5c5b60f&xptdk=eb82ec5f-31bb-49da-b31e-dd33a5c5b60f
https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mcou9gjfbg9jc0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP HP CHROMEBOOK CELERON N4020 N4120 4GB 12INCH SECOND BERGARANSI,Rp,949.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"LAPTOP HP CHROMEBOOK CELERON N4020 N4120 4GB 12INCH SECOND BERGARANSI
Rp
949.000
2 Terjual
Jakarta Barat",https://shopee.co.id/LAPTOP-HP-CHROMEBOOK-CELERON-N4020-N4120-4GB-12INCH-SECOND-BERGARANSI-i.365327344.43710538525?extraParams=%7B%22display_model_id%22%3A305886416621%2C%22model_selection_logic%22%3A3%7D&sp_atk=08ae2aa8-56ab-4d70-87bd-dd75e9dbf6ad&xptdk=08ae2aa8-56ab-4d70-87bd-dd75e9dbf6ad
https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mdofhoydaasvf7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Hp Elite Book 830 G7 CI7 10510u 1.8ghz  Ram 8gb Ssd 256gb | Ram 8gb Ssd 512gb Second Original,Rp,4.600.000,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,"Laptop Hp Elite Book 830 G7 CI7 10510u 1.8ghz Ram 8gb Ssd 256gb | Ram 8gb Ssd 512gb Second Original
Rp
4.600.000
-8%
Jakarta Pusat",https://shopee.co.id/Laptop-Hp-Elite-Book-830-G7-CI7-10510u-1.8ghz-Ram-8gb-Ssd-256gb-Ram-8gb-Ssd-512gb-Second-Original-i.1044334344.40214319584?extraParams=%7B%22display_model_id%22%3A375491011866%2C%22model_selection_logic%22%3A3%7D&sp_atk=306313b6-a8fc-42b9-8bd2-6444e8cf8153&xptdk=306313b6-a8fc-42b9-8bd2-6444e8cf8153
https://down-id.img.susercontent.com/file/id-11134207-8224v-mg6i7zupct8obd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop HP Elitebook 840 G5 Core i7 Gen 8 Ram 32GB SSD 1TB Touchscreen Second Bergaransi Elegant,Rp,4.023.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,13 Terjual,,,"Laptop HP Elitebook 840 G5 Core i7 Gen 8 Ram 32GB SSD 1TB Touchscreen Second Bergaransi Elegant
Rp
4.023.000
-1%
5.0
13 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-Elitebook-840-G5-Core-i7-Gen-8-Ram-32GB-SSD-1TB-Touchscreen-Second-Bergaransi-Elegant-i.1642318148.42175128269?extraParams=%7B%22display_model_id%22%3A287284525944%2C%22model_selection_logic%22%3A3%7D&sp_atk=27b066b0-6549-4d25-8511-62f4919bedb0&xptdk=27b066b0-6549-4d25-8511-62f4919bedb0
https://down-id.img.susercontent.com/file/id-11134207-822wt-mmpwwmbipn9ib0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"LAPTOP HP PROBOOK 440 G5 CORE I5,8250U 1.6GHZ RAM 8GB SSD 256GB SECOND ORIGINAL",Rp,3.039.474,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,"LAPTOP HP PROBOOK 440 G5 CORE I5,8250U 1.6GHZ RAM 8GB SSD 256GB SECOND ORIGINAL
Rp
3.039.474
-5%
Jakarta Pusat",https://shopee.co.id/LAPTOP-HP-PROBOOK-440-G5-CORE-I5-8250U-1.6GHZ-RAM-8GB-SSD-256GB-SECOND-ORIGINAL-i.227005289.57858300910?extraParams=%7B%22display_model_id%22%3A380736751056%2C%22model_selection_logic%22%3A3%7D&sp_atk=78ffed83-5d4d-4018-92dd-7ea68b80e0ca&xptdk=78ffed83-5d4d-4018-92dd-7ea68b80e0ca
https://down-id.img.susercontent.com/file/id-11134207-822wu-mlumj2ta7dvn53,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP HP MODEL 14S CF1051TU INTEL CELERON N4205U RAM 4G SSD 512 GB SECOND BERGARANSI,Rp,2.615.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,,,,,"LAPTOP HP MODEL 14S CF1051TU INTEL CELERON N4205U RAM 4G SSD 512 GB SECOND BERGARANSI
Rp
2.615.000
Kab. Sleman",https://shopee.co.id/LAPTOP-HP-MODEL-14S-CF1051TU-INTEL-CELERON-N4205U-RAM-4G-SSD-512-GB-SECOND-BERGARANSI-i.946640405.54007238489?extraParams=%7B%22display_model_id%22%3A350644525091%2C%22model_selection_logic%22%3A3%7D&sp_atk=05bea643-4f51-4421-8eab-e02c12034af5&xptdk=05bea643-4f51-4421-8eab-e02c12034af5
https://down-id.img.susercontent.com/file/id-11134207-822wp-mmbtvtj6wzycb6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop HP 240 G4 Second | CORE I3-5005U | RAM 8GB  | SSD 256GB | Siap Pakai!,Rp,2.500.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,,,,,,"Laptop HP 240 G4 Second | CORE I3-5005U | RAM 8GB | SSD 256GB | Siap Pakai!
Rp
2.500.000
Medan",https://shopee.co.id/Laptop-HP-240-G4-Second-CORE-I3-5005U-RAM-8GB-SSD-256GB-Siap-Pakai!-i.324786728.53157799868?extraParams=%7B%22display_model_id%22%3A287485420897%2C%22model_selection_logic%22%3A3%7D&sp_atk=e3a2791d-e36f-4980-8bd0-a02bfc4cbdab&xptdk=e3a2791d-e36f-4980-8bd0-a02bfc4cbdab
