-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,truncate,w-auto,text-white,img_2,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7r98z-lz08h5x12crsed,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,backdoor asus zenfone live 1 bekas ori.,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,25.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Gunung Kidul,,,,,,,"Scrape to BigSeller
backdoor asus zenfone live 1 bekas ori.
Rp
25.000
3-4 Hari
Kab. Gunung Kidul",https://shopee.co.id/backdoor-asus-zenfone-live-1-bekas-ori.-i.803457978.29308051741?extraParams=%7B%22display_model_id%22%3A241390226952%2C%22model_selection_logic%22%3A2%7D&sp_atk=ee7f783e-261c-43b1-a166-a2d8ee02147b&xptdk=ee7f783e-261c-43b1-a166-a2d8ee02147b
https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m6cvvmkbmqc388,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,mesin asus zenfone live L1 ram 2/16 4g minus POLA,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,90.000,4.5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,13 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
mesin asus zenfone live L1 ram 2/16 4g minus POLA
Rp
90.000
4.5
13 Terjual
3-4 Hari
Kab. Cirebon",https://shopee.co.id/mesin-asus-zenfone-live-L1-ram-2-16-4g-minus-POLA-i.300725469.18854142131?extraParams=%7B%22display_model_id%22%3A212716955876%2C%22model_selection_logic%22%3A3%7D&sp_atk=c4df226b-3eea-4364-a0e2-620641c2e81a&xptdk=c4df226b-3eea-4364-a0e2-620641c2e81a
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkn5yc89jnr7cf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,part  asus Zenfone 3max (zc553kL) bekas copotan.,,Rp,30.000,4.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
part asus Zenfone 3max (zc553kL) bekas copotan.
Rp
30.000
4.0
5 Terjual
3-5 Hari
Kab. Bandung",https://shopee.co.id/part-asus-Zenfone-3max-(zc553kL)-bekas-copotan.-i.971183106.26964664221?extraParams=%7B%22display_model_id%22%3A415558836932%2C%22model_selection_logic%22%3A2%7D&sp_atk=b9b13677-10ef-44a2-9c55-5b4432adab1b&xptdk=b9b13677-10ef-44a2-9c55-5b4432adab1b
https://down-id.img.susercontent.com/file/id-11134201-7r98z-ln1jz61srl3j32,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Frame Bekas Asus Zenfone 2 Z00MD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purbalingga,,,,,,,"Scrape to BigSeller
Frame Bekas Asus Zenfone 2 Z00MD
Rp
10.000
4-5 Hari
Kab. Purbalingga",https://shopee.co.id/Frame-Bekas-Asus-Zenfone-2-Z00MD-i.725599882.19394388462?extraParams=%7B%22display_model_id%22%3A184663867321%2C%22model_selection_logic%22%3A2%7D&sp_atk=9671bfcd-a564-4aa3-aa55-cec1967fbad0&xptdk=9671bfcd-a564-4aa3-aa55-cec1967fbad0
https://down-id.img.susercontent.com/file/id-11134207-822wr-mmmuv22mnw27b3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus max 1 minus lcd dan bledor belakang,,Rp,249.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,6 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,,"Scrape to BigSeller
Asus max 1 minus lcd dan bledor belakang
Rp
249.000
6 Terjual
3-4 Hari
Kab. Cirebon",https://shopee.co.id/Asus-max-1-minus-lcd-dan-bledor-belakang-i.194658837.28388695274?extraParams=%7B%22display_model_id%22%3A295718826792%2C%22model_selection_logic%22%3A3%7D&sp_atk=35703ed0-3048-45a3-89e7-5675f281683c&xptdk=35703ed0-3048-45a3-89e7-5675f281683c
https://down-id.img.susercontent.com/file/id-11134201-7r98s-ln1gqn8zck479e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"BACKDOOR BEKAS ASUS ZENFONE 3 MAX ZC520TL kurang tombol, kurang finger print",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.000,4.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purbalingga,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
BACKDOOR BEKAS ASUS ZENFONE 3 MAX ZC520TL kurang tombol, kurang finger print
Rp
10.000
4.0
5 Terjual
4-5 Hari
Kab. Purbalingga",https://shopee.co.id/BACKDOOR-BEKAS-ASUS-ZENFONE-3-MAX-ZC520TL-kurang-tombol-kurang-finger-print-i.725599882.19085431992?extraParams=%7B%22display_model_id%22%3A235752562997%2C%22model_selection_logic%22%3A2%7D&sp_atk=2b228398-e284-4bec-9df9-1868a0d2fa07&xptdk=2b228398-e284-4bec-9df9-1868a0d2fa07
https://down-id.img.susercontent.com/file/id-11134207-822wr-mlezl5jry5mw87,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Asus ZenFone Live L1,,Rp,150.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pasuruan,,,,,,,"Scrape to BigSeller
Asus ZenFone Live L1
Rp
150.000
3-6 Hari
Kab. Pasuruan",https://shopee.co.id/Asus-ZenFone-Live-L1-i.428608372.25891463510?extraParams=%7B%22display_model_id%22%3A195789394981%2C%22model_selection_logic%22%3A3%7D&sp_atk=18ecdc12-5b16-4c21-8ae3-9fd7beb18ecb&xptdk=18ecdc12-5b16-4c21-8ae3-9fd7beb18ecb
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lvq0sunzr8mv94,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,frame bekas Asus zenfone go (x014d),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purbalingga,,,,,,,"Scrape to BigSeller
frame bekas Asus zenfone go (x014d)
Rp
5.000
4-5 Hari
Kab. Purbalingga",https://shopee.co.id/frame-bekas-Asus-zenfone-go-(x014d)-i.725599882.26450955354?extraParams=%7B%22display_model_id%22%3A205126653602%2C%22model_selection_logic%22%3A2%7D&sp_atk=cb98a867-a309-4a80-be64-f0883e72304b&xptdk=cb98a867-a309-4a80-be64-f0883e72304b
https://down-id.img.susercontent.com/file/id-11134207-81zte-mev61co9w9ae5b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,casing bekas Asus Zenfone 2 laser,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,15.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purbalingga,,,,,,,"Scrape to BigSeller
casing bekas Asus Zenfone 2 laser
Rp
15.000
4-5 Hari
Kab. Purbalingga",https://shopee.co.id/casing-bekas-Asus-Zenfone-2-laser-i.955240691.26641864649?extraParams=%7B%22display_model_id%22%3A243926858407%2C%22model_selection_logic%22%3A2%7D&sp_atk=f97d052a-a410-41b1-aa32-09b5b461d978&xptdk=f97d052a-a410-41b1-aa32-09b5b461d978
https://down-id.img.susercontent.com/file/675da9248cc73b9d27ce4149dfb14050,,Sony xperia x compact second bekas docomo 32gb Rom 3gb ram original,,Rp,800.000,4.5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,119 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kulon Progo,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
Sony xperia x compact second bekas docomo 32gb Rom 3gb ram original
Rp
800.000
Cicilan
4.5
119 Terjual
< 2 Hari
Kab. Kulon Progo",https://shopee.co.id/Sony-xperia-x-compact-second-bekas-docomo-32gb-Rom-3gb-ram-original-i.34341683.2301783748?extraParams=%7B%22display_model_id%22%3A52255993721%2C%22model_selection_logic%22%3A3%7D&sp_atk=6bae17ea-7472-466b-a625-220f6e21d3a1&xptdk=6bae17ea-7472-466b-a625-220f6e21d3a1
https://down-id.img.susercontent.com/file/id-11134207-7r990-luljhfdmvtn499,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP SAMSUNG GALAXY V/V+SECOND BEKAS DIPAKAI NO MINUS NORMAL BERKUALITAS,,Rp,58.500,3.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,88 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Scrape to BigSeller
HP SAMSUNG GALAXY V/V+SECOND BEKAS DIPAKAI NO MINUS NORMAL BERKUALITAS
Rp
58.500
3.9
88 Terjual
3-4 Hari
Kab. Cirebon",https://shopee.co.id/HP-SAMSUNG-GALAXY-V-V-SECOND-BEKAS-DIPAKAI-NO-MINUS-NORMAL-BERKUALITAS-i.1240564700.25026917316?extraParams=%7B%22display_model_id%22%3A118438210482%2C%22model_selection_logic%22%3A3%7D&sp_atk=d6086cab-42dd-4a26-96fb-a8db5d3aa461&xptdk=d6086cab-42dd-4a26-96fb-a8db5d3aa461
