-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-shopee-primary,w-auto,text-white,truncate,inline-block,pointer-events-none_3,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/dd942e3ae001e57af9b6fa5dab942a8a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Handphone Nokia 1616 second,Rp,117.055,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tanjung Pinang,,,,,,,,"Scrape to BigSeller
Handphone Nokia 1616 second
Rp
117.055
1 Terjual
4-12 Hari
Tanjung Pinang",https://shopee.co.id/Handphone-Nokia-1616-second-i.75531357.1905350664?extraParams=%7B%22display_model_id%22%3A52678374625%2C%22model_selection_logic%22%3A3%7D&sp_atk=5e0d609a-92cd-40ed-aa9a-62e82a40a72b&xptdk=5e0d609a-92cd-40ed-aa9a-62e82a40a72b
https://down-id.img.susercontent.com/file/id-11134207-7rasb-m251x9sbmycaae,,Nokia E72 bekas,Rp,878.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Scrape to BigSeller
Nokia E72 bekas
Rp
878.000
Besok
Medan",https://shopee.co.id/Nokia-E72-bekas-i.36897605.29666389767?extraParams=%7B%22display_model_id%22%3A226972127391%2C%22model_selection_logic%22%3A3%7D&sp_atk=59eb796b-8af3-43c9-bb12-2a651d09d0cc&xptdk=59eb796b-8af3-43c9-bb12-2a651d09d0cc
https://down-id.img.susercontent.com/file/id-11134207-822wu-mljiufm8lon96b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,nokia n8 bekas original all operator,Rp,1.425.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,,,"Scrape to BigSeller
nokia n8 bekas original all operator
Rp
1.425.000
4-7 Hari
Kab. Cirebon",https://shopee.co.id/nokia-n8-bekas-original-all-operator-i.1103254487.28971666091?extraParams=%7B%22display_model_id%22%3A188095256632%2C%22model_selection_logic%22%3A3%7D&sp_atk=0fcea4ef-7edd-4a0d-9f4d-a8881c873f62&xptdk=0fcea4ef-7edd-4a0d-9f4d-a8881c873f62
https://down-id.img.susercontent.com/file/id-11134207-822wm-mm2ng4ig5vr6af,,(hitam siap)Nokia 7plus NFC second mulus 98-99%  type c dual sim 6.0inch garansi,Rp,1.226.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5-13 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Solok,,,,,,,,"Scrape to BigSeller
(hitam siap)Nokia 7plus NFC second mulus 98-99% type c dual sim 6.0inch garansi
Rp
1.226.000
5-13 Hari
Solok",https://shopee.co.id/(hitam-siap)Nokia-7plus-NFC-second-mulus-98-99-type-c-dual-sim-6.0inch-garansi-i.1174225117.50257492844?extraParams=%7B%22display_model_id%22%3A315667156741%2C%22model_selection_logic%22%3A3%7D&sp_atk=556689b9-d2b3-441f-9c64-1724a5de2579&xptdk=556689b9-d2b3-441f-9c64-1724a5de2579
https://down-id.img.susercontent.com/file/id-11134207-7rasa-m4d53drzlawo54,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,nokia 1280 bekas pakai normal semua,Rp,120.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Ciamis,,,,,,,,"Scrape to BigSeller
nokia 1280 bekas pakai normal semua
Rp
120.000
4-8 Hari
Kab. Ciamis",https://shopee.co.id/nokia-1280-bekas-pakai-normal-semua-i.327711978.28872095415?extraParams=%7B%22display_model_id%22%3A247367608103%2C%22model_selection_logic%22%3A3%7D&sp_atk=273894fd-22ab-4bbf-bd38-1afa079c12a3&xptdk=273894fd-22ab-4bbf-bd38-1afa079c12a3
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmmw0bctogsv1d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA C3-00 QWERTY ORIGINAL NORMAL SIAP PAKAI HANDPHONE NOKIA SECOND JADUL UNIK LANGKA,Rp,385.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Scrape to BigSeller
NOKIA C3-00 QWERTY ORIGINAL NORMAL SIAP PAKAI HANDPHONE NOKIA SECOND JADUL UNIK LANGKA
Rp
385.000
Besok
Bandung",https://shopee.co.id/NOKIA-C3-00-QWERTY-ORIGINAL-NORMAL-SIAP-PAKAI-HANDPHONE-NOKIA-SECOND-JADUL-UNIK-LANGKA-i.1264728516.49658238544?extraParams=%7B%22display_model_id%22%3A335730576693%2C%22model_selection_logic%22%3A3%7D&sp_atk=5cc7efcc-db6f-4535-bdc9-f898e7a7d310&xptdk=5cc7efcc-db6f-4535-bdc9-f898e7a7d310
https://down-id.img.susercontent.com/file/id-11134207-7rasj-m1zkur3el76w4a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA JADUL 1280 BEKAS CELL27,Rp,53.900,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,-2%,,,,,,,"Scrape to BigSeller
NOKIA JADUL 1280 BEKAS CELL27
Rp
53.900
-2%
2-3 Hari
Kab. Cirebon",https://shopee.co.id/NOKIA-JADUL-1280-BEKAS-CELL27-i.793368621.28866026537?extraParams=%7B%22display_model_id%22%3A138098181689%2C%22model_selection_logic%22%3A3%7D&sp_atk=9c8d3736-2dcc-422f-b50c-c74bdb047d6a&xptdk=9c8d3736-2dcc-422f-b50c-c74bdb047d6a
https://down-id.img.susercontent.com/file/id-11134207-7rasb-m1zlj8jcibag57,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA JADUL 1280 PUTIH BEKAS CELL29,Rp,53.900,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,-2%,,,,,,,"Scrape to BigSeller
NOKIA JADUL 1280 PUTIH BEKAS CELL29
Rp
53.900
-2%
2-3 Hari
Kab. Cirebon",https://shopee.co.id/NOKIA-JADUL-1280-PUTIH-BEKAS-CELL29-i.793368621.28266024414?extraParams=%7B%22display_model_id%22%3A139120125454%2C%22model_selection_logic%22%3A3%7D&sp_atk=63101b88-a9d1-49e8-b56f-a37026fc4ca1&xptdk=63101b88-a9d1-49e8-b56f-a37026fc4ca1
https://down-id.img.susercontent.com/file/45a356816282b6b88113b045ca80760c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Hp Jadul Nokia 6070 / Nokia ORI 6080 / Nokia Bekas 6050,Rp,135.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung Barat,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Hp Jadul Nokia 6070 / Nokia ORI 6080 / Nokia Bekas 6050
Rp
135.000
5.0
3 Terjual
2-3 Hari
Kab. Bandung Barat",https://shopee.co.id/Hp-Jadul-Nokia-6070-Nokia-ORI-6080-Nokia-Bekas-6050-i.451318957.17003283698?extraParams=%7B%22display_model_id%22%3A96901049659%2C%22model_selection_logic%22%3A3%7D&sp_atk=17a6c026-373a-4f01-91c9-9d496e63649d&xptdk=17a6c026-373a-4f01-91c9-9d496e63649d
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m1zlj8jce3l47d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA JADUL 1280 BIRU BEKAS CELL29,Rp,53.900,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,-2%,,,,,,,"Scrape to BigSeller
NOKIA JADUL 1280 BIRU BEKAS CELL29
Rp
53.900
-2%
2-3 Hari
Kab. Cirebon",https://shopee.co.id/NOKIA-JADUL-1280-BIRU-BEKAS-CELL29-i.793368621.24587791957?extraParams=%7B%22display_model_id%22%3A233398066226%2C%22model_selection_logic%22%3A3%7D&sp_atk=d8d830d9-d463-4f0e-ae91-8d209009f4cd&xptdk=d8d830d9-d463-4f0e-ae91-8d209009f4cd
