web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1775102441-13","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-realme-13-plus-5g-ram-12-256gb-batangan-tanpa-charger-1732728508733883679?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Realme 13 Plus 5G Ram 12 256GB (Batangan, Tanpa Charger) - D","Rp2.350.000","5.0","2 rating • 2 ulasan","Terjual 7","Sevvancell"
"1775102445-14","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/gitechlaptop/lenovo-thinkpad-x240-x250-x260-x270-x280-original-bergaransi-murah-x240-ram-4-hdd-500-24b26?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Lenovo Thinkpad X240 X250 X260 X270 X280 ORIGINAL / BERGARANSI /MURAH - X240, ram 4 hdd 500","Rp1.800.000","4.9","855 rating • 478 ulasan","Terjual 1 rb+","Gitech Laptop"
"1775102449-15","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/ferishop10/infinix-note-10-pro-handpone-pintar-dan-cerdas-kamera-merah-layar-handphone-1732950453643281650?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","infinix note 10 pro  handpone pintar dan cerdas Kamera Merah Layar Handphone","Rp3.000.000","5.0","5 rating • 3 ulasan","Terjual 6","Ferishop10"
"1775102452-16","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/anatacell2728/khusus-customer-original-handphone-1732233234484659433?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Khusus Customer Original Handphone","Rp8.000.000","5.0","2 rating • 1 ulasan","Terjual 6","antoniuszoan"
"1775102456-17","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-samsung-galaxy-s21-fe-5g-ram-8-256gb-sein-batangan-e-19c1e?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Samsung Galaxy S21 FE 5G Ram 8 256GB SEIN (Batangan) - E","Rp2.480.000","5.0","6 rating • 0 ulasan","Terjual 25","Sevvancell"
"1775102459-18","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-samsung-galaxy-s23-fe-ram-8-128gb-1731165848231314521?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Samsung Galaxy S23 FE Ram 8 128GB - D","Rp4.400.000","5.0","1 rating • 1 ulasan","Terjual 8","Sevvancell"
"1775102463-19","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/andie1/handphone-samsung-galaxy-a56-8-256-o-r-i-handphone-samsung-galaxy-a56-8-256-o-r-i-1733678028890604964?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Samsung Galaxy A56 8/256 O r i ~~Handphone Samsung Galaxy A56 8/256 O r i","Rp5.500.000","5.0","17 rating • 1 ulasan","Terjual 60+","lena.riashop"
"1775102466-20","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-samsung-galaxy-s21-fe-5g-ram-8-128gb-sein-c-7d2a8?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Samsung Galaxy S21 FE 5G Ram 8 128GB SEIN - C","Rp2.800.000","5.0","1 rating • 1 ulasan","Terjual 12","Sevvancell"
"1775102470-21","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/anggi07/samsung-galaxy-flip-4-second?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","samsung galaxy flip 4 second","Rp2.000.000","4.9","9 rating • 4 ulasan","Terjual 21","Ataashop30"
"1775102473-22","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/paocell/samsung-galaxy-note-9-6-128gb-sein-dual-sim-fullset-mulus-varian-b?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Samsung Galaxy Note 9 6/128GB SEIN Dual Sim Fullset Mulus - Varian B","Rp2.699.000","4.9","183 rating • 132 ulasan","Terjual 250+","Pao.Cell"
"1775102477-23","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/astadaselina/handphone?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","handphone","Rp3.000.000","","","1 barang berhasil terjual","astadaselina"
"1775102480-24","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/keanumay21/sony-xperia-docomo?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","SONY XPERIA DOCOMO","Rp700.000","4.8","5 rating • 3 ulasan","Terjual 14","Keanumay21"
"1775102484-25","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-tecno-pova-7-ultra-5g-ram-12-256gb-1732883872020006175?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Tecno Pova 7 Ultra 5G Ram 12 256GB - C","Rp3.900.000","5.0","3 rating • 0 ulasan","Terjual 13","Sevvancell"
"1775102488-26","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-samsung-galaxy-m54-5g-ram-8-256gb-batangan-tanpa-charger-c-f9a0c?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Samsung Galaxy M54 5G Ram 8 256GB (Batangan, Tanpa Charger) - C","Rp2.630.000","5.0","2 rating • 0 ulasan","Terjual 4","Sevvancell"
"1775102491-27","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-realme-p3-5g-ram-12-256gb-1732313850576930079?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Realme P3 5G Ram 12 256GB - C","Rp2.950.000","5.0","1 rating • 1 ulasan","Terjual 4","Sevvancell"
"1775102495-28","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/truevinestore/lenovo-legion-y700-2023-tablet-gaming-16-512-snapdragon-8-gen-1-16gb-512gb-compact-pencil-1731746590958782403?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Lenovo Legion Y700 2023 Tablet Gaming 16/512 Snapdragon 8+ Gen 1 16GB 512GB Compact + Pencil","Rp6.575.000","5.0","2 rating • 2 ulasan","Terjual 5","True Vine Store"
"1775102498-29","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sundaymorning-store/lenovo-loq-15-i7-13650hx-rtx4060-8gb-512gb-w11-1734109943318676800?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","LENOVO LOQ 15 I7 13650HX RTX4060 8GB 512GB W11","Rp11.000.000","","","","SunndayMorning-Store"
"1775102502-30","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sevvancell/handphone-oppo-reno-14f-5g-ram-8-256gb-batangan-tanpa-charger-1732542939378648351?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Oppo Reno 14F 5G Ram 8 256GB (Batangan, Tanpa Charger) - B","Rp3.350.000","4.8","4 rating • 0 ulasan","Terjual 17","Sevvancell"
"1775102506-31","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/sinar-palem/handphone-android-murah-4g?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","handphone android murah 4g","Rp4.775.000","5.0","6 rating • 2 ulasan","Terjual 20","Sinar Palem"
"1775102509-32","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/bintarocellular/asus-rog-phone-2-12gb-512gb-garansi-resmi-tam-indonesia-tam-cooler-8gb-128gb-1b3d2?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","ASUS ROG PHONE 2 12GB/512GB GARANSI RESMI TAM INDONESIA - Tam+Cooler, 8GB 128GB","Rp4.479.000","4.7","90 rating • 61 ulasan","Terjual 100+","BintaroGadget_NEW"
"1775102513-33","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/btm-jhon-cell/handphone-infinix-hot-50i-1731538958139032908?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Handphone Infinix Hot 50i","Rp3.300.000","5.0","5 rating • 3 ulasan","Terjual 9","BTM Jhon Cell_NEW"
"1775102516-34","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/edelweissstore16/lenovo-v130-80t2-intel-core-i5-7200u-ram-4-500-gb-vtbk-1734671222207448245?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Lenovo V130 80T2 Intel Core i5-7200U Ram 4/500 GB (VTBK)","Rp1.100.000","","","","Edelweiss Store16"
"1775102520-35","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/hologramcompute/axio-pango-725-gaming-core-i7-gen-12-nvidia-rtx-2050-ram-16-gb-ssd-512-gb-sepesial-game-desain-render-1731661280649118803?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","LENOVO LEGION Y520 CORE I7 GEN 7 NVIDIA GTX 1050 TI RAM 16 GB SSD 512 GB SEPESIAL GAME DESAIN RENDER","Rp6.500.000","5.0","3 rating • 2 ulasan","Terjual 17","hologram comp"
"1775102523-36","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=handphone%20lenovo","https://www.tokopedia.com/dickysatria/lenovo-legion-tab-3rd-gen-ram-12-internal-256-gb-second-garansi-indo-1734320178515182674?extParam=ivf%3Dfalse%26keyword%3Dhandphone+lenovo%26search_id%3D2026040203593011B9842E0A271F29982M%26src%3Dsearch","Lenovo Legion Tab 3rd gen Ram 12 Internal 256 gb Second Garansi Indo","Rp7.500.000","","","","Disata"
