web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774666513-81;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/fineapplestore/acer-aspire-a514-52g-intel-core-i5-10210u-nvidia-geforce-mx250-ram-4gb-hdd-1tb-2020-7a94s00-1734109586799494919?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;ACER ASPIRE A514-52G INTEL CORE I5-10210U NVIDIA GEFORCE MX250 RAM 4GB HDD 1TB 2020 (7A94S00);2800000;;;;Fine Applestore
1774666519-82;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/immstore1/infinix-inboox-x2-ram-4gb-ssd-256gb-1731360749328434667?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;Infinix Inboox X2 RAM 4GB SSD 256GB;2000000;;;;Kurniawan ACC
1774666524-83;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/archive-pakaianstore99-1649318196/hp-infinik-smart-6-kondisi-baru-new?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;hp infinik smart 6 kondisi baru /New;700000;50;3 rating • 1 ulasan;Terjual 21;Wijayastore17.
1774666530-84;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/y3zzmaam/lenovo-yoga-slim-6-14irh8-0bid-ci7-13700h-16gb-512gb-ssd-14-wuxga-oled-evo-win11-ohs-1732722254312146255?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;"Lenovo Yoga Slim 6 14IRH8 0BID|CI7-13700H|16GB|512GB SSD|14"" WUXGA OLED EVO|WIN11+OHS";8000000;50;1 rating • 0 ulasan;Terjual 5;Y3zzmAam
1774666536-85;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/mutiara-flasher-gadget/infinix-smart-8-pro-ram-4-256gb-ram-8-128gb-second-original-ram-4-256gb-9c3c2?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;Infinix Smart 8 Pro Ram 4/256GB | Ram 8/128GB Second Original - Ram 4/256GB;1130080;48;6 rating • 4 ulasan;Terjual 18;Mutiara Flasher Gadget
1774666542-86;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/mrhanzo/toshiba-portege-x20w-e-core-i5-gen-8-512gb-ram-8-16gb-touch-12-5inc-1732442087390741683?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;Toshiba portege x20W-E core i5 gen 8 - 512GB - RAM 8 16GB -TOUCH 12.5inc - 8GB - 256GB;3500000;50;11 rating • 9 ulasan;Terjual 11;MrHanzo
1774666548-87;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/kenidshop-1/advan-soulmate-1405-n4020u-1732118412035261869?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;Advan soulmate 1405 N4020u;1500000;37;3 rating • 3 ulasan;Terjual 9;KEN ID SHOP
1774666556-88;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/didoalfarezi/infinix-hot-60i-nfc-8-256gb-fullset-original-mulus-1732692609041138795?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;infinix Hot 60i nfc 8/256GB fullset original mulus - mulus;1650000;50;5 rating • 1 ulasan;Terjual 22;pho pho cell
1774666562-89;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/sidomulyoyo/infinix-smart-6-3-32gb-resmi-dengan-layar-6-6-hd-dan-baterai-5000mah-1734355568060892977?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;"Infinix Smart 6 3/32GB Resmi dengan Layar 6.6"" HD+ dan Baterai 5000mAh";810000;50;6 rating • 0 ulasan;Terjual 14;Sidomulyoyo
1774666568-90;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/id-ghshop/infinix-smart-10-4-128-bekas-sample-live-1734497209562924358?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;Infinix Smart 10 4/128 bekas sample live;1199000;;;1 barang berhasil terjual;GH Shop Indonesia
1774666574-91;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/rajahandphone/infinix-xpad-4-256gb-11-inch-second-resmi-fullset-wifi-only-1732481837343999632?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;Infinix XPAD 4/256GB 11 inch Second Resmi Fullset Wifi Only;1650000;50;2 rating • 2 ulasan;Terjual 5;Rajahandphone
1774666580-92;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/alaix/infinix-hot-30i-8-128-second-fullset-ori-8-128-grade-a?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;infinix hot 30i 8/128 second fullset ori - 8/128 GRADE A;1253000;50;2 rating • 0 ulasan;Terjual 9;A STORE GADGET_NEW
1774666586-93;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/lutfcell/infinix-zero-5g-2023-8-256gb-second-garansi-resmi-1732737149745924073?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;infinix zero 5g 2023 8/256gb second garansi resmi;2245000;49;10 rating • 10 ulasan;Terjual 12;lutfcell
1774666592-94;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/gudanggagdet/infinix-note-12i-2022-6-128-second-fullset?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;INFINIX NOTE 12I 2022 6/128 SECOND FULLSET;1200000;50;7 rating • 3 ulasan;Terjual 17;SINAR MUTIARA INDAH
1774666597-95;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/alaix/infinix-zero-x-pro-8-256-second-fullset-ori?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;INFINIX ZERO X PRO 8/256 SECOND FULLSET ORI;2399000;50;3 rating • 1 ulasan;Terjual 3;A STORE GADGET_NEW
1774666604-96;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/mutiara-flasher-gadget/infinix-note-40s-ram-8gb-rom-256gb-second-original-1731337460848625245?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;Infinix Note 40s Ram 8GB Rom 256GB Second Original - No Wireless;2230111;50;1 rating • 0 ulasan;Terjual 2;Mutiara Flasher Gadget
1774666610-97;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/milacell/infinix-zero-8-8-128-resmi?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;infinix zero 8 8/128 resmi;1850000;50;2 rating • 1 ulasan;Terjual 3;MILA CELL SURABAYA WTC
1774666616-98;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/mutiara-flasher-gadget/infinix-note-40-ram-8gb-rom-256gb-second-original-tanpa-wireless-c4d28?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;Infinix Note 40 Ram 8GB Rom 256GB Second Original - Tanpa Wireless;2330111;46;7 rating • 4 ulasan;Terjual 11;Mutiara Flasher Gadget
1774666622-99;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix;https://www.tokopedia.com/tokoacoy/infinix-zero-8-8-128gb-likenew?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch;Infinix ZERO 8 8/128GB Likenew;1500000;48;4 rating • 1 ulasan;Terjual 9;Tokoacoy Official_NEW
