web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller
"1774605717-158","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/aldioptical/axioo-hype-10-ram-8-256-secend-pembelian-10-maret?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","AXIOO HYPE 10 RAM 8 / 256 SECEND PEMBELIAN 10 MARET","Rp2.600.000","","","","ALDI OPTICAL"
"1774605721-159","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/kajoedstore17/laptop-axioo-mybook-lite-intel-atom-x5-z8350-ram-4gb-128gb-windows-10?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Laptop Axioo Mybook Lite intel Atom X5-Z8350 Ram 4Gb/128Gb Windows 10","Rp1.700.000","","","","kajoedstore17"
"1774605725-160","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/bursalaptopefek/laptop-axioo-mybook-14f-layar-2k-super-jernih-seri-baru-super-slim-lengkap-grey?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Laptop Axioo Mybook 14F, Layar 2K, Super Jernih, Seri Baru, Super Slim, Lengkap, Grey","Rp1.900.000","5.0","1 rating • 1 ulasan","Terjual 1","Bursa laptop efek"
"1774605728-161","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/tonnyrezza/laptop-axioo-mybook-14f-intel-celeron-n4020-ram-4-gb-ssd-128-gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Laptop Axioo Mybook 14F, Intel Celeron N4020 Ram : 4 Gb - Ssd : 128 Gb","Rp1.850.000","","","3 barang berhasil terjual","tokolaku2626"
"1774605732-162","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/cybercuteid/2nd-laptop-axioo-mybook-z10-metal-intel-core-i5-gen-12-ram-8gb-ssd-256gb-14-fhd-ips-1733483957870101694?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","2nd Laptop Axioo Mybook Z10 Metal Intel Core i5 Gen 12 | Ram 8GB | SSD 256GB | 14"" FHD IPS","Rp4.400.000","","","","Cybercute ID"
"1774605735-163","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/pahlawanlaptopsemarang/laptop-axioo-mybook-hype-1-silver-celeron-n4020-ram-8gb-ssd-128gb-1731338367014569832?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","LAPTOP AXIOO MyBook Hype 1 SILVER Celeron N4020 RAM 8GB SSD 128GB","Rp2.300.000","","","","PahlawanLaptopSemarang"
"1774605739-164","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/wijayaelekronik/laptop-axioo?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Laptop Axioo","Rp1.000.000","5.0","7 rating • 5 ulasan","Terjual 19","wijaya elektronik shopp"
"1774605742-165","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/kajoedstore17/axioo-mybook-hype-5-amd-ryzen-5-5500u-ram-16gb-ssd-256gb-keyboard-backlight-fhd-ips-design-super-slim-garans-resmi-on-1731605798037522169?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Axioo Mybook Hype 5, AMD Ryzen 5 - 5500U Ram 16Gb/SSD 256Gb Keyboard Backlight FHD IPS Design Super slim Garans Resmi On","Rp4.550.000","","","1 barang berhasil terjual","kajoedstore17"
"1774605746-166","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/bedak52/axioo-mybook-14e-intel-n4020-4gb-ssd256gb-fhd-axioo-14f?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Axioo mybook 14e intel n4020 4gb ssd256gb FHD - AXIOO 14F","Rp1.800.000","5.0","7 rating • 6 ulasan","Terjual 9","Bedak52"
"1774605749-167","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20axioo","https://www.tokopedia.com/reclupsport/axio-mybook-11g-notebook-dengan-ram-4gb-dan-ssd-256gb-sistem-operasi-windows-1732175910920095317?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D202603270951584734BA6F3DE83D019UG8%26src%3Dsearch","Axio Mybook 11G Notebook dengan RAM 4GB dan SSD 256GB Sistem Operasi Windows","Rp1.350.000","","","","playcourt sport"
