web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774660730-79;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/gugellaptop/hp-probook-430-g7-i7-10th-hp-probook-440-g7-i5-i3-probook-430-g8-430-g7-i3-10th-8gb-256gb-01764?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;HP Probook 430 G7 i7-10th / HP Probook 440 G7 i5 i3 / Probook 430 G8 - 430 G7 i3-10th, 8GB / 256GB;3500000;50;27 rating • 18 ulasan;Terjual 90+;Gugel Laptop
1774660736-80;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/gugellaptop/hp-elitebook-x360-1030-g2-i5-gen-7-hp-elitebook-x360-hp-x360-1731119850863036391?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;HP Elitebook X360 1030 G2 - i5 Gen 7 / HP Elitebook X360 / HP X360 - 1030 G2 i5-7th, 8GB / 256GB;3800000;50;3 rating • 1 ulasan;Terjual 23;Gugel Laptop
1774660742-81;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/starjayaelectronic/laptop-hp-14-intel-core-i3-ram-8gb-ssd-512gb-free-mouse-tas-4gb-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;LAPTOP HP 14 Intel Core i3 [RAM 8GB - SSD 512GB] free mouse/tas - 4GB/500GB;2700000;46;28 rating • 16 ulasan;Terjual 50+;STAR JAYA ELECTRONIC
1774660748-82;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/gudanglaptopbt/laptop-hp-probook-430-g7-core-i5-gen-10-ram-32-gb-ssd-1-tb-layar-13-inch-1729881748441892506?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;LAPTOP HP PROBOOK 430 G7 Core i5 Gen 10 Ram 32 GB SSD 1 TB Layar 13 inch - RAM 8/256 GB;3690000;50;2 rating • 0 ulasan;Terjual 4;GudangLaptoopBtm
1774660754-83;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/drcomkomputer/laptop-hp-14s-cf2018tu-intel-celeron-n4020-ram-4-1-tb-backlight-1731529580905858214?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop Hp 14s-cf2018TU, Intel Celeron-N4020, Ram 4 / 1 Tb, Backlight;2650000;50;6 rating • 3 ulasan;Terjual 8;DrCom_NEW
1774660760-84;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/icom/hp-elitebook-840-g5-g6-core-i5-i7-gen-8-ram-8gb-16gb-ssd-128gb-256gb-512gb-layar-14-inch-bergaransi-1731073063273662242?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;"HP EliteBook 840 G5 / G6 Core i5 / i7 Gen 8 Ram 8GB / 16GB SSD 128GB / 256GB / 512GB Layar 14""Inch ( Bergaransi ) - i5 Gen 8350U G5, 8GB / 128GB";3250000;50;1 rating • 0 ulasan;Terjual 1;Island Comp
1774660766-85;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/dian-komputer-pusat/laptop-hp-elitebook-830-g6-core-i5-gen-8-i5-8265u-ram-8gb-ssd-256gb-siap-pakai-1732042812428092583-1734579861269742759?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP EliteBook 830 G6 Core i5 Gen 8 RAM 16GB 8GB SSD 512GB 256GB Siap Pakai - Non Bundle, RAM 8GB SSD 256GB;3075000;;;1 barang berhasil terjual;Dian Komputer Pusat
1774660772-86;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/kaitocorner/bekas-laptop-hp-elitebook-820-830-840-845-850-630-core-i3-i5-i7-murah-slim-original-bergaransi-1734254304972408595?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;[Bekas] Laptop HP EliteBook 820/830/840/845/850/630 Core i3/i5/i7 | MURAH SLIM ORIGINAL BERGARANSI - X360 11 2IN1 FLIP, RAM 4 SSD 128;1450000;50;28 rating • 10 ulasan;Terjual 30+;Kaito's Corner
1774660778-87;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/mrhanzo/hp-probook-430-g8-core-i3-gen-11th-8gb-256gb-win-11-pro-13inc-1731306657207321779?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;HP ProBook 430 G8 core i3 Gen 11th | 8GB | 256gb| Win 11 Pro | 13inc;3750000;;;;MrHanzo
1774660784-88;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/hologramcompute/laptop-hp-14-amd-e1-gen-6-ram-4gb-ssd-128gb-mulus?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP 14 AMD E1 Gen 6 Ram 4GB SSD 128GB MULUS;1950000;50;4 rating • 2 ulasan;Terjual 9;hologram comp
