nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform,kondisi
Laptop HP 14 CORE 5 120U 16GB 512GB W11+OHS+M365B 14.0FHD COPILOT,9.889.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
"Laptop HP Elitebook x360 830 G9 i7-1255U 16GB 1TBSSD IRIS XE 13""WUXGA",27.299.000,,,Kota Jakarta Pusat,Laptop,Hp,Blibli,Baru
Laptop Hp 14s FQ2002AU - Ryzen 5 5625U 8GB 512ssd W11+OHS Backlite,7.225.000,,,,Laptop,Hp,Blibli,Baru
"Laptop HP Elitebook 830 G8 -i7-1165G7 8GB 512GB 13""FHD WIN 10 PRO",18.999.000,,,Kota Jakarta Pusat,Laptop,Hp,Blibli,Baru
HP PAV LAPTOP 14-DV0514TX/DV0516TX i7-1165G7 16GB 512GB MX450 W11+OHS,14.250.000,,,,Laptop,Hp,Blibli,Baru
LAPTOP HP 15s - EQ1052NIA AMD 3020E 4GB 256GB SSD 14'' WIN10 OHS,5.750.000,,,,Laptop,Hp,Blibli,Baru
"HP Laptop 14-em0332AU (Ryzen 3-7320 with Radeon/8GB/512GB SSD/W11Home/OHS 2021/2Years/14"" FHD Antiglare SVA 250 nits)",6.199.000,,,,Laptop,Hp,Blibli,Baru
Laptop Hp 14s FQ2002AU - Ryzen 5 5625U 8GB 512ssd W11+OHS Backlite,7.729.000,,,,Laptop,Hp,Blibli,Baru
Notebook HP 245 G8 446J3PA AMD R3 14inch Garansi Resmi,7.307.700,,,,Laptop,Hp,Blibli,Baru
Notebook HP 245 G8 61G62PA Ryzen 5 14 inch Garansi Resmi,7.399.700,,,,Laptop,Hp,Blibli,Baru
"Laptop HP 14 ep1188TU Ultra 5 125H/16GB/512GB SSD/14"" FHD IPS/W11 OHS",11.049.000,,Terjual 1,Kota Bandung,Laptop,Hp,Blibli,Baru
Laptop HP 14s-dq3134TU Notebook [Intel Celeron N4500U/4GB/512GB SSD/UMA/14inch/Win11+OHS],5.250.000,,,,Laptop,Hp,Blibli,Baru
HP ENVY X360 Laptop 13-bf0107TU i7-1250U-16GB-1TB SSD-Win 11+OHS,19.023.000,,Terjual 1,,Laptop,Hp,Blibli,Baru
"Laptop HP ProBook 440 G9 i5-1235U 8GB 512GB IRIS XE 14""FHD W11PRO",15.889.000,,,Kota Jakarta Pusat,Laptop,Hp,Blibli,Baru
"Hp 14 ep0088TU ep0089TU Notebook [Core i3-N305/8GB/512GB SSD/14"" FHD/Win 11 Home+OHS]",6.900.000,5,Terjual 13,,Laptop,Hp,Blibli,Baru
LAPTOP HP 14s-fq1032AU/fq1035AU Ryzen 3-5300U 512GB SSD 8GB Win11+OHS,7.500.000,,Terjual 2,,Laptop,Hp,Blibli,Baru
"HP Spectre X360 14 EF2002TU Laptop - Black [13.5"" 3K2K OLED 400 nits Touch/i7-1355U/32GB/1TB/W11+OHS]",28.200.000,,Terjual 2,,Laptop,Hp,Blibli,Baru
"Laptop HP Elitebook 840 G8 -i5-1135G7 8GB 512GBSSD IRIS XE 14""FHD W11P",17.309.000,,,Kota Jakarta Pusat,Laptop,Hp,Blibli,Baru
Laptop HP 14 ULTRA 5 125H 16GB 512GB W11 OHS M365 14.0FHD IPS BLIT 2Y SLV,10.646.250,,Terjual 1,Kota Jakarta Timur,Laptop,Hp,Blibli,Baru
"HP 14-EM0015AU EM0016AU Notebook [ AMD Ryzen 5 7520U / 8GB DDR5 / 512GB SSD / 14"" FHD / Win11 + OHS ]",8.550.000,,Terjual 14,,Laptop,Hp,Blibli,Baru
"HP Elite Folio Black Laptop Premium (4V4V4PA) /13.5""/Qualcomm® Snapdragon™/16GB/Qualcomm® Adreno™ 690 Graphics/512GBSSD/W10Pro",30.900.000,,Terjual 1,,Laptop,Hp,Blibli,Baru
"LAPTOP HP 14-EM0530AU (SILVER) AMD R5-7530U 8GB/512GB 14"" FHD WIN 11+OHS(TAS-A08JTAA)",10.488.501,,,Kota Palembang,Laptop,Hp,Blibli,Baru
Laptop HP 240 G10 Intel Core i5 Iris X 8GB RAM 512GB SSD Silver Free Windows 11 Home 14 Inch,9.242.250,,Terjual 1,Kota Jakarta Timur & kota lainnya,Laptop,Hp,Blibli,Baru
"Laptop HP EliteBook X360 G9 Core i7-1255U 16GB 1TB IRIS XE 14""FHD WIN11PRO",30.099.000,,,Kota Jakarta Pusat,Laptop,Hp,Blibli,Baru
"Notebook HP PAV 13-BB0062T/I5-1135G7/8GB/512GB SSD/13.3""/WIN 10+OHS",12.000.000,,,,Laptop,Hp,Blibli,Baru
"Laptop HP 14 em0730AU silver R7 7730U/16GB/512GB SSD/14""FHD/W11 / Gold em0731AU",10.499.000,,,Kota Bandung,Laptop,Hp,Blibli,Baru
"Laptop HP 14 ep1733TU ep1711TU Core 5 120U 8GB/16GB 512GB SSD 14""FHD Win11 OHS",9.606.250,,,Kota Jakarta Timur,Laptop,Hp,Blibli,Baru
"HP PAVILION X360 14-DH1052TX Laptop [i5-10210U / 8GB / 512GB SSD / MX130 2GB / 14"" FHD / W10 / OHS]",15.000.000,,Terjual 1,,Laptop,Hp,Blibli,Baru
HP ENVY X360 13-bf0089TU - i5-1230U-16GB-512GB-Win 11 & OHS,17.250.000,5,Terjual 10,,Laptop,Hp,Blibli,Baru
LAPTOP HP PROBOOK 4 G1i 14 Intel Core ULTRA 7 255U 16GB 1TB SSD 14WUXGA IPS Win11 PRO,22.000.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
HP PAVILION 14 DV2000TX/DV2001TX - i7-1255U-MX550-16GB-512GB-Win 11 & OHS,14.950.000,5,Terjual 16,,Laptop,Hp,Blibli,Baru
HP PAVILION X360 14 EK0116TU i7 1255U 16GB 512GB SSD TOUCH W11 OHS,15.300.000,"4,6",Terjual 16,,Laptop,Hp,Blibli,Baru
Laptop HP 14-em0332AU / em0333AU AMD Ryzen 3 7320U RAM 8 GB LPDDR5 SSD 512GB PCIe Windows Office,9.000.000,,Terjual 1,Kota Jakarta Utara & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP 14 em0332AU em0333AU/Ryzen 3-7320U/8GB/512GB SSD/14″ FHD/Win 11 Home + OHS 2021,8.005.000,,,,Laptop,Hp,Blibli,Baru
HP 14S FQ1135AU RYZEN 5 5500U 8GB 512GB SSD 14 FHD W11 OHS,7.800.000,,Terjual 3,,Laptop,Hp,Blibli,Baru
HP PAVILION 13 AERO RYZEN 7 5825U 16GB 512SSD 13.3 FHD IPS W11 OHS,13.800.000,,Terjual 7,,Laptop,Hp,Blibli,Baru
ASUS TUF F15 FX507VV4-I946K6G-O i9 13900H RTX4060 16GB 512GB SSD W11,25.800.000,,Terjual 1,,Laptop,Hp,Blibli,Baru
[WEB] HP 14S DQ3109TU N4500 8GB 256GB SSD 14 W11 OHS,4.750.000,,,,Laptop,Hp,Blibli,Baru
HP VICTUS FA1123TX i5 12500H RTX4060 16GB 1TB SSD 15.6 144HZ W11,19.990.000,,,,Laptop,Hp,Blibli,Baru
HP ENVY X360 13 BF0107TU OLED i7 1250U 16GB 1TB 13.3 2.8K TOUCH W11,20.950.000,,Terjual 9,,Laptop,Hp,Blibli,Baru
"HP VICTUS S0010AX RYZEN 7 7840HS RTX4060 16GB 1TB SSD 16"" 144 W11",23.650.000,,,,Laptop,Hp,Blibli,Baru
HP PAVILION 14 DV2000TX/DV2001TX - i7-1255U-MX550-16GB-512GB-Win 11 & OHS,14.650.000,5,Terjual 11,,Laptop,Hp,Blibli,Baru
HP Pavilion Aero 13-be1000AU be1001AU Ryzen 5 5625U 16GB 512GB SSD,11.999.000,5,Terjual 8,,Laptop,Hp,Blibli,Baru
"HP Pavilion X360 14-ek0113TU Core i3-1215U 8GB 512GB 14"" W11+OHS2021",10.550.000,5,Terjual 10,,Laptop,Hp,Blibli,Baru
"HP 14S DQ5115TU i3-1215U/ U-INTHD/ 512SSD/ 4GB/ SILVER/ W11+HS/ 14""FHD/ TAS",6.900.000,,,,Laptop,Hp,Blibli,Baru
HP PAVILION 13 AERO RYZEN 5 7535U 16GB 512SSD 13.3 FHD W11 OHS,10.999.000,,,,Laptop,Hp,Blibli,Baru
"HP VICTUS R0017TX i7 13700HX RTX4060 16GB 1TB SSD 16"" 165 W11",24.900.000,,,,Laptop,Hp,Blibli,Baru
HP 14S-FQ0562AU ATHLON 3050 4GB 512GB 14 HD W11 OHS,5.500.000,,Terjual 2,,Laptop,Hp,Blibli,Baru
HP 14S EM0017AU RYZEN 7 7720U 16GB 512SSD 14 FHD W11 OHS,11.250.000,,Terjual 1,,Laptop,Hp,Blibli,Baru
"HP VICTUS FA1094TX i5 12450H RTX2050 8GB 512 SSD 15,6"" 144 W11",11.600.000,,,,Laptop,Hp,Blibli,Baru
"HP VICTUS FA0178TX i5 12450H RTX3050 16GB 512 SSD 15,6"" 144 W11",12.650.000,,Terjual 1,,Laptop,Hp,Blibli,Baru
LAPTOP HP 14S-FQ1036AU/Ryzen 7 5700U/ RAM 8GB/512GBSSD/ VGA RADEON GRAPICH/ WINDOWS 10 ORIGINAL/ LAYAR 14 INCI/ SILVER - Silver,11.030.000,,,,Laptop,Hp,Blibli,Baru
"HP VICTUS FB1011AX RYZEN 5 7535HS RTX2050 8GB 512 SSD 15,6"" 144 W11",10.999.000,,,,Laptop,Hp,Blibli,Baru
HP PAVILION 13 AERO RYZEN 7 7730U 16GB 1TB SSD 13.3 FHD W11 OHS,13.999.000,5,Terjual 1,,Laptop,Hp,Blibli,Baru
Laptop HP 240 Intel Core 5 Intel Graphics 8GB RAM 512GB SSD Dark Silver Free Windows 11 Home 14 Inch Garansi 1 Tahun Official,14.999.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
Laptop HP Pavilion Aero 13-bg0111AU/bg0222AU Ryzen 5 8640U 16GB 512GB SSD WUXGA IPS Win11 - Silver,12.511.130,"4,9",Terjual 145,Kab. Sleman & kota lainnya,Laptop,Hp,Blibli,Baru
"Laptop HP ENVY 13-BA1031TX CI5-1135G7/8GB/512GB SSD/MX450 2GB/TS 13.3""""/WIN10+OPI/GOLD",17.459.000,5,Terjual 11,Kota Tangerang Selatan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook Ultra Flip Intel Core Ultra 7 Arc 32GB RAM 1TB SSD Blue Windows 11 Home 14 Inch Garansi 2 Tahun Official,28.511.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
HP NOTEBOOK PAVILLION GAMING 15-dk1141TX (WINDOWS 10 + OHS) + TAS,19.150.000,,,,Laptop,Hp,Blibli,Baru
Laptop HP OMNIBOOK 7 OLED 14 CORE 9 270H 32GB 1TB W11+OHS+M365B 14.0 3K 120HZ 2Y+ADP,23.906.250,,,Kota Jakarta Timur,Laptop,Hp,Blibli,Baru
"Laptop HP OmniBook 7 Aero 13-bg1666AU Ryzen AI 5 340 16GB 512GB SSD 13.3"" WUXGA IPS Radeon 840M Win11 home",14.683.853,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
Laptop HP ProBook 4 G1i Intel Core Ultra 5/U5-225U 16GB (1x16GB) 512GB SSD Windows 11 Pro,21.290.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
"Laptop HP 14S 14s-fq1009AU AMD Ryzen 3 5300U 8GB DDR4 512G NVME 14"" FHD WIN11 OHS Original Garansi Resmi",7.000.000,,,,Laptop,Hp,Blibli,Baru
Laptop Hp PAVILION PLUS 14 OLED AMD RYZEN 7 8845HS RAM 16gb SSD 1tb Windows 11+Office Home Student 14.0 2.8K BLIT 2Y+ADP,14.799.000,,,,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook Ultra Flip Intel Core Ultra 9 Arc 32GB RAM 2TB SSD Gray / Blue Windows 11 Home 14 Inch Garansi 2 Tahun Official,31.956.000,,Terjual 2,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
Laptop HP Elitebook 6 G1q Snapdragon X Plus Qualcomm Adreno 32GB RAM 1TB SSD Silver Free Windows 11 Home 14 Inch Garansi 1 Tahun Official,23.110.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook X Flip AMD Ryzen AI 7 Radeon 860M 32GB RAM 1TB SSD Silver Free Windows 11 Home 14 Inch Garansi 2 Tahun Official,22.356.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
HP 14S-DQ2518TU/DQ2519TU Laptop [Intel Celeron 6305U/4GB/512GB SSD/Integrated Graphics/14 inch HD/Win10+OHS],7.300.000,,,,Laptop,Hp,Blibli,Baru
"Laptop HP Victus 16-s1777AX /AMD Ryzen 7-8845HS/16GB/1TB SSD/RTX4070 8GB/16.1"" FHD IPS/Win 11 Home+OHS 2021/Mica Silver/2Y",23.999.000,,,Kota Medan,Laptop,Hp,Blibli,Baru
"HP Pavilion x360 Convertible 14-EK0044TU Laptop Premium /14""/Intel® Core™ i5-1235U/8 GB/Intel® Iris® Xᵉ Graphics/512 GB",12.890.000,,,,Laptop,Hp,Blibli,Baru
HP Notebook 240 R G9 TKDN /CORE I3 1315U/8GB/SSD 256GB/14'/INTEL HD/WIN 11,8.214.000,,,,Laptop,Hp,Blibli,Baru
HP 14S-CF3018TX/CF3019TX Laptop [Intel Core i5-1035G1/8GB/512GB SSD/Radeon 620 2GB/14 inch/Win10+OHS],12.700.000,,,,Laptop,Hp,Blibli,Baru
Laptop HP 14-em0530AU em0531AU /AMD Ryzen 5-7530U/8GB/512GB SSD/AMD Radeon Graphics/14″ FHD/Win 11 Home+OH24+M365/2Y,9.450.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook 7 Aero AMD Ryzen AI 7 Radeon 860M 16GB RAM 512GB SSD Silver / White Free Windows 11 Home 13.3 Inch Garansi 2 Tahun Official,16.166.000,,Terjual 1,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
Laptop HP OMNIBOOK ULTRA FLIP 14 fh0334TU/fh0556TU OLED ULTRA 9 288V 32GB 2TB W11+OHS 14.0 120HZ 2Y+ADP 2IN1,30.999.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
Laptop HP 14-ep0260TU ep0261TU /Intel Core i3-1315U/8GB/512GB SSD/Intel UHD Graphics/14″ FHD/W11 Home+OH24+M365/2Y,8.299.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP Probook 430 G8 /Intel Core i5-1135G7/16GB/512GB SSD/Intel Iris Xe Graphics/13.3″ FHD/W11 Pro/Silver/1Y (36U71PA),10.990.000,,,Kota Medan,Laptop,Hp,Blibli,Baru
HP 14-CM0091AU Notebook -[AMD QUAD COMPUTER  CORES 2C+2G 2.3GHZ/4GB/128SSD/ Radeon 3 GraphicsW10Pro 64Bit - GARANSI RESMI]  GARANSI RESMI,4.837.180,,,Kota Jakarta Pusat,Laptop,Hp,Blibli,Baru
Laptop HP 240R G9 - B98GZPC /Intel Core 5-120U/8GB/512GB SSD/Intel Graphics/14″ FHD/Win 11 Home+OH24/Dark Ash Silver/1Y,9.799.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
"Laptop HP Probook 430 G8 /Intel Core i5-1135G7/16GB/512GB SSD/Intel Iris Xe Grapichs/13.3"" FHD/W11 Pro/Silver/3Y (536X0PA)",13.199.000,,,Kota Medan,Laptop,Hp,Blibli,Baru
Laptop HP Pavilion Aero 13-bg0111AU bg0222AU /AMD Ryzen 5-8640U/16GB/512GB SSD/AMD Radeon Graphics/13.3″ WUXGA IPS/Win 11 Home+OHS 2021/2Y,12.899.000,,Terjual 1,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop Hp PAVILION X360 14 TOUCH INTEL CORE 3 100U RAM 8gb SSD 512gb Windows 11 + Office Home Student 14.0FullHD IPS BLIT PEN 2Y+ADP,10.799.000,5,Terjual 1,,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook 7 Aero AMD Ryzen AI 5 Radeon 840M 16GB RAM 512GB SSD Silver / White Free Windows 11 Home 13.3 Inch Garansi 2 Tahun Official,16.299.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
HP 240 G7 Notebook I3-1005G1 4GB 256GB SSD HD WIN10 BLACK,4.600.000,,,,Laptop,Hp,Blibli,Baru
Laptop HP Victus 16-r1218TX r1220TX /Intel Core i7-14650HX/16GB/1TB SSD/RTX4070 8GB/16.1″ FHD IPS/Win 11 Home+OHS 2021/2Y,25.499.000,,,Kota Medan,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook 5 Flip 14-fp0556TU fp0557TU /Intel Core 5-120U/16GB/512GB SSD/Intel Graphics/14″ 2K Touch/Win 11 Home+OHS24/2Y,15.399.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP 14-ep1155TU - C7SC8PA /Intel Core 5-120U/16GB/512GB SSD/Intel Graphics/14″ FHD/W11 Home+OH24+M365/Silver/2Y,10.950.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
HP 14S-DQ4048/4029TU Notebook,8.230.000,,,,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook 5 Flip 14-fp0775TU fp0776TU /Intel Core 7-150U/16GB/512GB SSD/Intel Graphics/14″ 2K Touch/Win 11 Home+OHS24/2Y,16.899.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP ZBook Firefly 14 inch G10 Intel i7-1355U NVIDIA A500 16 GB DDR5 512 GB SSD Win 11 Pro TouchScreen 14 WUXGA + 5MP IR cam,27.000.000,,,Kota Jakarta Utara,Laptop,Hp,Blibli,Baru
Laptop HP Pavilion x360 14-ek2051TU ek2123TU /Intel Core 3-100U/8GB/512GB SSD/Intel UHD Graphics/14″ FHD IPS Touch/Win 11 Home+OHS 2021/2Y,9.799.000,,Terjual 1,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP 14-ep1177TU - C7SD0PA /Intel Core 5-120U/8GB/512GB SSD/Intel Graphics/14″ FHD/Win 11 Home+OH24+M365/Silver/2Y,10.050.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
HP 14S-DK1122AU/DK1123AU Notebook,7.400.000,,,,Laptop,Hp,Blibli,Baru
HP 14-CM0077AU Notebook - Black [14 Inch/ Ryzen5-2500U/ Radeon Vega 8/ 4GB/1TB+128SSD/ Win10] - - GARANSI RESMI - - - SIAP GO SEND - - - FREE*,10.192.800,,,Kota Jakarta Pusat,Laptop,Hp,Blibli,Baru
Laptop HP Victus 15-fb2665AX fb2666AX fb2667AX /AMD Ryzen 5-8645HS/8GB/512GB SSD/RTX4050 6GB/15.6″ FHD IPS/Win 11 Home+OHS 2021/2Y,13.750.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP 14-ep1188TU - CJ5Z5PA /Intel Core Ultra 5-125H/16GB/512GB SSD/Intel Arc Graphics/14″ FHD/Win 11 Home+OH24+M365/Silver/2Y,11.299.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP 14s-dq5155TU – A58H8PA /Intel Core i7-1255U/8GB/512GB SSD/Intel Iris Xe Graphics/14″ FHD IPS/Win 11 Home+OHS 2021/Silver/2Y,10.499.000,,,Kota Medan,Laptop,Hp,Blibli,Baru
"Laptop HP OmniBook 7 Aero 13-bg1777AU bg1778AU /AMD Ryzen AI 7-350/16GB/512GB SSD/AMD Radeon Graphics/13.3"" WQXGA/Win 11 Home+OH24+M365/2Y",16.699.000,,,Kota Medan,Laptop,Hp,Blibli,Baru
Laptop HP Envy x360 14-fc0555TU fc0666TU /Intel Core Ultra 5-125U/16GB/512GB SSD/Intel Arc Graphics/14″ 2.8K OLED Touch/Win 11 Home+OHS 2021/2Y,16.099.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop Hp ENVY X360 14 OLED AMD RYZEN 7 8840HS RAM 32gb SSD 1tb Windows 11 + Office Home Student 14.0 2.8K 120HZ BLIT PEN 2Y+ADP 2IN1,18.999.000,,,,Laptop,Hp,Blibli,Baru
Laptop HP Envy x360 14-fc0777TU fc0888TU /Intel Core Ultra 7-155U/16GB/1TB SSD/Intel Arc Graphics/14″ 2.8K OLED Touch/Win 11 Home+OHS 2021/2Y,19.199.000,,,Kota Medan,Laptop,Hp,Blibli,Baru
Laptop HP 14s-dq5156TU – A5ET8PA /Intel Core i5-1235U/16GB/512GB SSD/Intel Iris Xe Graphics/14″ FHD IPS/Win 11 Home+OHS 2021/Silver/2Y,8.599.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook 7 14-fs0999TU – C0BA6PA /Intel Core 9-270H/32GB/1TB SSD/Intel Graphics/14″ 3K OLED/Win 11 Home+OH24+M365/Silver/2Y,25.299.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook Ultra Flip 14-fh0334TU fh0556TU /Intel Core Ultra 9-288V/32GB/2TB SSD/Intel Arc Graphics/14″ 2.8K OLED TS/Win 11 Home+OHS 2021/2Y,33.499.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
"Laptop HP ENVY X360 14 | FC0555TU - FC0666TU | Intel Core ULTRA 5-125U | RAM 16GB | SSD 512GB | Layar 14""inch 2.8K OLED, Touchscreen | Windows 11 Home",16.999.000,,,Kab. Tangerang,Laptop,Hp,Blibli,Baru
Laptop HP OMNIBOOK 7 AI PC 14-FR0222TU SILVER/IntelCore Ultra 5-225H (14C) 13 NPU TOPs/16GB LPDDR5 (OB)/512GB PCIe Gen 4/Intel ARC 130T/W11Home/OHS 20,15.929.000,,,Kota Bandung,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook 3 Next Gen AI 14-ha0335AU – C0BA7PA /AMD Ryzen AI 5-340/16GB/512GB SSD/AMD Radeon Graphics/14″ FHD/Win 11 Home+OH24+M365/Silver/2Y,11.699.000,,,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP Pavilion Plus 14-ew0080TU ew0081TU ew0082TU /Intel Core i7-1355U/16GB/1TB SSD/Intel Iris Xe Graphics/14″ 2.8K OLED/Win 11 Home+OHS 2021/2Y,15.950.000,,Terjual 1,Kota Medan & kota lainnya,Laptop,Hp,Blibli,Baru
Laptop HP OmniBook X 14-fe0333QU – A9RM7PA /Snapdragon X Elite/16GB/1TB SSD/Qualcomm Adreno GPU/14″ 2.2K IPS Touch/Win 11 Home+OHS21/Meteor Silver/2Y,17.669.050,,,Kota Medan,Laptop,Hp,Blibli,Baru
"HP OMEN 15-CE503TX Laptop - Black [i7-7700HQ Turbo Boost To 3.8GHz/16GB/1TB+SSD 256GB/GTX1060 6GB/15.6""FHD/W10] - - -GARANSI RESMI 2 TAHUN",26.910.000,,,Kota Jakarta Pusat,Laptop,Hp,Blibli,Baru
Laptop Hp ENVY X360 14 OLED INTEL CORE ULTRA 5 125U RAM 16gb SSD 512gb Windows 11 + Office Home Student 14.0 2.8K VRR 120HZ PEN 2Y+ADP 2IN1 EVO,16.199.000,,,,Laptop,Hp,Blibli,Baru
"Laptop HP OmnniBook 7 Aero 13 | BG1777AU - BG1778AU | AMD Ryzen AI 7-350 | RAM 16GB | SSD 512GB | Layar 13.3""inch WQXGA IPS | Windows 11 Home",15.999.000,,,Kab. Tangerang,Laptop,Hp,Blibli,Baru
"HP ENVY 13-ba1032TX Notebook [Core i7-1165G7/16GB/512GB SSD/VGA 2GB/13,3″/Win 10 Home+OHS 2019]",19.995.000,,,,Laptop,Hp,Blibli,Baru
HP 14s-CF2004TX Notebook - Silver [Intel Core i5-10210U /4GB /1TB / Radeon 530 2GB / 14 Inch / Windows 10],11.050.000,,,,Laptop,Hp,Blibli,Baru
HP Laptop Omen 15-dh1020tx Laptop Gaming i7-10750H/32GB/512GB SSD+1TB/RTX 2070,38.000.000,,,,Laptop,Hp,Blibli,Baru
HP 14s-CF2517TU - Silver [i3 10110U-4GB-SSD 256GB],5.780.000,,,,Laptop,Hp,Blibli,Baru
HP 14s-CF2517TU - Silver [i3 10110U-4GB-SSD 256GB],7.139.000,,Terjual 2,,Laptop,Hp,Blibli,Baru
HP 14S DK0158AU R5 3500U 8GB 512GB SSD (GOLD),11.000.000,,Terjual 1,,Laptop,Hp,Blibli,Baru
HP 14S EP0018TU I7 1355U 16GB 512SSD IRISXE WINDOWS 11+OHS 14.0 INCHI FHD IPS BLIT BLU,12.999.000,,,,Laptop,Hp,Blibli,Baru
HP 15-DK1064TX [Intel I5-10300H/8GB/SSD 512GB/RTX2060 6GB/WIN10/OHS],15.000.000,,Terjual 8,,Laptop,Hp,Blibli,Baru
HP Pavilion 14-dv0067TX/dv0068TX i7-1165G7 8GB SSD512 MX450 W10 OHS - Pale GOLD,15.170.000,,,,Laptop,Hp,Blibli,Baru
HP 14S-FQ0012AU [AMD Ryzen 5-4500U/8GB/512GB SSD/FHD/WIN10/OHS],10.200.000,,,,Laptop,Hp,Blibli,Baru
HP 14 I3 1315 8GB 512GB W11+OHS+M365B 14.0FHD BLIT COPILOT,8.299.000,,,,Laptop,Hp,Blibli,Baru
HP Pavilion x360 Convertible 14-EK0044TU [Intel® Core™ i3-1215U/8 GB/512 GB SSD/W11 + OHS 2021],10.500.000,,,,Laptop,Hp,Blibli,Baru
HP OMNIBOOK 5 FLIP TOUCH 14 CORE 5 120U 16GB 512GB W11+OHS+M365B 14.0 2K 2Y+ADP 2IN1 PEN SILVER -FP0556TU,13.549.000,,,,Laptop,Hp,Blibli,Baru
HP 245 G8 | Ryzen 5 5500U 8GB 512GB W11,7.899.000,,,,Laptop,Hp,Blibli,Baru
HP Spectre X360 14 EA0030TU 4K UHD OLED Intel i7 1165G7 16GB 2TBssd W10+OHS,31.500.000,,,,Laptop,Hp,Blibli,Baru
HP 14 EP0018TU / EP0019TU | I7 1355U 16GB 512GB W11+OHS 14.0 FHD IPS,12.999.000,,,,Laptop,Hp,Blibli,Baru
HP 245 G10 RYZEN 3 7320 8GB 256GB VEGA7 W11 14.0 SLIM BEZEL BLK,6.999.000,,Terjual 1,,Laptop,Hp,Blibli,Baru
HP 14 DQ5152TU | I5 1235U 8GB 512GB W11 + OHS,9.999.000,,,,Laptop,Hp,Blibli,Baru
HP 14s DQ5156 | I5 1235 16GB 512Gb W11 + OHS,13.799.000,,,,Laptop,Hp,Blibli,Baru
HP Pavilion Aero 13 BG0111/222AU | Ryzen 5 8640U 16GB 512GB W11+OHS,15.999.000,,,,Laptop,Hp,Blibli,Baru
HP 14s-FQ1037AU - Gold [Ryzen 7 5700U-8GB-SSD 512GB],11.750.000,,Terjual 1,,Laptop,Hp,Blibli,Baru
HP Victus 15 FA1788TX | I5 13420H RTX3050 8GB 512GB W11+OHS,13.999.000,,,,Laptop,Hp,Blibli,Baru
HP Victus 16 | Ryzen 7 8845HS RTX4060 16GB 1TB W11+OHS,24.399.000,,,,Laptop,Hp,Blibli,Baru
HP Omnibook Ultra Flip 14 OLED FH0888TU/0777TU | Ultra 7 258V 32GB 1 TB W11+OHS,29.999.000,,,,Laptop,Hp,Blibli,Baru
"HP Pavilion 14-dv2000TX i7-1255U 16G 512G MX550 14"" FHD W11+OHS",14.192.500,,,,Laptop,Hp,Blibli,Baru
"HP 14S FQ0576AU AMD RYZEN 3-3250U/8GB/512GB SSD/14""FHD IPS/WINDOWS 11",6.922.574,,Terjual 5,,Laptop,Hp,Blibli,Baru
HP Omen Transcend 14 OLED | Ultra 9 185H RTX4060 32GB 1TB W11+OHS,41.899.000,,,,Laptop,Hp,Blibli,Baru
NB HP 14S-DQ0508TU,4.900.000,,Terjual 2,,Laptop,Hp,Blibli,Baru
