nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform,kondisi
ZTE nubia Neo 3 5G - 8GB/256GB,2.790.000,,,,Hp,Zte,Blibli,Baru
Nubia Neo 3 5G 8/56GB 6000 mAh Fast Charging 33W | Nubia Neo 3 GT Garansi Resmi,2.793.000,,,Kota Jakarta Pusat,Hp,Zte,Blibli,Baru
NUBIA V70 MAX 6/128GB,1.349.000,,Terjual 6,Kota Surabaya,Hp,Zte,Blibli,Baru
ZTE NUBIA NEO 5G 8/256GB - SMARTPHONE,2.251.000,,,,Hp,Zte,Blibli,Baru
ZTE NUBIAFOCUS PRO 8/256GB - SMARTPHONE,2.834.000,,,,Hp,Zte,Blibli,Baru
ZTE V50 8/128GB 8/256GB - SMARTPHONE,1.445.000,,,,Hp,Zte,Blibli,Baru
ZTE BLADE A54 4/64GB 4/128GB - SMARTPHONE,1.044.000,,,,Hp,Zte,Blibli,Baru
ZTE BLADE A55 4/128GB - SMARTPHONE,1.104.000,,,,Hp,Zte,Blibli,Baru
ZTE Blade A52 [ 4GB / 64GB ] Smartphone - Garansi Resmi,1.725.000,,,Kota Jakarta Pusat,Hp,Zte,Blibli,Baru
Zte Nubia Neo 3 GT 5G 8/256GB | Amoled 6.8inch | Unisoc T9100 | 6000mAh | Garansi Resmi,3.092.000,,,Kota Jakarta Barat,Hp,Zte,Blibli,Baru
"ZTE Nubia A76 5G 8/128GB | 6.75"" | Unisoc T8300 | 5000 mAh | Garansi Resmi",1.922.000,,,Kota Jakarta Barat,Hp,Zte,Blibli,Baru
Zte nubia A36 4/64GB | IPS LCD 6.75inc | Unisoc T7200 | Baterai 5000mAh | Garansi Resmi,1.527.000,,,Kota Jakarta Barat,Hp,Zte,Blibli,Baru
"ZTE Nubia V80 Max 6/128GB 8/128GB | 6.9"" | Unisoc T7250 | NFC | 6000mAh | Garansi Resmi",1.664.000,,,Kota Jakarta Barat,Hp,Zte,Blibli,Baru
"Nubia A36 4/64GB [Smartphone Kamera AI 13MP, Layar 6.75"" 90Hz, Baterai 5000mAh] - Garansi Resmi",1.599.000,,Terjual 6,Kota Madiun,Hp,Zte,Blibli,Baru
"Nubia A56 4/128GB [Smartphone Kamera AI 13MP Triple Camera Layar 6.75"" ,90Hz, Baterai 5000mAh] - Garansi Resmi",1.699.000,5.0,Terjual 1,Kota Madiun,Hp,Zte,Blibli,Baru
NUBIA V70 DESIGN,1.449.000,5.0,Terjual 20,Kota Surabaya,Hp,Zte,Blibli,Baru
ZTE BLADE A35 4/64GB - SMARTPHONE,999.000,5.0,Terjual 2,,Hp,Zte,Blibli,Baru
ZTE NUBIA NEO 2 5G | NEO 3 5G - SMARTPHONE,2.739.000,5.0,Terjual 1,,Hp,Zte,Blibli,Baru
