web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller,category,brand,condition,sold_text,sold_num
1774593113-132,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-1701-intel-core-i5-1035g7-ram-8-ssd-256-3369-1733814352298149639?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan 1701 Intel Core i5-1035G7 Ram 8 SSD 256 3369,2400000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593116-133,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/kingiamlaptopidn/advan-workplus-1701-ryzen-5-6600h-ram-16gb-ssd-512-layar-14in-fhd-ips-1731336596359775395?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,ADVAN WORKPLUS 1701 RYZEN 5 6600H RAM 16GB SSD 512 LAYAR 14in FHD IPS,5200000.0,5.0,1 rating • 0 ulasan,Terjual 2,King iam Store,Laptop,Advan,Bekas,Terjual 2,2
1774593120-134,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/kenidshop-1/advan-soulmate-1405-n4020u-1731539880192345763?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan Soulmate 1405 N4020u,1750000.0,5.0,1 rating • 1 ulasan,Terjual 3,KEN ID SHOP,Laptop,Advan,Bekas,Terjual 3,3
1774593123-135,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/avemedia/advan-laptop-workplus-amd-ryzen-5-6600h-14-fhd-ips-16gb-512gb-win-11-512-gb-1730856145255892260?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,ADVAN Laptop Workplus AMD RYZEN 5 6600H 14'' FHD IPS 16GB 512GB Win 11 - 512 GB,5450000.0,0,0 rating • 0 ulasan,Terjual 0,AVEMEDIA,Laptop,Advan,Bekas,Terjual 0,0
1774593127-136,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-1501-2025-intel-core-i5-1235u-ram-16-512-ssd-02236-dus-1734818387621152519?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan 1501 (2025) Intel core i5 1235U Ram 16/512 SSD (02236) Dus,4400000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593130-137,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/bursalaptopefek/ready-stock-laptop-advan-tbook-n100-1405-1-33kg-intel-n100-800mhz-intel-uhd-graphics-4gb-ram-128gb-grey-1732167551648368105?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,"READY STOCK Laptop Advan Tbook N100 1405, 1.33Kg, Intel - N100, ~800MHz - Intel UHD Graphics - 4GB RAM - 128GB, Grey",2000000.0,0,0 rating • 0 ulasan,1 barang berhasil terjual,Bursa laptop efek,Laptop,Advan,Bekas,Terjual 1,1
1774593134-138,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-1405-2024-intel-n100-ram-4-128-ssd-navh2-1734462173908338439?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan 1405 (2024) intel N100 Ram 4/128 SSD (NAVH2),2000000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593138-139,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/gudang-pgc-jkt/advan-soulmate-plus-ryzen-5-4500u-ram-8gb-256gb-ssd-mulus-like-new-1734380314471663438?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,ADVAN Soulmate Plus | Ryzen 5-4500U | RAM 8GB/256GB SSD | Mulus Like New!,3840000.0,0,0 rating • 0 ulasan,Terjual 0,Gudang-PGC-Jakarta,Laptop,Advan,Bekas,Terjual 0,0
1774593141-140,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-1405-intel-n100-ram-4-128-ssd-2024-48906-1734405638756796167?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,ADVAN 1405 INTEL N100 RAM 4/128 SSD (2024) 48906,1800000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593145-141,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/nayrbstore/advan-evo-x-13-512-gb-1734533065814017512?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan EVO-X 13 | 512 GB -,4100000.0,0,0 rating • 0 ulasan,Terjual 0,Nayrb Store_NEW,Laptop,Advan,Bekas,Terjual 0,0
