nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
Itel A100C Ram 4GB/64GB - 5000mAh - Garansi Resmi,1.452.000,,,,Hp,Itel,Blibli
Itel A26 Ram 2/32 GB Handphone 4G Murah Handphone Android 4G Murah HP Android 4G Murah Garansi Resmi 1 Tahun,999.900,,Terjual 1,,Hp,Itel,Blibli
ITEL A100C 3/64 & 4/64 NEW GARANSI RESMI,1.375.000,,,Kota Medan,Hp,Itel,Blibli
ITEL S26 ULTRA RAM 8/128GB - 8/256GB SMARTPHONE GARANSI RESMI,2.649.000,,,,Hp,Itel,Blibli
ITEL Vision 3 4/64 GB Handphone Android 4G Murah Garansi Resmi 1 Tahun,1.499.900,,,,Hp,Itel,Blibli
ITEL P65 8+8/128 GB Cyber Case Handphone Android 4G Garansi Resmi 1 Tahun,1.750.000,,Terjual 1,,Hp,Itel,Blibli
iTel A70 Ram 4GB Rom 64GB,1.089.000,5,Terjual 1,,Hp,Itel,Blibli
iTel S23 Ram 8GB Rom 128GB,1.339.000,,,,Hp,Itel,Blibli
"ITEL A100C 3/63 4/64 MILITARY GRADE, TAHAN BANTING ORIGINAL GARANSI RESMI",1.560.000,,,,Hp,Itel,Blibli
itel A100C [4/64GB] - Bisa Cicilan tanpa kartu kredit,1.349.000,,,,Hp,Itel,Blibli
itel A100C Ram 4+64GB Layar Tahan Banting Military garansi resmi,1.599.000,,,,Hp,Itel,Blibli
ITEL S23 RAM 16GB (8+8)/128GB,1.499.000,,,,Hp,Itel,Blibli
Itel S26 Ultra 8/256GB | Unisoc T7300 | AMOLED 144Hz 6.8inch | 6000mAh | Garansi Resmi,2.777.000,,,Kota Jakarta Barat,Hp,Itel,Blibli
iTel S23 Ram 8GB Rom 256GB,1.340.000,,Terjual 1,,Hp,Itel,Blibli
iTel A50 Ram 3GB Rom 128GB,1.000.000,,,,Hp,Itel,Blibli
iTel P55 4G Ram 8GB Rom 128GB,1.389.000,,,,Hp,Itel,Blibli
ITEL VISION 1 PRO 3/32GB GARANSI RESMI 1 TAHUN,1.299.000,,,,Hp,Itel,Blibli
ITEL SUPER 26 ULTRA - 8+8/256GB - T7300 Ultra Gaming Processor - Corning Gorilla 7i - IP65 - 3D Curved Amoled Screen- 32MP Selfie Camera - 6000mAH,2.989.999,,,Kota Batam,Hp,Itel,Blibli
ITEL SUPER 26 ULTRA - 8+8/256GB - T7300 Ultra Gaming Processor - Corning Gorilla 7i - IP65 - 3D Curved Amoled Screen- 32MP Selfie Camera - 6000mAH,2.799.999,,,Kota Batam,Hp,Itel,Blibli
"itel A100C 3+64GB 4+64GB Layar 6.6"" 90Hz Tahan Banting Military-Grade UltraLink Free Call 5000mAh Battery",1.375.980,,,,Hp,Itel,Blibli
ITEL S26 ULTRA - 8+8/128GB & 8+8/256GB - T7300 Ultra Gaming Processor Ram 8GN Internal 256GB Garansi Resmi,2.549.000,,,,Hp,Itel,Blibli
"itel S26 Ultra 8+8/128GB | 144Hz 1.5K AMOLED 6000mAh IP65 Waterproof Gorilla Glass 7i AI Eraser, NFC",2.650.980,,,,Hp,Itel,Blibli
"itel S26 Ultra 8+8/128GB | 144Hz 1.5K AMOLED 6000mAh IP65 Waterproof Gorilla Glass 7i AI Eraser, NFC",2.569.000,,Terjual 1,Kota Jakarta Barat,Hp,Itel,Blibli
"ITEL SUPER 26 Ultra - S26 Ultra [8/256 GB] - Corning Gorilla 7i, IP65 - T7300 6mm Processor",2.777.000,,,Kota Jakarta Barat,Hp,Itel,Blibli
ITEL SUPER 26 ULTRA 8/256GB S26 ULTRA 8+256GB - Corning Gorilla 7i - IP65 - 3D Curved Amoled Screen - 6000mAH,2.777.000,,,Kota Jakarta Barat,Hp,Itel,Blibli
OFFICIAL ITEL S26 ULTRA - 8+8/256GB - T7300 Ultra Gaming Processor - Amoled Screen - Battery 6000mAH,2.777.000,,,Kota Jakarta Barat,Hp,Itel,Blibli
