nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
"Nubia A56 4/128GB [Smartphone Kamera AI 13MP Triple Camera Layar 6.75"" ,90Hz, Baterai 5000mAh] - Garansi Resmi",1.699.000,5.0,Terjual 1,Kota Madiun,Hp,Zte,Bliblii
NUBIA V70 DESIGN,1.449.000,5.0,Terjual 20,Kota Surabaya,Hp,Zte,Bliblii
ZTE BLADE A35 4/64GB - SMARTPHONE,999.000,5.0,Terjual 2,,Hp,Zte,Bliblii
ZTE NUBIA NEO 2 5G | NEO 3 5G - SMARTPHONE,2.739.000,5.0,Terjual 1,,Hp,Zte,Bliblii
ZTE NUBIA V60 6/256GB | 8/256GB - SMARTPHONE,1.472.000,,,,Hp,Zte,Bliblii
ZTE nubia Neo 3 GT 5G Box Edition - 8GB/256GB,2.895.000,,,,Hp,Zte,Bliblii
ZTE nubia Neo 3 5G - 8GB/256GB,2.790.000,,,,Hp,Zte,Bliblii
ZTE nubia Neo 3 GT 5G - 8GB/256GB,3.260.000,,,,Hp,Zte,Bliblii
ZTE NUBIAFOCUS PRO 8/256GB - SMARTPHONE,2.834.000,,,,Hp,Zte,Bliblii
ZTE BLADE A54 4/64GB 4/128GB - SMARTPHONE,1.044.000,,,,Hp,Zte,Bliblii
ZTE NUBIA NEO 5G 8/256GB - SMARTPHONE,2.251.000,,,,Hp,Zte,Bliblii
ZTE BLADE A55 4/128GB - SMARTPHONE,1.104.000,,,,Hp,Zte,Bliblii
ZTE V50 8/128GB 8/256GB - SMARTPHONE,1.445.000,,,,Hp,Zte,Bliblii
Handphone Jadul | HP Nokia 105 2024 Mini SIM - Garansi Resmi 1 Tahun,312.500,5,Terjual 18,,Hp,Nokia,Bliblii
Pre-order,265.000,5,Terjual 88,,Hp,Nokia,Bliblii
Handphone Jadul | HP Nokia 105 2024 Mini SIM - Garansi Resmi 1 Tahun,312.500,5,Terjual 24,,Hp,Nokia,Bliblii
Hp Nokia Frodo 150 Garansi Resmi,499.000,,,Kota Pekanbaru,Hp,Nokia,Bliblii
NOKIA 110 2024 GARANSI RESMI - NEW,350.000,,Terjual 7,Kota Surabaya,Hp,Nokia,Bliblii
NOKIA 150 FRODO VALUE GARANSI RESMI - NEW,549.000,,,Kota Surabaya,Hp,Nokia,Bliblii
Nokia 105 Tam,317.000,5,Terjual 240,,Hp,Nokia,Bliblii
Pre-order,325.000,,Terjual 7,,Hp,Nokia,Bliblii
NOKIA 105 FOX (2024) GARANSI RESMI - NEW,270.000,,Terjual 9,Kota Surabaya,Hp,Nokia,Bliblii
NOKIA 150 FRODO VALUE GARANSI RESMI - PROMO,464.000,,Terjual 1,Kota Surabaya,Hp,Nokia,Bliblii
"Nokia 105 FOX TA-1627 - MP3 Player, MicroSD, Dual SIM | Garansi Resmi",350.000,,,Kota Surabaya,Hp,Nokia,Bliblii
"Nokia 105 LEDA Edition TA-1557 | Dual SIM, Baterai 1000mAh | Garansi Resmi",299.000,,,Kota Surabaya,Hp,Nokia,Bliblii
Nokia 105 Handphone,255.000,"4,7",Terjual 15,,Hp,Nokia,Bliblii
Nokia 5310 2020 Handphone,700.000,5,Terjual 10,,Hp,Nokia,Bliblii
NOKIA 105 LEDA GARANSI RESMI - PROMO,239.000,5,Terjual 144,Kota Surabaya,Hp,Nokia,Bliblii
Pre-order,520.000,,Terjual 25,,Hp,Nokia,Bliblii
Nokia 105 DS TA- 1174,259.200,5,Terjual 58,,Hp,Nokia,Bliblii
"Nokia 150 2024, Garansi Resmi",524.000,5,Terjual 17,,Hp,Nokia,Bliblii
Nokia 150 TA - 1235 DS,556.800,5,Terjual 18,,Hp,Nokia,Bliblii
Baru Nokia 105 hrg murah meriah gransi resmi,245.000,,,,Hp,Nokia,Bliblii
NOKIA 105 LEDA GARANSI RESMI - NEW,259.000,5,Terjual 49,Kota Surabaya,Hp,Nokia,Bliblii
NOKIA 110 2024 GARANSI RESMI - PROMO,323.000,5,Terjual 32,Kota Surabaya,Hp,Nokia,Bliblii
NOKIA 105 FOX (2024) GARANSI RESMI - PROMO,249.000,,Terjual 142,Kota Surabaya,Hp,Nokia,Bliblii
NOKIA 130 FRODO BASIC GARANSI RESMI - PROMO,397.000,,,Kota Surabaya,Hp,Nokia,Bliblii
NOKIA 130 FRODO BASIC GARANSI RESMI - NEW,499.000,,,Kota Surabaya,Hp,Nokia,Bliblii
Nokia 210 Handphone,480.000,,,,Hp,Nokia,Bliblii
Nokia 105 New 2019 Handphone [4MB/ 4MB/ Dual SIM] hitam,280.000,,,,Hp,Nokia,Bliblii
Nokia 105 Garansi Resmi TAM,255.000,"4,6",Terjual 987,,Hp,Nokia,Bliblii
nokia 105 resmi TAM,275.000,5,Terjual 298,,Hp,Nokia,Bliblii
Hp Nokia C20 Ram 2GB Internal 16GB Garansi Resmi,1.299.000,,,Kota Pekanbaru,Hp,Nokia,Bliblii
Nokia 150 Handphone,474.000,,,,Hp,Nokia,Bliblii
nokia 105 leda garansi resmi,248.000,5,Terjual 37,,Hp,Nokia,Bliblii
Pre-order,520.000,5,Terjual 32,,Hp,Nokia,Bliblii
NOKIA 105,500.000,5,Terjual 5,,Hp,Nokia,Bliblii
NOKIA 105 SIMBA 2022 GARANSI RESMI,290.000,,Terjual 1,,Hp,Nokia,Bliblii
NOKIA 110 2024 VOX GARANSI FRESMI,330.000,,Terjual 1,,Hp,Nokia,Bliblii
NOKIA 150 2024 FRODO MUSIC GARANSI RESMI,472.000,5,Terjual 1,,Hp,Nokia,Bliblii
NOKIA 130 2024 FRODO MUSIC GARANSI RESMI,405.000,,Terjual 1,,Hp,Nokia,Bliblii
NOKIA 105 LEDA 2023 / 2024 ORIGINAL GARANSI RESMI,259.000,,Terjual 1,,Hp,Nokia,Bliblii
Nokia 110 candybar garansi resmi nokia,360.000,,,,Hp,Nokia,Bliblii
Nokia 110 2019,360.000,,,,Hp,Nokia,Bliblii
NOKIA 150 MUSIC NEW GARANSI RESMI,475.000,,,Kota Medan,Hp,Nokia,Bliblii
NOKIA 105 FOX 2024 - GARANSI RESMI,479.000,,,,Hp,Nokia,Bliblii
NOKIA 150 2024 FRODO VALUE - GARANSI RESMI,620.000,,,,Hp,Nokia,Bliblii
