web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller,category,brand,condition,sold_text,sold_num
1774666211-31,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/jajananlaptop/hp-elitebook-845-g8-ryzen-hp-elitebook-845-g7-hp-elitebook-835-g7-g8-hp-835-845-g7-g8-1731895713777616791?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"HP Elitebook 845 G8 Ryzen / HP Elitebook 845 G7 / HP Elitebook 835 G7 G8 / HP 835 845 G7 G8 - 845 G7 R5-4650U, 16GB / 256GB",41000000.0,50.0,5 rating â¢ 3 ulasan,Terjual 26,Jajanan Laptop,Laptop,Infinix,Bekas,Terjual 26,26
1774666216-32,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/fcphonestore/infinik-note-11-nfc-6-128-fullset-resmi?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,Infinik Note 11 nfc 6/128 Fullset resmi,18000000.0,0.0,0 rating • 0 ulasan,Terjual 0,JAKUS STORE ID,Laptop,Infinix,Bekas,Terjual 0,0
1774666223-33,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/astracomraya/hp-chromebook-11-g4-intel-n2480-obral-best-seller-mantap-16-gb-hitam-1731047023601026432?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"HP Chromebook 11 G4 intel N2480 OBRAL BEST SELLER MANTAP - 16 GB, Hitam - 16 GB, Hitam",9900000.0,50.0,1 rating â¢ 1 ulasan,Terjual 1,ASTRA99,Laptop,Infinix,Bekas,Terjual 1,1
1774666229-34,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/raramdc/infinix-hot-12-play-4-128?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,infinix hot 12 play 4/128,25000000.0,50.0,17 rating â¢ 6 ulasan,Terjual 23,RARA MDC,Laptop,Infinix,Bekas,Terjual 23,23
1774666235-35,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/alvinluo-shop/laptop-hp-intel-celeron-ram-8gb-hdd-1000gb-win-10-4gb-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,LAPTOP HP INTEL CELERON RAM 8GB HDD 1000GB | WIN 10 - 4GB/500GB,18500000.0,46.0,367 rating â¢ 175 ulasan,Terjual 500+,MR elektronik,Laptop,Infinix,Bekas,Terjual 500+,500
1774666241-36,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/netronic-laptop/asus-x441ma-intel-n4020-ram-8gb-ssd-512gb-14-win-10-laptop-kuliah-sekolah-1734312224701842946?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"ASUS X441MA Intel N4020 / RAM 8GB SSD 512GB / 14"" WIN 10 / Laptop Kuliah & Sekolah - 4GB/500GB HDD",15811000.0,49.0,28 rating â¢ 11 ulasan,Terjual 50+,Netronic Laptop,Laptop,Infinix,Bekas,Terjual 50+,50
1774666247-37,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/bursalaptopefek/laptop-avita-ne14a1-seri-baru-super-slim-layar-super-bening-ips-like-new-lengkap-silver-1730890808111891945?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"Laptop AvitaÂ NE14A1,Â SeriÂ Baru,Â SuperÂ Slim,Â LayarÂ SuperÂ Bening,Â IPS,Â LikeÂ New, Lengkap, Silver",21000000.0,0.0,0 rating • 0 ulasan,Terjual 0,Bursa laptop efek,Laptop,Infinix,Bekas,Terjual 0,0
1774666253-38,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/bursalaptopefek/laptop-axioo-mybook-14f-layar-2k-super-jernih-seri-baru-super-slim-like-new-fullset-grey-1730779003779712489?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"Laptop Axioo Mybook 14F, Layar 2K, Super Jernih, Seri Baru, Super Slim, Like New, Fullset, Grey",19000000.0,0.0,0 rating • 0 ulasan,5Â barang berhasil terjual,Bursa laptop efek,Laptop,Infinix,Bekas,5Â barang berhasil terjual,5
1774666259-39,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/bintangjaya96/laptop-gaming-hp-aero-13-g5-ryzen-5-ram-16gb-ssd-512gb-1731062596796450205?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,Laptop Gaming HP AERO 13 G5 Ryzen 5 RAM 16GB SSD 512GB,55000000.0,0.0,0 rating • 0 ulasan,Terjual 0,Bintang jaya 96,Laptop,Infinix,Bekas,Terjual 0,0
1774666265-40,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/starjayaelectronic/siap-pakai-laptop-asus-x441u-intel-core-i3-ram-8gb-256gb-ssd-win-10-celeron-2gb-500gb-hdd-1712b?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"SIAP PAKAI Laptop Asus X441U Intel Core i3-Ram 8GB/256GB SSD - Win 10 - CELERON, 2GB/500GB HDD",13400000.0,48.0,27 rating â¢ 10 ulasan,Terjual 60+,STAR JAYA ELECTRONIC,Laptop,Infinix,Bekas,Terjual 60+,60
