web_scraper_order,web_scraper_start_url,detail produk,detail produk-href,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
1777981325-11,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,ACER Aspire GO 14 AG14-31P-C05B Intel N100 8GB RAM/512GB SSD 14.0'' WUXGA WindowsRp6.249.000Hemat s.d  1% Pakai Bonus1 terjualZX COMPUTERJakarta Pusat,https://www.tokopedia.com/zxcomputer/acer-aspire-go-14-ag14-31p-c05b-intel-n100-8gb-ram-512gb-ssd-14-0-wuxga-windows-8gb-256gb-ssd-windows-11-home-ee8ef?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"ACER Aspire GO 14 AG14-31P-C05B Intel N100 8GB RAM/512GB SSD 14.0'' WUXGA Windows - 8GB/256GB SSD, Windows 11 Home",Rp6.249.000,,1 barang berhasil terjual,Kota Administrasi Jakarta Pusat,ZX COMPUTER
1777981330-12,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,Laptop Gaming TP X395 Ryzen 5 Ram 8GB SSD 512GB 13.3 inch Slim Full HD 1080pRp3.499.000Hemat s.d  1% Pakai Bonus2 terjualMURATECH TANGERANGTangerang,https://www.tokopedia.com/muratech-tangerang/laptop-gaming-tp-x395-ryzen-5-ram-8gb-ssd-512gb-13-3-inch-slim-full-hd-1080p-1730717327108441992?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"Laptop Gaming TP X395 Ryzen 5 Ram 8GB SSD 512GB 13.3 inch Slim Full HD 1080p - TP X395 Ryzen 5 Pro 3500U, 8GB I 128GB",Rp3.499.000,,2 barang berhasil terjual,Kota Tangerang,MURATECH TANGERANG
1777981335-13,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,19%Laptop AXIOO Hype 10 Intel Celeron N4020 8GB 256GB 14” H Win 11 + Office Laptop Murah PelajarRp4.524.000Rp5.599.000Hemat s.d  1% Pakai Bonus4.92rb+ terjualroyalltechJakarta Utara,https://www.tokopedia.com/royalltech/laptop-axioo-hype-10-intel-celeron-n4020-8gb-256gb-14-h-win-11-office-laptop-murah-pelajar-1733231422987732471?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch%26whid%3D4029903,"Laptop AXIOO Hype 10 Intel Celeron N4020 8GB 256GB 14” H Win 11 + Office Laptop Murah Pelajar - LAPTOP, DOS - 8/256GB",Rp4.524.000,4.9,Terjual 2 rb+,Kota Administrasi Jakarta Utara,royalltech
1777981340-14,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,26%AVITA SATUS S101 N4020 8GB 256GB W11+OHS 14.0 SILVERRp3.699.000Rp4.999.000Hemat s.d  1% Pakai Bonus4.940+ terjualIntel Gaming IDJakarta Utara,https://www.tokopedia.com/intelgamingid/avita-satus-s101-n4020-8gb-256gb-w11-ohs-14-0-silver-1733009023441732928?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"AVITA SATUS S101 N4020 8GB 256GB W11+OHS 14.0 SILVER - Normal, Non Office",Rp3.699.000,4.9,Terjual 40+,Kota Administrasi Jakarta Utara,Intel Gaming ID
1777981345-15,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"Laptop Advan Workmate Ryzen 5 16GB 1TB Ssd Win11 14"" WuxgaRp5.728.000Rp5.729.000Hemat s.d  1% Pakai Bonus5.020 terjualLaptop Grosir IDJakarta Selatan",https://www.tokopedia.com/laptopgrosirid/laptop-advan-workmate-ryzen-5-16gb-1tb-ssd-win11-14-wuxga-1734439077079778633?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"Laptop Advan Workmate Ryzen 5 16GB 1TB Ssd Win11 14"" Wuxga - 8GB/256GB, Unit Only",Rp5.728.000,5.0,Terjual 20,Kota Administrasi Jakarta Selatan,Laptop Grosir ID
1777981350-16,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,Axioo MyBook 11G N4020 4/6GB 256 ssd DOS 11.6 HD GREYRp2.690.000Hemat s.d  1% Pakai BonusRAJAKOMPUTER ONLINEKab. Kediri,https://www.tokopedia.com/rajakomputerkediri/axioo-mybook-11g-n4020-4-6gb-256-ssd-dos-11-6-hd-grey-ssd-128?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,Axioo MyBook 11G N4020 4/6GB 256 ssd DOS 11.6 HD GREY - SSD 128,Rp2.690.000,,,Kab. Kediri,RAJAKOMPUTER ONLINE
1777981355-17,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,28%Axioo MyBook Hype 3 G11 Intel i3 1125G4/8GB/256GB/FHD IPSRp6.099.000Rp8.479.0004.8100+ terjualAxioo IndonesiaJakarta Timur,https://www.tokopedia.com/axioo-indonesia/axioo-mybook-hype-3-g11-intel-i3-1125g4-8gb-256gb-fhd-ips-1730192269766263893?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"Axioo MyBook Hype 3 G11 Intel i3 1125G4/8GB/256GB/FHD IPS - Non-Include, Blue",Rp6.099.000,4.8,Terjual 100+,Kota Administrasi Jakarta Timur,Axioo Indonesia
1777981360-18,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,PreOrderZyrex Smartboard IB 75 Inch 3GB 32GB Android 8.0Rp100.000.000Hemat s.d  1% Pakai BonusYoloriJakarta Pusat,https://www.tokopedia.com/yolori/zyrex-smartboard-ib-75-inch-3gb-32gb-android-8-0?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,Zyrex Smartboard IB 75 Inch 3GB 32GB Android 8.0,Rp100.000.000,,,Kota Administrasi Jakarta Pusat,Yolori
1777981365-19,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"34%Laptop Axioo Mybook Hype 10 Celeron N4020 RAM 8GB 256GB SSD 14""Rp4.535.000Rp6.899.000Hemat s.d  1% Pakai Bonus5.0250+ terjualTeknoTrend IDJakarta Pusat",https://www.tokopedia.com/teknotrend/laptop-axioo-mybook-hype-10-celeron-n4020-ram-8gb-256gb-ssd-14-1731746038005532610?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"Laptop Axioo Mybook Hype 10 Celeron N4020 RAM 8GB 256GB SSD 14"" - Midnight Black, DOS",Rp4.535.000,5.0,Terjual 250+,Kota Administrasi Jakarta Pusat,TeknoTrend ID
1777981370-20,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"14%HP 14 N4500 8GB 512GB W11+OHS 14""FHD BLIT 2YRp5.999.000Rp7.000.000Hemat s.d  1% Pakai Bonus4.9100+ terjualAI Official StoreJakarta Utara",https://www.tokopedia.com/alienwareofficial/hp-14-n4500-8gb-512gb-w11-ohs-14-fhd-blit-2y-1730911259870463251?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch%26whid%3D1496513,"HP 14 N4500 8GB 512GB W11+OHS 14""FHD BLIT 2Y - UNIT, 4GB 512GB",Rp5.999.000,4.9,Terjual 100+,Kota Administrasi Jakarta Utara,AI Official Store
