web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1778265373-1117","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","LAPTOP LENOVO THINKPAD X1 YOGA ALL VARIANT 1ST 2ND 3RD 4TH 5TH 6TH CORE I5 I7 BERKUALITAS SCREEN 14 INCH TOUCHSCREEN - 1st i7gen6, ram8 ssd128","Rp3.500.000","5","Terjual 30+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/unlimitedlaptop/laptop-lenovo-thinkpad-x1-yoga-all-variant-1st-2nd-3rd-4th-5th-6th-core-i5-i7-berkualitas-screen-14-inch-touchscreen-1732594642483709897?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","LAPTOP UNLIMITED"
"1778265378-1118","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Lenovo Thinkpad X230 Core i5 3230M 2.6Ghz Mulus Murah","Rp2.100.000","4.8","Terjual 250+","Kota Depok","https://www.tokopedia.com/ctcomp/lenovo-thinkpad-x230-core-i5-3230m-26ghz-mulus-murah?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","CTcomp"
"1778265383-1119","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","MURAH LAPTOP NOTEBOOK 8GB RAM LENOVO THINKPAD T430 CORE i5 MANTAF ! - 4GB, NO HDD","Rp1.999.999","4.9","Terjual 3 rb+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/trinitycomp/murah-laptop-notebook-8gb-ram-lenovo-thinkpad-t430-core-i5-mantaf-4gb-no-hdd-d3057?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Trinity Comp"
"1778265388-1120","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Lenovo Thinkpad T14 G2 core i5 Gen 11Th | 48GB | SSD 1TB | Win 11 Pro | 14inc | FULL HD - 16GB-SSD 256, TOUCHSCREEN","Rp5.850.000","5","Terjual 22","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/mrhanzo/lenovo-thinkpad-t14-g2-core-i5-gen-11th-48gb-ssd-1tb-win-11-pro-14inc-full-hd-1730844313465358256?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","MrHanzo"
"1778265393-1121","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Lenovo Thinkpad 11e - N3150 - 4GB - 128GB SSD - 11.6 inch - Bekas","Rp1.000.000","4.8","Terjual 250+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/budicomp/lenovo-thinkpad-11e-n3150-4gb-128gb-ssd-11-6-inch-bekas?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","budicomp"
"1778265398-1122","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop Lenovo Thinkpad L530 Intel Core I5 - I5 GEN3, RAM 4GB HDD 320","Rp1.449.000","5","Terjual 3","Kota Bandung","https://www.tokopedia.com/singaasiaplaza/laptop-lenovo-thinkpad-l530-intel-core-i5-i5-gen3-ram-4gb-hdd-320-70309?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Singa Asia Plaza Comp"
"1778265403-1123","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","LENOVO THINKPAD T470 INTEL CORE I5 GEN7 RAM 16GB SSD 512GB PROMOSALE - I5 Gen7, RAM 8GB SSD 128","Rp2.899.000","5","Terjual 18","Kota Bandung","https://www.tokopedia.com/singaasiaplaza/lenovo-thinkpad-t470-intel-core-i5-gen7-ram-16gb-ssd-512gb-promosale-i5-gen7-ram-8gb-ssd-128-69492?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Singa Asia Plaza Comp"
"1778265408-1124","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Lenovo Thinkpad T410 T420 T430 T430s MULUS / BERGARANSI / ORIGINAL - T410, ram 4 hdd 320","Rp1.563.000","4.9","Terjual 250+","Kota Bandung","https://www.tokopedia.com/gitechlaptop/lenovo-thinkpad-t410-t420-t430-t430s-mulus-bergaransi-original-t410-ram-4-hdd-320?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Gitech Laptop"
"1778265413-1125","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop Lenovo 320, Amd A9-9420, Gen 7Th, Ram 4 Gb/1Tb, White","Rp2.000.000","5","Terjual 3","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/drcomkomputer/laptop-lenovo-320-amd-a9-9420-gen-7th-ram-4-gb-1tb-white?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","DrCom_NEW"
"1778265418-1126","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop Bekas Lenovo x240 i5 RAM 8GB 500GB Murah, Ultrabook Slim Lenovo - 4GB, 320GB","Rp1.750.000","4.8","Terjual 13","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/twentycell/laptop-bekas-lenovo-x240-i5-ram-8gb-500gb-murah-ultrabook-slim-lenovo-4gb-320gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Twenty Cell - Laptop Bekas"
"1778265423-1127","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop Lenovo X1 Carbon 6th touchscreen ssd 256gb ram 8gb murah windows 11 GAJIAN SALE 6.6","Rp3.150.000","4.9","Terjual 26","Kota Surabaya","https://www.tokopedia.com/andromeda-laptop-surabaya/laptop-lenovo-x390-ssd-256gb-ram-8gb-murah-windows-10-lancar-promo-12-12-1731313056193152784?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Andromeda Laptop Surabaya"
"1778265428-1128","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","LAPTOP LENOVO THINKPAD L13 X13 CORE i3 i5 i7 GENERASI 10 / 11 LAYAR 13,3 INCH PENINGKATAN TERBARU - L13 i3gen10, Ram4 SSD128","Rp2.000.000","5","Terjual 28","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/unlimitedlaptop/laptop-lenovo-thinkpad-l13-x13-core-i3-i5-i7-generasi-10-11-layar-13-3-inch-peningkatan-terbaru-1729885588127778761?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","LAPTOP UNLIMITED"
"1778265434-1129","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","","","","","","https://www.tokopedia.com/destinycomputer/laptop-lenovo-ideapad-3-14iau7-grey-bekas-second-used-1731062892116084374?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch",""
"1778265439-1130","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","LAPTOP LENOVO THINKPAD X1 CARBON 6TH CORE i5/i7 GEN 8 - LAYAR 14"" SLIM - X1 CARBON 6TH I5GEN8, RAM 8 SSD 256","Rp3.800.000","5","Terjual 100+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/kaitocorner/laptop-lenovo-thinkpad-x1-carbon-6th-core-i5-i7-gen-8-layar-14-slim-1732473691955758867?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Kaito's Corner"
