web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777476583-399","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","PROMOO !! Laptop HP EliteBook 820 G3 Core i5 Gen 6 8GB/512GB FREE TAS - 4GB/500GB HDD","Rp2.950.000","5","Terjual 2","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/starjayaelectronic/promoo-laptop-hp-elitebook-820-g3-core-i5-gen-6-8gb-512gb-free-tas-4gb-500gb-hdd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","STAR JAYA ELECTRONIC"
"1777476586-400","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","LAPTOP ASUS X505Z AMD RYZEN 3 RAM 8GB SSD 256GB","Rp2.949.000","5","Terjual 7","Kota Bekasi","https://www.tokopedia.com/oneklikcomputer/laptop-asus-x505z-amd-ryzen-3-ram-8gb-ssd-256gb-1733763673843992075?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","One Klik Computer"
"1777476590-401","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","Laptop Hp Elitebook 745 G6 RYZEN 5 PRO TOUCHSCREEN  32GB/1TB SSD-WIN10 -MULUS - 8GB/256 SSD, 745 G5 RYZEN 5","Rp3.250.000","4.7","Terjual 500+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/us-electronic/laptop-hp-elitebook-745-g6-ryzen-5-pro-touchscreen-32gb-1tb-ssd-win10-mulus-1733402117462459521?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","US ELECTRONIC"
"1777476594-402","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","HP ELITEBOOK 830 G5 i7-8550u GEN 8 RAM 32GB/512GB SSD FREE MOUSE/TAS - 430 G3 i5 GEN 6, 8GB/256GB","Rp2.500.000","4.7","Terjual 250+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/starjayaelectronic/hp-elitebook-830-g5-i7-8550u-gen-8-ram-32gb-512gb-ssd-free-mouse-tas-430-g3-i5-gen-6-8gb-256gb-cfbe4?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","STAR JAYA ELECTRONIC"
"1777476599-403","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","Lenovo Thinkpad T14 G2 i7 Gen 11 | RAM 32GB / SSD 512GB | Mulus Like New | Siap Pakai | Free Windows & Office | Bergaransi 30 Hari - T14 G1 Ci5-10Th, 8GB&256GB","Rp3.900.000","5","Terjual 80+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/kings-computerr/laptop-lenovo-thinkpad-t14-core-i7-gen11-ram-16gb-512gb-l-t14-i5-gen10-ram-16gb-256gb-l-t14-i5-gen11-ram-16-256gb-free-windows-office-2019-softcase-mouse-bergaransi-30-hari-1731544253235954838?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","Kings Computerr"
"1777476602-404","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","HP Elitebook 845 G8 R5 4650u / 840 G6 i7 Gen8 16GB 512GB 14Inch - 840 G3 i7 Gen6 NoTS, RAM 8GB SSD 128GB","Rp3.099.000","4.9","Terjual 28","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/electrocom/hp-elitebook-845-g8-r5-4650u-840-g6-i7-gen8-16gb-512gb-14inch-1732762468244817154?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","Electro Com"
"1777476606-405","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","PROMO SEPTEMBER !! LAPTOP LENOVO V15 IWL INTEL CORE I5 GEN 8 RAM 8 GB SSD 256 GB","Rp3.200.000","","2 barang berhasil terjual","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/jcomputertegal/promo-september-laptop-lenovo-v15-iwl-intel-core-i5-gen-8-ram-8-gb-ssd-256-gb-1732524215518201050?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","JCOMPUTERS TGL"
"1777476611-406","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","HP ELITEBOOK 845 G8 RYZEN 5 PRO TOUCHSCREEN RAM 32GB / 1TB SSD / FREE TAS - 745 G5 RYZEN 5 , 8GB/256 SSD","Rp3.300.000","5","Terjual 8","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/us-electronic/hp-elitebook-845-g8-ryzen-5-pro-touchscreen-ram-32gb-1tb-ssd-free-tas-1733485296060957825?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","US ELECTRONIC"
"1777476614-407","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","Laptop 2in1 HP Probook X360 11 G6 EE Core i5-10210Y Ram 8GB SSD 512GB - 8GB / 128GB","Rp3.700.000","5","Terjual 1","Kota Yogyakarta","https://www.tokopedia.com/timoho29/laptop-2in1-hp-probook-x360-11-g6-ee-core-i5-10210y-ram-8gb-ssd-512gb-1731530439880574039-1734595987172918359?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","Hosea Timoho29"
"1777476618-408","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","Hp Probook 430 G8 i5Gen11 Ram 8GB SSD 256GB Free Softcase + Mouse / Windows + Office Bergaransi Muluss Grade A+ - 430 G5/G6 i5Gen8, 8GB + 128GB","Rp3.400.000","","1 barang berhasil terjual","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/kings-computerr/hp-probook-430-g6-i5gen8-ram-8gb-ssd-256gb-free-softcase-mouse-windows-office-bergaransi-muluss-grade-a-1733568467933103254-1734980692586759318?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","Kings Computerr"
"1777476622-409","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20realme","Laptop HP EliteBook 830 G6 Core i5 Gen 8 RAM 16GB 8GB SSD 512GB 256GB Siap Pakai - Non Bundle, RAM 8GB SSD 256GB","Rp3.500.000","5","Terjual 12","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/dian-komputer-pusat/laptop-hp-elitebook-830-g6-core-i5-gen-8-i5-8265u-ram-8gb-ssd-256gb-siap-pakai-1732042812428092583-1734579861269742759?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260429152628432ACA3A1E345E00AWOP%26src%3Dsearch","Dian Komputer Pusat"
