web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777254861-497","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Laptop ADVAN Workmate Ryzen 5 3500U 8GB 256GB SSD 14"" FHD W11 - Biru, 8GB RAM","Rp5.755.000","4.9","Terjual 250+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/distri-laptop/laptop-advan-workmate-ryzen-5-3500u-8gb-256gb-ssd-14-fhd-w11-1732181298199954957?extParam=ivf%3Dtrue%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","Distri Laptop"
"1777254865-498","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","INFINIX XBOOK B14 RYZEN 5 7535HS 16GB 512GB W11 14.0WUXGA IPS - Non Bundle, 8GB","Rp7.599.000","4.9","Terjual 70+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/infinix-official-store/infinix-xbook-b14-ryzen-5-7535hs-16gb-512gb-w11-14-0wuxga-ips-1733078084836033640?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","Infinix Official Store"
"1777254869-499","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","SERI - E5300 I i3 GEN 8 I RAM 8/16GB SSD 128GB SCREEN 13,3 Inch Windows 11 Office 2019 - E5300 I i3 GEN 8, RAM 8GB I SSD 128GB","Rp2.650.000","5","Terjual 30+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/laptop-pilihan-id/laptop-pilhan-id-seri-x395-i-amd-r5-i-ram-16gb-ssd-256-512gb-screen-13-3-inch-windows-11-office-2019-1733781634377418317-1735137418404464205?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","Laptop Pilihan ID"
"1777254873-500","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","LAPTOP Hp EliteBook 840 G5 Core i7 Gen8 RAM 32GB/512GB SSD FREE TAS - 840 G3 i5 GEN 6, 8GB/128GB","Rp2.600.000","4.8","Terjual 250+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/starjayaelectronic/laptop-hp-elitebook-840-g5-core-i7-gen8-ram-32gb-512gb-ssd-free-tas-1733699840056330155?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","STAR JAYA ELECTRONIC"
"1777254876-501","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","NO.9 Laptop FUJITSU S936  Intel core i5 Gen 6  RAM 16GB Windows 10 atau 11 screen 13 inci - S936 i5 Gen 6, RAM 8GB | SSD 256GB","Rp2.599.000","4.8","Terjual 40+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/jakarta-tech-id/no-9-laptop-seri-3580-3590-intel-core-i5-gen-8-ram-16gb-windows-10-atau-11-screen-15-inci-1732459610661881037-1734987121063658701?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","jakarta tech id"
"1777254880-502","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Advan T-Book Transformers Intel Quad Core N100 8GB 128GB emmc + 256GB SSD 14"" W11","Rp3.300.000","5","Terjual 3","Kota Bandung","https://www.tokopedia.com/minjishop9/advan-t-book-transformers-intel-quad-core-n100-8gb-128gb-emmc-256gb-ssd-14-w11?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","MINJIBEAUTY"
"1777254884-503","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Laptop ADVAN  Soulmate X2 AMD 3020e RAM 8GB 128GB SSD Windows 14 Inch FHD - 8GB, Unit Only","Rp3.679.000","5","Terjual 60+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/distri-laptop/laptop-advan-soulmate-x2-amd-3020e-ram-8gb-128gb-ssd-windows-14-inch-fhd-1733349040373401101?extParam=ivf%3Dtrue%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","Distri Laptop"
"1777254888-504","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","AMOLI Laptop11.6''inc RAM 8GB +256GB SSD laptop kantor windows 10/11 Intel Celeron Processor N4020 ultra-clear ips layar penuh WIN10/11 tipis dan ringan","Rp6.820.000","4.9","Terjual 750+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/amolilaptop/amoli-laptop11-6-inc-ram-8gb-256gb-ssd-laptop-kantor-windows-10-11-intel-celeron-processor-n4020-ultra-clear-ips-layar-penuh-win10-11-tipis-dan-ringan-1730000559508523466?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","AMOLILAPTOP"
"1777254892-505","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","ADVAN Soulmate X AMD 3020e RAM16GB SSS512GB 14'' Fhd Ips Windows 11 - SSD128GB, RAM4GB","Rp3.349.000","5","Terjual 30+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/skytechstoreid/advan-soulmate-x-amd-3020e-ram16gb-ssd1tb-14-fhd-ips-windows-11-1732639303407666990?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","SKYTECH STORE ID"
"1777254896-506","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Advan Workmate Ryzen 5 3500U 8GB SSD 256GB 14″ FHD W11 - LIGHT BLUE, 8GB, UNIT ONLY","Rp5.799.000","4.9","Terjual 40+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/advan-authorized-bogor/advan-workmate-ryzen-5-3500u-8gb-ssd-256gb-14-fhd-w11-1733543926067005305?extParam=ivf%3Dtrue%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","Advan Authorized Bogor"
