web_scraper_order;web_scraper_start_url;barang;nama_barang;harga;asal
1772522512-14;https://www.olx.co.id/medan-kota_g4000131/handphone_c208;https://www.olx.co.id/item/di-jual-hp-iqoo-15-warna-legend-ram-16-gb-rom-1tb-iid-943579174;Di jual HP IQOO 15 warna LEGEND RAM 16 GB ROM 1TB;Rp 14.000.000;Medan Kota, Medan Kota, Sumatra Utara
1772522515-15;https://www.olx.co.id/medan-kota_g4000131/handphone_c208;https://www.olx.co.id/item/di-jual-hp-iphone-15-warna-black-titanium-128gb-ibox-iid-943579561;Di jual HP IPHONE 15 warna BLACK TITANIUM 128GB IBOx;Rp 9.500.000;Medan Kota, Medan Kota, Sumatra Utara
1772522519-16;https://www.olx.co.id/medan-kota_g4000131/handphone_c208;https://www.olx.co.id/item/iphone-7-jetblack-128gb-iid-933418352;Iphone 7 jetblack 128gb;Rp 1.400.000;Medan Kota, Medan Kota, Sumatra Utara
1772522522-17;https://www.olx.co.id/medan-kota_g4000131/handphone_c208;https://www.olx.co.id/item/di-jual-hp-iphone-15-warna-blue-titanium-128gb-ibox-iid-943579969;Di jual HP IPHONE 15 warna BLUE TITANIUM 128GB IBOX;Rp 9.500.000;Medan Kota, Medan Kota, Sumatra Utara
1772522525-18;https://www.olx.co.id/medan-kota_g4000131/handphone_c208;https://www.olx.co.id/item/iphone-16-pro-25ggb-garansi-resmi-dec-2026-iid-943412129;IPHONE 16 PRO 25GGB GARANSI RESMI DEC 2026;Rp 16.199.000;Medan Baru, Medan Kota, Sumatra Utara
1772522528-19;https://www.olx.co.id/medan-kota_g4000131/handphone_c208;https://www.olx.co.id/item/iphone-7-rose-gold-256gb-ibox-body-only-iid-943213282;iPhone 7+ Rose gold 256GB Ibox, Body Only;Rp 1.699.000;Medan Amplas, Medan Kota, Sumatra Utara
1772522531-20;https://www.olx.co.id/medan-kota_g4000131/handphone_c208;https://www.olx.co.id/item/jual-iphone-13-blue-128gb-ibox-iid-943538186;Jual iphone 13 blue 128Gb ibox;Rp 6.800.000;Medan Tembung, Medan Kota, Sumatra Utara
1772521146-1;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/redmi-15-ram-8128-new-termurah-iid-943557622;REDMI 15 RAM 8/128 NEW TERMURAH;Rp 1.979.000;Dinoyo, Malang Kota, Jawa Timur
1772521150-2;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/redmi-13x-8128-iid-943557822;Redmi 13x 8/128;Rp 1.500.000;Kedungkandang, Malang Kota, Jawa Timur
1772521154-3;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/ip-16-teal-128gb-new-iid-943559389;ip 16 teal 128gb new;Rp 12.990.000;Klojen, Malang Kota, Jawa Timur
1772521158-4;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/iohone-14-pm-256gb-second-resmi-iid-943562285;Iohone 14 pm 256gb second resmi;Rp 14.300.000;Lowokwaru, Malang Kota, Jawa Timur
1772521162-5;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/infinix-itel-vision-3-ram-4164-iid-943562508;Infinix Itel Vision 3+ ram 4+1/64;Rp900.00;Lowokwaru, Malang Kota, Jawa Timur
1772521166-6;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/poco-m5s-ram-464-iid-943562557;Poco M5s ram 4/64;Rp 1.050.000;Lowokwaru, Malang Kota, Jawa Timur
1772521171-7;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/infinix-hot-11-play-ram-464gb-iid-943562625;Infinix Hot 11 play ram 4/64gb;Rp900.00;Lowokwaru, Malang Kota, Jawa Timur
1772521175-8;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/vivo-y20s-4128-iid-943568365;Vivo y20s 4/128;Rp800.00;Klojen, Malang Kota, Jawa Timur
1772521179-9;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/xiaomi-redmi-5-ram-3gb-storage-32gb-hitam-iid-941365653;Xiaomi Redmi 5 RAM 3GB Storage 32GB Hitam;Rp330.00;Klojen, Malang Kota, Jawa Timur
1772521183-10;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/handphone-di-jual-saja-iid-943573854;handphone di jual saja;Rp 1.800.000;Klojen, Malang Kota, Jawa Timur
1772521187-11;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/oppo-a55-ram-464gb-iid-943575042;Oppo A55 ram 4/64gb;Rp 1.050.000;Lowokwaru, Malang Kota, Jawa Timur
1772521191-12;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/moto-g06-power-4-128gb-laurel-oak-ready-harga-spesial-ramadhan-iid-943576498;MOTO G06 POWER 4 128GB LAUREL OAK READY HARGA SPESIAL RAMADHAN;Rp 1.419.000;Dinoyo, Malang Kota, Jawa Timur
1772521196-13;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/samsung-galaxy-s26-series-iid-943576624;Samsung Galaxy S26 Series;Rp 16.499.000;Klojen, Malang Kota, Jawa Timur
1772521200-14;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/nokia-c12-64gb-blue-mulus-95-iid-943577577;Nokia C12 64Gb Blue Mulus 95%;Rp650.00;Klojen, Malang Kota, Jawa Timur
1772521204-15;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/poco-x7-5g-8256-gb-new-garansi-resmi-iid-940717572;POCO X7 5G 8/256 GB NEW Garansi resmi;Rp 3.499.000;Lowokwaru, Malang Kota, Jawa Timur
1772521209-16;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/samsung-z-fold-7-12256gb-sein-iid-943578092;samsung z fold 7 12/256gb SEIN;Rp 20.000.000;Dinoyo, Malang Kota, Jawa Timur
1772521213-17;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/samsung-z-flip-6-12256-silver-shadow-iid-943578935;Samsung Z Flip 6 12/256 Silver Shadow;Rp 2.500.000;Klojen, Malang Kota, Jawa Timur
1772521217-18;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/iphone-13-pro-256-gb-simlock-wifi-only-iid-943397337;iphone 13 pro 256 GB simlock wifi only;Rp 5.950.000;Klojen, Malang Kota, Jawa Timur
1772521221-19;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/iphone-14-pro-256gb-fullset-ex-tam-iid-943494455;iPhone 14 Pro 256GB Fullset Ex TAM;Rp 12.000.000;Tegalsari, Surabaya Kota, Jawa Timur
1772521225-20;https://www.olx.co.id/malang-kab_g4000192/handphone_c208;https://www.olx.co.id/item/samsung-s26-ultra-iid-943483566;Samsung S26 ultra;Rp 24.499.000;Blimbing, Malang Kota, Jawa Timur
1772522414-1;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/new-iphone-17-256-ibox-iid-939874855;New iPhone 17 256 iBox;Rp 16.300.000;Semarang Tengah, Semarang Kota, Jawa Tengah
1772522418-2;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/new-iphone-17-promax-256-ibox-silver-iid-942211564;New iPhone 17 promax 256 iBox silver;Rp 24.800.000;Karang Kidul, Semarang Kota, Jawa Tengah
1772522424-3;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/promo-super-brand-day-oppo-erafone-iid-943577745;Promo Super Brand Day Oppo Erafone;Rp 5.599.000;Semarang Tengah, Semarang Kota, Jawa Tengah
1772522428-4;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/iphone-16-128gb-new-ibox-iid-933720072;IPHONE 16 128gb NEW IBOX;Rp 13.499.000;Semarang Selatan, Semarang Kota, Jawa Tengah
1772522432-5;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/samsung-s24-ultra-12256gb-ex-sein-fullset-iid-943577948;Samsung S24 ultra 12/256gb ex sein fullset;Rp 12.499.000;Semarang Selatan, Semarang Kota, Jawa Tengah
1772522436-6;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/promo-stock-terbatas-iid-943578029;PROMO stock terbatas;Rp 1.899.000;Pedurungan, Semarang Kota, Jawa Tengah
1772522441-7;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/oppo-a5-pro-16128-iid-943578669;OPPO A5 PRO 16/128;Rp 2.799.000;Semarang Selatan, Semarang Kota, Jawa Tengah
1772522446-8;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/huawei-mate-x7-16512-red-mal-ciputra-iid-943578675;Huawei Mate X7 | 16/512 RED | Mal Ciputra;Rp 23.999.000;Karang Kidul, Semarang Kota, Jawa Tengah
1772522451-9;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/pre-order-samsung-galaxy-s26-series-pakai-kredivo-iid-943578691;PRE ORDER SAMSUNG GALAXY S26 SERIES PAKAI KREDIVO;Rp 16.499.000;Semarang Tengah, Semarang Kota, Jawa Tengah
1772522455-10;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/ready-iphone-17-promax-tanpa-dp-iid-943578747;Ready iPhone 17 promax tanpa DP;Rp 23.750.000;Semarang Selatan, Semarang Kota, Jawa Tengah
1772522460-11;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/iphone-15-bisa-dikredit-tanpa-dp-iid-943578813;iPhone 15 bisa dikredit tanpa DP;Rp 11.250.000;Semarang Selatan, Semarang Kota, Jawa Tengah
1772522463-12;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/kredit-hp-xiaomi-redmi-note-15-promo-bunga-ringan-dp-0-iid-943578961;KREDIT HP XIAOMI REDMI NOTE 15 PROMO BUNGA RINGAN + DP 0;Rp 2.999.000;Pedurungan, Semarang Kota, Jawa Tengah
1772522469-13;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/hp-redmi-note-9-4-64-iid-941128577;Hp Redmi Note 9 4/ 64;Rp850.00;Tembalang, Semarang Kota, Jawa Tengah
1772522475-14;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/realme-note-80-4864gb-blueblack-100-ori-segel-garansi-resmi-iid-943579730;REALME Note 80 4+8/64Gb Blue&Black 100% Ori Segel Garansi Resmi;Rp 1.625.000;Karang Kidul, Semarang Kota, Jawa Tengah
1772522480-15;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/realme-note-80-48128-blueblacknew-100-ori-segel-garansi-resmi-iid-943579803;REALME Note 80 4+8/128 Blue&Black,New 100% Ori Segel Garansi Resmi;Rp 1.900.000;Karang Kidul, Semarang Kota, Jawa Tengah
1772522484-16;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/iphone-17-256gb-1-minggu-pakai-iid-943580193;Iphone 17 256gb 1 minggu pakai;Rp 16.000.000;Semarang Tengah, Semarang Kota, Jawa Tengah
1772522489-17;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/iphone-12-64-gb-ibox-white-iid-940276816;IPHONE 12 64 GB IBOX WHITE;Rp 6.000.000;Pedurungan, Semarang Kota, Jawa Tengah
1772522493-18;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/new-iphone-16-128-ibox-iid-941061635;New iPhone 16 128 iBox;Rp 13.000.000;Karang Kidul, Semarang Kota, Jawa Tengah
1772522498-19;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/iphone-14-promax-128-ibox-iid-943492068;Iphone 14 promax 128 ibox;Rp 11.500.000;Pedurungan, Semarang Kota, Jawa Tengah
1772522501-20;https://www.olx.co.id/semarang-kota_g4000065/handphone_c208;https://www.olx.co.id/item/new-iphone-17-pro-256-ibox-silver-iid-942961640;New iPhone 17 pro 256 iBox silver;Rp 22.800.000;Semarang Tengah, Semarang Kota, Jawa Tengah
