web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777175227-20","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL15-42P-R1GJ Laptop - Silver [R7-7730/16GB/512GB/Win11/OHS24+M365/15"" WUXGA IPS/NX.D3QSN.002] FREE Bag","9.949.000","5","Terjual 29","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-21","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","LAPTOP ACER AL14-32P-C8PX","6.439.000","","","Kab. Banyumas","Intel Arena IT Flagship Store"
"1777175227-22","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL14-37P-3511 Laptop - Rose Sakura [Core 3-N355/8GB/256GB/Win11/OHS24+M365/14"" FHD IPS/Copilot Key/NX.DGZSN.002] FREE Bag","8.649.000","5","Terjual 17","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-23","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL14-37P-32RZ Laptop - Silver [Core 3-N355/8GB/512GB/Win11/OHS24+M365/14"" FHD IPS/Copilot Key/NX.DDESN.001] FREE Bag","8.949.000","5","Terjual 18","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-24","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL15-42P-R50P Laptop - Silver [R5-7430/8GB/512GB/Win11/OHS24+M365/15"" WUXGA IPS/NX.D30SN.002] FREE Bag","8.949.000","4","Terjual 21","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-25","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Go AG14-72P-38GD Laptop - Silver [i3-1315U/8GB/512GB/Win11/OHS24/14"" WUXGA IPS/Copilot Key/NX.JSBSN.001] FREE Bag","9.249.000","5","Terjual 11","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-26","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Go AG14-71M-7705 Laptop - Silver [Ultra 7 - 155H/16GB/512GB/Win11/OHS 24+M365/14"" WUXGA IPS/NX.JFWSN.002] FREE Bag","14.549.000","5","Terjual 8","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-27","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Go AG14-72P-571C Laptop - Silver [Core 5 - 120U/8GB/512GB/Win11/OHS 24+M365/14"" WUXGA IPS/NX.JSBSN.002] FREE Bag","10.449.000","","Terjual 24","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-28","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL14-37P-38NN Laptop - Fresh Blue [Core 3-N355/8GB/256GB/Win11/OHS24+M365/14"" FHD IPS/Copilot Key/NX.DFRSN.002] FREE Bag","8.649.000","5","Terjual 4","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-29","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Lite AL14-37P-36AW Laptop - Pink [Core 3-N355/8GB/512GB/Win11/OHS24/14"" FHD IPS/Copilot Key/NX.DGYSN.002] FREE Bag","8.949.000","","Terjual 24","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
